dataset,table,body_site,phase,feature,direction,mode
OSD-574,spatial,,post_vs_pre,DES,down,pooled_DE
OSD-574,spatial,,post_vs_pre,TAGLN,down,pooled_DE
OSD-574,spatial,,post_vs_pre,GSN,down,pooled_DE
OSD-574,spatial,,post_vs_pre,ACTG2,down,pooled_DE
OSD-574,spatial,,post_vs_pre,MYLK,down,pooled_DE
OSD-574,spatial,,post_vs_pre,ACTA2,down,pooled_DE
OSD-574,spatial,,post_vs_pre,TLN1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,IGF2R,down,pooled_DE
OSD-574,spatial,,post_vs_pre,CNN1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,MYH11,down,pooled_DE
OSD-574,spatial,,post_vs_pre,LIMD1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,FLNC,down,pooled_DE
OSD-574,spatial,,post_vs_pre,FLNA,down,pooled_DE
OSD-574,spatial,,post_vs_pre,VIM,down,pooled_DE
OSD-574,spatial,,post_vs_pre,LMNA,down,pooled_DE
OSD-574,spatial,,post_vs_pre,CRKL,down,pooled_DE
OSD-574,spatial,,post_vs_pre,TPM2,down,pooled_DE
OSD-574,spatial,,post_vs_pre,PPP1R12C,down,pooled_DE
OSD-574,spatial,,post_vs_pre,TPM1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,DCN,down,pooled_DE
OSD-574,spatial,,post_vs_pre,KANK2,down,pooled_DE
OSD-574,spatial,,post_vs_pre,P2RX1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,NCS1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,ACTC1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,SKP1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,ACTN1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,DNAAF5,down,pooled_DE
OSD-574,spatial,,post_vs_pre,CKB,down,pooled_DE
OSD-574,spatial,,post_vs_pre,MYL6,down,pooled_DE
OSD-574,spatial,,post_vs_pre,C11orf96,down,pooled_DE
OSD-574,spatial,,post_vs_pre,GAS6,down,pooled_DE
OSD-574,spatial,,post_vs_pre,CLIC4,down,pooled_DE
OSD-574,spatial,,post_vs_pre,PTMS,down,pooled_DE
OSD-574,spatial,,post_vs_pre,SELENOM,down,pooled_DE
OSD-574,spatial,,post_vs_pre,RPL8,down,pooled_DE
OSD-574,spatial,,post_vs_pre,GYPC,down,pooled_DE
OSD-574,spatial,,post_vs_pre,TPM4,down,pooled_DE
OSD-574,spatial,,post_vs_pre,ACTA1,down,pooled_DE
OSD-574,spatial,,post_vs_pre,PSMC2,down,pooled_DE
OSD-574,spatial,,post_vs_pre,ZNF480,up,pooled_DE
OSD-574,spatial,,post_vs_pre,SCN1A,up,pooled_DE
OSD-574,spatial,,post_vs_pre,LMLN2,up,pooled_DE
OSD-574,spatial,,post_vs_pre,KIAA0895,up,pooled_DE
OSD-574,spatial,,post_vs_pre,H4C13,up,pooled_DE
OSD-574,spatial,,post_vs_pre,PRMT3,up,pooled_DE
OSD-574,spatial,,post_vs_pre,C11orf21,up,pooled_DE
OSD-574,spatial,,post_vs_pre,SERPINA10,up,pooled_DE
OSD-574,spatial,,post_vs_pre,CABYR,up,pooled_DE
OSD-574,spatial,,post_vs_pre,NAV2,up,pooled_DE
OSD-571,metabolomics,,post_vs_pre,LysoPC(15:0),down,pooled_DE
OSD-571,metabolomics,,post_vs_pre,LysoPC(14:0),down,pooled_DE
OSD-571,metabolomics,,post_vs_pre,LysoPC(17:0),down,pooled_DE
OSD-571,metabolomics,,post_vs_pre,Inosine,up,pooled_DE
OSD-571,metabolomics,,post_vs_pre,Sphingosine 1-phosphate,down,pooled_DE
OSD-571,metabolomics,,post_vs_pre,LysoPC(16:1),down,pooled_DE
OSD-571,metabolomics,,post_vs_pre,PC(P38:3),up,pooled_DE
OSD-571,metabolomics,,post_vs_pre,FA (26:0) [M-H]-,up,pooled_DE
OSD-571,metabolomics,,post_vs_pre,LysoPC(18:0),down,pooled_DE
OSD-571,metabolomics,,post_vs_pre,LysoPC(16:0),down,pooled_DE
OSD-571,metabolomics,,post_vs_pre,PC (38:3) [M+H]+,down,pooled_DE
OSD-571,metabolomics,,post_vs_pre,SM (d36:1) [M+H]+,up,pooled_DE
OSD-571,metabolomics,,post_vs_pre,SM (d36:0) [M+H]+,up,pooled_DE
OSD-571,metabolomics,,post_vs_pre,LysoPC(18:3),down,pooled_DE
