feature,direction,phase_compared,C001,C002,C003,C004
ENSG00000052126.16,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-20.346607150623893,-18.346610396681648
ENSG00000065054.14,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-18.346610396681648,-19.346608232643955
ENSG00000070182.21,down,post_vs_pre,-21.43406941903975,-2.1468410692078432,-22.870168212837633,-1.4930398045782267
ENSG00000076382.17,down,post_vs_pre,-17.346614724747294,-18.346610396681648,-18.346610396681648,-19.66853589472339
ENSG00000091129.22,down,post_vs_pre,-18.346610396681648,-19.931570012018494,-18.346610396681648,-18.346610396681648
ENSG00000100298.16,down,post_vs_pre,-19.346608232643955,-19.66853589472339,-18.346610396681648,-18.346610396681648
ENSG00000105507.3,down,post_vs_pre,-19.346608232643955,-18.346610396681648,-19.931570012018494,-19.346608232643955
ENSG00000107890.17,down,post_vs_pre,-18.346610396681648,-20.668535029107144,-19.346608232643955,-18.346610396681648
ENSG00000109099.16,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-19.346608232643955,-19.346608232643955
ENSG00000111728.11,down,post_vs_pre,-19.346608232643955,-2.906889345273525,-2.1375030778261226,-18.346610396681648
ENSG00000112290.13,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-19.346608232643955,-18.346610396681648
ENSG00000115112.8,down,post_vs_pre,-17.346614724747294,-18.346610396681648,-18.346610396681648,-19.346608232643955
ENSG00000115255.12,down,post_vs_pre,-19.346608232643955,-20.931569290671515,-19.931570012018494,-1.4150365975950632
ENSG00000115596.4,down,post_vs_pre,-19.346608232643955,-17.346614724747294,-18.346610396681648,-18.346610396681648
ENSG00000117461.15,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-19.346608232643955,-18.346610396681648
ENSG00000120903.13,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-17.346614724747294,-18.346610396681648
ENSG00000123689.6,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-19.346608232643955,-20.346607150623893
ENSG00000124787.14,up,post_vs_pre,1.5849596153368453,3.169921154261949,2.584958893989866,1.5849596153368453
ENSG00000125733.18,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-19.931570012018494,-19.346608232643955
ENSG00000128656.15,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-19.346608232643955,-18.346610396681648
ENSG00000129244.9,down,post_vs_pre,-18.346610396681648,-20.346607150623893,-18.346610396681648,-18.346610396681648
ENSG00000132561.14,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-18.346610396681648,-18.346610396681648
ENSG00000134901.13,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-19.346608232643955,-18.346610396681648
ENSG00000135951.16,down,post_vs_pre,-19.931570012018494,-19.346608232643955,-18.346610396681648,-20.346607150623893
ENSG00000137310.12,down,post_vs_pre,-19.66853589472339,-1.2223907725444707,-19.931570012018494,-1.1154764405847126
ENSG00000139289.14,down,post_vs_pre,-19.346608232643955,-19.931570012018494,-21.153961608958365,-19.346608232643955
ENSG00000140961.14,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-18.346610396681648,-18.346610396681648
ENSG00000145850.9,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-17.346614724747294,-18.346610396681648
ENSG00000148219.18,down,post_vs_pre,-18.346610396681648,-19.931570012018494,-17.346614724747294,-18.93157145471137
ENSG00000148344.11,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-19.931570012018494,-18.346610396681648
ENSG00000150967.19,down,post_vs_pre,-19.346608232643955,-18.346610396681648,-19.346608232643955,-19.346608232643955
ENSG00000151474.23,down,post_vs_pre,-19.931570012018494,-21.047046452603205,-20.668535029107144,-19.346608232643955
ENSG00000157833.13,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-18.346610396681648,-18.346610396681648
ENSG00000160072.20,up,post_vs_pre,1.5849610580275582,20.931569290671515,1.2630333959481237,3.1699230778505276
ENSG00000160117.16,down,post_vs_pre,-18.93157145471137,-18.346610396681648,-18.346610396681648,-17.346614724747294
ENSG00000164087.8,down,post_vs_pre,-19.346608232643955,-18.346610396681648,-18.346610396681648,-19.931570012018494
ENSG00000164265.9,down,post_vs_pre,-19.346608232643955,-18.346610396681648,-17.346614724747294,-18.346610396681648
ENSG00000165655.17,down,post_vs_pre,-19.346608232643955,-21.153961608958365,-18.346610396681648,-17.346614724747294
ENSG00000166192.15,down,post_vs_pre,-18.346610396681648,-18.93157145471137,-18.346610396681648,-18.346610396681648
ENSG00000166262.16,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-19.346608232643955,-18.346610396681648
ENSG00000168803.16,down,post_vs_pre,-19.346608232643955,-18.346610396681648,-18.346610396681648,-18.346610396681648
ENSG00000170312.17,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-18.346610396681648,-19.931570012018494
ENSG00000170442.12,down,post_vs_pre,-20.516532031841702,-18.346610396681648,-19.931570012018494,-18.346610396681648
ENSG00000171444.18,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-19.346608232643955,-19.346608232643955
ENSG00000173210.20,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-20.346607150623893,-20.346607150623893
ENSG00000174255.8,down,post_vs_pre,-17.346614724747294,-18.346610396681648,-18.346610396681648,-17.346614724747294
ENSG00000177570.15,down,post_vs_pre,-18.346610396681648,-19.346608232643955,-19.931570012018494,-18.346610396681648
ENSG00000180921.7,down,post_vs_pre,-19.66853589472339,-19.346608232643955,-18.346610396681648,-19.346608232643955
ENSG00000182853.12,down,post_vs_pre,-19.346608232643955,-18.346610396681648,-18.346610396681648,-18.346610396681648
ENSG00000186193.9,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-19.346608232643955,-18.346610396681648
ENSG00000188735.13,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-19.346608232643955,-19.931570012018494
ENSG00000196415.10,down,post_vs_pre,-18.346610396681648,-17.346614724747294,-20.346607150623893,-18.346610396681648
ENSG00000197937.13,down,post_vs_pre,-19.346608232643955,-20.346607150623893,-19.66853589472339,-19.346608232643955
ENSG00000198046.13,down,post_vs_pre,-19.346608232643955,-18.346610396681648,-19.346608232643955,-18.346610396681648
ENSG00000198853.12,up,post_vs_pre,1.5849596153368453,2.5849552872711987,1.1699237991977471,2.3219269407320224
ENSG00000204613.11,down,post_vs_pre,-1.2223907725444707,-2.4150363270898194,-21.59453403763444,-1.0588933139529968
ENSG00000204947.9,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-18.346610396681648,-18.346610396681648
ENSG00000205846.4,up,post_vs_pre,19.931570012018494,19.931570012018494,19.931570012018494,1.5849615389251037
ENSG00000206149.12,up,post_vs_pre,1.5849596153368453,18.93157145471137,1.5849596153368453,2.044393299645744
ENSG00000206228.4,down,post_vs_pre,-17.346614724747294,-18.93157145471137,-17.346614724747294,-17.346614724747294
ENSG00000207561.1,down,post_vs_pre,-18.346610396681648,-17.346614724747294,-17.346614724747294,-17.346614724747294
ENSG00000211599.2,down,post_vs_pre,-17.346614724747294,-17.346614724747294,-18.346610396681648,-17.346614724747294
ENSG00000211638.2,down,post_vs_pre,-18.346610396681648,-20.668535029107144,-1.2223915969398709,-1.1154764405847126
ENSG00000211649.3,up,post_vs_pre,1.1699237991977471,2.169921635160055,1.9999978359601438,1.1699237991977471
ENSG00000211956.2,up,post_vs_pre,18.93157145471137,18.93157145471137,18.93157145471137,1.5849567299640759
ENSG00000213228.5,down,post_vs_pre,-17.346614724747294,-18.346610396681648,-18.346610396681648,-17.346614724747294
ENSG00000214719.13,down,post_vs_pre,-17.346614724747294,-17.346614724747294,-17.346614724747294,-17.346614724747294
ENSG00000215381.3,down,post_vs_pre,-17.346614724747294,-17.346614724747294,-17.346614724747294,-17.346614724747294
ENSG00000216813.1,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-17.346614724747294,-17.346614724747294
ENSG00000216895.9,down,post_vs_pre,-17.346614724747294,-20.931569290671515,-19.346608232643955,-19.346608232643955
ENSG00000217041.1,down,post_vs_pre,-18.93157145471137,-20.153962227255843,-17.346614724747294,-18.346610396681648
ENSG00000221916.4,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-18.346610396681648,-18.346610396681648
ENSG00000223916.1,down,post_vs_pre,-17.346614724747294,-19.346608232643955,-18.93157145471137,-18.346610396681648
ENSG00000224046.3,down,post_vs_pre,-18.93157145471137,-20.346607150623893,-19.346608232643955,-19.346608232643955
ENSG00000224291.1,down,post_vs_pre,-17.346614724747294,-17.346614724747294,-18.93157145471137,-17.346614724747294
ENSG00000224614.2,down,post_vs_pre,-18.346610396681648,-17.346614724747294,-19.66853589472339,-18.346610396681648
ENSG00000225196.2,down,post_vs_pre,-17.346614724747294,-18.346610396681648,-18.346610396681648,-17.346614724747294
ENSG00000226981.2,down,post_vs_pre,-1.321927229270944,-21.87016840101521,-19.931570012018494,-1.2223915969398709
ENSG00000227373.6,down,post_vs_pre,-18.346610396681648,-18.346610396681648,-19.346608232643955,-17.346614724747294
