feature,direction,phase_compared,pooled
RPL41,down,post_vs_pre_pooled,-1.96712569826403
PLCG2,up,post_vs_pre_pooled,2.18215120262709
RPS11,down,post_vs_pre_pooled,-1.80502533469924
RPS27,down,post_vs_pre_pooled,-1.80070716316898
RPS18,down,post_vs_pre_pooled,-1.8806600836817
RPL13,down,post_vs_pre_pooled,-1.80895943959048
RPL13A,down,post_vs_pre_pooled,-1.79513630962562
RPL10,down,post_vs_pre_pooled,-1.79438218721124
RPL28,down,post_vs_pre_pooled,-1.76936405228554
RPL30,down,post_vs_pre_pooled,-1.69300661975785
RPLP2,down,post_vs_pre_pooled,-1.65652748765676
RPLP1,down,post_vs_pre_pooled,-1.72439085812418
RPS12,down,post_vs_pre_pooled,-1.70669464025197
RPS16,down,post_vs_pre_pooled,-1.65292274377374
RPS27A,down,post_vs_pre_pooled,-1.60280559322605
RPS14,down,post_vs_pre_pooled,-1.66791557117552
RPL11,down,post_vs_pre_pooled,-1.5770790444099
RPS19,down,post_vs_pre_pooled,-1.59933338382417
RPS2,down,post_vs_pre_pooled,-1.62762239598612
MTRNR2L12,up,post_vs_pre_pooled,2.15452135426134
RPL18A,down,post_vs_pre_pooled,-1.5589469537125
RPL19,down,post_vs_pre_pooled,-1.52585918336404
RPL27A,down,post_vs_pre_pooled,-1.50501674307249
RPL34,down,post_vs_pre_pooled,-1.50967203213995
RPS15,down,post_vs_pre_pooled,-1.48807497365747
RPL39,down,post_vs_pre_pooled,-1.4810807672109
RPS29,down,post_vs_pre_pooled,-1.47485772994709
RPL37A,down,post_vs_pre_pooled,-1.49007411612009
RPS23,down,post_vs_pre_pooled,-1.47313612988509
RPS28,down,post_vs_pre_pooled,-1.49301400677099
RPS3,down,post_vs_pre_pooled,-1.47279863421992
RPL18,down,post_vs_pre_pooled,-1.45869961159036
FAU,down,post_vs_pre_pooled,-1.42853471434607
RPS15A,down,post_vs_pre_pooled,-1.38859293716217
RPL21,down,post_vs_pre_pooled,-1.35080384318051
B2M,down,post_vs_pre_pooled,-1.26540512683272
RPL3,down,post_vs_pre_pooled,-1.3838111297618
EEF1A1,down,post_vs_pre_pooled,-1.28980661317074
RPL32,down,post_vs_pre_pooled,-1.29844463211683
RPL23A,down,post_vs_pre_pooled,-1.30104447627625
RPL37,down,post_vs_pre_pooled,-1.30871825693997
RPS20,down,post_vs_pre_pooled,-1.29526581042782
RPS21,down,post_vs_pre_pooled,-1.32776132865538
RPS6,down,post_vs_pre_pooled,-1.25901771263804
RPS25,down,post_vs_pre_pooled,-1.24221619851806
RPL9,down,post_vs_pre_pooled,-1.2524814541493
RPS8,down,post_vs_pre_pooled,-1.25115544977768
RPS17,down,post_vs_pre_pooled,-1.25938177719497
RPS4X,down,post_vs_pre_pooled,-1.33641395126917
MT-CO3,down,post_vs_pre_pooled,-1.09683368236458
RPS3A,down,post_vs_pre_pooled,-1.20075199475158
RPS5,down,post_vs_pre_pooled,-1.22420881378391
RPS9,down,post_vs_pre_pooled,-1.21083497866094
RPS13,down,post_vs_pre_pooled,-1.21539266227332
RPL17,down,post_vs_pre_pooled,-1.19230176998363
MARCH1,up,post_vs_pre_pooled,1.27183139535966
RPL35A,down,post_vs_pre_pooled,-1.17358643822952
RPL23,down,post_vs_pre_pooled,-1.16383838517733
RPL26,down,post_vs_pre_pooled,-1.12665235964408
RPL15,down,post_vs_pre_pooled,-1.14564590789855
RPL8,down,post_vs_pre_pooled,-1.09334075425134
TPT1,down,post_vs_pre_pooled,-1.11499898917626
RPL7A,down,post_vs_pre_pooled,-1.1070865885854
RPS26,down,post_vs_pre_pooled,-1.16216543383799
RPL29,down,post_vs_pre_pooled,-1.08863126187781
HLA-B,down,post_vs_pre_pooled,-1.05838480435404
RPL36,down,post_vs_pre_pooled,-1.102320254335
RPS7,down,post_vs_pre_pooled,-1.09511141296186
RPL12,down,post_vs_pre_pooled,-1.05817566674891
RPSA,down,post_vs_pre_pooled,-1.07724101082621
RPS24,down,post_vs_pre_pooled,-1.05440433921439
RPL10A,down,post_vs_pre_pooled,-1.05772099373433
UBA52,down,post_vs_pre_pooled,-1.00069171498397
HLA-DRA,down,post_vs_pre_pooled,-1.00101063191856
MEF2C,up,post_vs_pre_pooled,1.00042734481872
HDAC9,up,post_vs_pre_pooled,1.03950103849964
IGKC,down,post_vs_pre_pooled,-1.94956846194461
IGHM,down,post_vs_pre_pooled,-1.03981115111072
IGLC2,down,post_vs_pre_pooled,-2.24293161389164
IGLC3,down,post_vs_pre_pooled,-1.53300517822268
RPL11,down,post_vs_pre_pooled,-1.72939023588665
RPS8,down,post_vs_pre_pooled,-1.364450942603
RPL5,down,post_vs_pre_pooled,-1.02671133028307
RPS27,down,post_vs_pre_pooled,-2.09303236358633
RPS7,down,post_vs_pre_pooled,-1.22171624876082
RPS27A,down,post_vs_pre_pooled,-1.8682902557659
RPL31,down,post_vs_pre_pooled,-1.13197670394458
RPL37A,down,post_vs_pre_pooled,-1.66885767934893
RPL32,down,post_vs_pre_pooled,-1.54551598091826
RPL15,down,post_vs_pre_pooled,-1.17898947444473
RPSA,down,post_vs_pre_pooled,-1.15387305721328
RPL14,down,post_vs_pre_pooled,-1.08539374793483
RPL29,down,post_vs_pre_pooled,-1.23731698478613
MTRNR2L12,up,post_vs_pre_pooled,2.38882445879947
MBNL1,up,post_vs_pre_pooled,1.02796468998291
RPL35A,down,post_vs_pre_pooled,-1.38647898256706
RPL9,down,post_vs_pre_pooled,-1.38477332738873
RPL34,down,post_vs_pre_pooled,-1.70960142656888
RPS3A,down,post_vs_pre_pooled,-1.4014665877212
RPL37,down,post_vs_pre_pooled,-1.4765922699816
RPS23,down,post_vs_pre_pooled,-1.56701385162585
RPS14,down,post_vs_pre_pooled,-1.93448394622586
RPS18,down,post_vs_pre_pooled,-2.05951101287582
