feature,direction,phase_compared,pooled
CD58,up,post_vs_pre_pooled,3.34427514639816
TFRC,down,post_vs_pre_pooled,-1.95381469871885
ART4,up,post_vs_pre_pooled,2.0872557268866
AHCY,up,post_vs_pre_pooled,1.98465380945775
FN1,down,post_vs_pre_pooled,-2.38402118851459
IGLV7-46,down,post_vs_pre_pooled,-3.22556388570389
PRKACA,up,post_vs_pre_pooled,2.15897961923874
AK1,up,post_vs_pre_pooled,2.29838385823636
FCN3,up,post_vs_pre_pooled,2.03060053939469
IGLV7-43,down,post_vs_pre_pooled,-2.18602067970478
FGB.1,down,post_vs_pre_pooled,-1.547372524682
PSMF1,up,post_vs_pre_pooled,2.16628539373205
PCMT1,up,post_vs_pre_pooled,2.15912068885043
EPB42,up,post_vs_pre_pooled,2.72457891398273
CYBRD1,up,post_vs_pre_pooled,1.60137957603642
STX7,down,post_vs_pre_pooled,-1.98535646359235
LGALS3BP,down,post_vs_pre_pooled,-1.11359678686482
THBS1,down,post_vs_pre_pooled,-1.46573612879697
FGB,down,post_vs_pre_pooled,-1.35188939208156
CNP,up,post_vs_pre_pooled,2.11069384243275
TBC1D24,up,post_vs_pre_pooled,1.94319210139397
C1R,down,post_vs_pre_pooled,-1.37395202432988
EPB41L2,up,post_vs_pre_pooled,1.92451443310095
SELENBP1,up,post_vs_pre_pooled,1.86255342190283
ESD,up,post_vs_pre_pooled,1.92010254213509
APEH,up,post_vs_pre_pooled,1.49862446564064
FGG.1,down,post_vs_pre_pooled,-1.30443600866403
IGHV2-5,down,post_vs_pre_pooled,-1.10904099153627
FGA,down,post_vs_pre_pooled,-1.2528293992523
STOM,up,post_vs_pre_pooled,2.1091471290995
MPP1,up,post_vs_pre_pooled,2.48145133272985
E9PNW4,up,post_vs_pre_pooled,1.85314173873547
GDI2,up,post_vs_pre_pooled,1.80481447619902
SVIP,up,post_vs_pre_pooled,3.47040674923982
FGG,down,post_vs_pre_pooled,-1.2533208372244
RP2,up,post_vs_pre_pooled,1.9625482670741
SLC4A1,up,post_vs_pre_pooled,2.33672377262458
SLC2A1,up,post_vs_pre_pooled,1.79718233133032
RAN,up,post_vs_pre_pooled,2.14718826507161
GYPC,up,post_vs_pre_pooled,1.17077028983346
C4BPA,down,post_vs_pre_pooled,-1.08475437036598
ARF1,up,post_vs_pre_pooled,2.61490029522364
CD55,up,post_vs_pre_pooled,2.60041174828878
USP14,up,post_vs_pre_pooled,1.71120093413822
AIDA,up,post_vs_pre_pooled,2.18373169227967
BLVRB,up,post_vs_pre_pooled,2.66929480933494
ECM1,down,post_vs_pre_pooled,-1.96235793214604
BPGM,up,post_vs_pre_pooled,2.61414928618594
LTN1,up,post_vs_pre_pooled,3.1877944268114
PF4V1,down,post_vs_pre_pooled,-2.82277416357597
ANK1,up,post_vs_pre_pooled,2.62338986929118
GDI1,up,post_vs_pre_pooled,1.83453661272005
GNG5,up,post_vs_pre_pooled,2.25951828729344
CA1,up,post_vs_pre_pooled,2.27273783710346
CAT,up,post_vs_pre_pooled,2.07380650183264
PF4,down,post_vs_pre_pooled,-2.54413935038273
RAP2B,up,post_vs_pre_pooled,2.21743659802585
FTH1,down,post_vs_pre_pooled,-1.29800649745846
C8A,down,post_vs_pre_pooled,-1.05613895087842
MMRN1,down,post_vs_pre_pooled,-2.20471323550549
UBE2V1,up,post_vs_pre_pooled,1.59215542593638
LTBP1.1,down,post_vs_pre_pooled,-2.23629855112734
GSTO1,up,post_vs_pre_pooled,1.79325471855193
RHCE,up,post_vs_pre_pooled,1.99855262946022
CA2,up,post_vs_pre_pooled,2.23797384875441
PRDX1,up,post_vs_pre_pooled,1.53056303806769
ALDH1A1,up,post_vs_pre_pooled,1.69352975363841
LTBP1,down,post_vs_pre_pooled,-1.97288821476421
APOC1,down,post_vs_pre_pooled,-1.48700158091712
RANBP1,up,post_vs_pre_pooled,1.62106928183374
C4BPB,down,post_vs_pre_pooled,-1.04991307436051
GPX1,up,post_vs_pre_pooled,1.98283136890934
HPRT1,up,post_vs_pre_pooled,1.28329753038497
SEMA7A,up,post_vs_pre_pooled,1.49256396540449
PRDX6,up,post_vs_pre_pooled,1.8505057624912
PEBP1,up,post_vs_pre_pooled,1.42815531294902
NRGN,up,post_vs_pre_pooled,1.89922780869603
CLEC3B,down,post_vs_pre_pooled,-1.49759865255832
SUMO2,up,post_vs_pre_pooled,1.19257595731868
DDI2,up,post_vs_pre_pooled,1.21017579518471
SELENOP,down,post_vs_pre_pooled,-1.16879169279532
DDT,up,post_vs_pre_pooled,1.54075761468564
F13B,down,post_vs_pre_pooled,-1.20133642659659
ILK,up,post_vs_pre_pooled,2.8434344552859
PRDX2,up,post_vs_pre_pooled,1.71441335792163
OLA1,up,post_vs_pre_pooled,1.52856683847102
FKBP1A,up,post_vs_pre_pooled,1.50512232816549
APOA4,down,post_vs_pre_pooled,-1.0701804920057
HBA2,up,post_vs_pre_pooled,1.61918829704993
S100A6,up,post_vs_pre_pooled,1.4085741940067
MDH1,up,post_vs_pre_pooled,1.43230727355955
HBA1,up,post_vs_pre_pooled,1.54806881806801
PNP,up,post_vs_pre_pooled,1.81439634388018
HBG1,up,post_vs_pre_pooled,1.48444101788159
HBG2,up,post_vs_pre_pooled,1.48444101788159
MTPN,up,post_vs_pre_pooled,1.62533854938554
EPB41,up,post_vs_pre_pooled,2.45793340760925
RAB14,up,post_vs_pre_pooled,1.50532988375404
CAPZB.1,up,post_vs_pre_pooled,1.3712399908268
SDCBP,down,post_vs_pre_pooled,-1.49593444699674
RAB8A,up,post_vs_pre_pooled,1.13284468157381
TALDO1,up,post_vs_pre_pooled,1.16146922458331
VCP,up,post_vs_pre_pooled,1.59290948021537
FCGR3B,down,post_vs_pre_pooled,-2.00031258468866
