feature,direction,phase_compared,pooled
LysoPC(15:0),down,post_vs_pre_pooled,-2.34156092256856
LysoPC(14:0),down,post_vs_pre_pooled,-2.10805669567388
LysoPC(17:0),down,post_vs_pre_pooled,-2.04656423017228
Inosine,up,post_vs_pre_pooled,2.16016237644412
Sphingosine 1-phosphate,down,post_vs_pre_pooled,-1.90702272598213
LysoPC(16:1),down,post_vs_pre_pooled,-1.88412608362027
PC(P38:3),up,post_vs_pre_pooled,1.80644278540504
FA (26:0) [M-H]-,up,post_vs_pre_pooled,1.90200586344407
LysoPC(18:0),down,post_vs_pre_pooled,-1.70887331193255
LysoPC(16:0),down,post_vs_pre_pooled,-1.84115577362452
PC (38:3) [M+H]+,down,post_vs_pre_pooled,-1.60007029540714
SM (d36:1) [M+H]+,up,post_vs_pre_pooled,1.66222879844102
SM (d36:0) [M+H]+,up,post_vs_pre_pooled,1.60634924779098
LysoPC(18:3),down,post_vs_pre_pooled,-1.63643262187465
PC(42:6),down,post_vs_pre_pooled,-1.4213687853488
LysoPC(20:1),down,post_vs_pre_pooled,-1.57919073462199
PC(36:6),down,post_vs_pre_pooled,-1.55321265713498
UDP,up,post_vs_pre_pooled,1.67984789828844
LysoPC(20:0),down,post_vs_pre_pooled,-1.48411894560862
2-Ketoisovaleric acid,down,post_vs_pre_pooled,-1.75774384679995
C-PAF/methylCarbamyl-PAF C-16,down,post_vs_pre_pooled,-1.71497126532819
LysoPC(18:1),down,post_vs_pre_pooled,-1.67671682167208
Dehydroascorbic Acid,down,post_vs_pre_pooled,-1.70529113429889
SM (d36:3) [M+H]+,up,post_vs_pre_pooled,1.43928636755034
N-Acetylphenylalanine,down,post_vs_pre_pooled,-1.75788323966551
PC(40:7),down,post_vs_pre_pooled,-1.48343548412117
PC(34:5),down,post_vs_pre_pooled,-1.46989300395738
Lyso-PAF C16,down,post_vs_pre_pooled,-1.55409226174191
LysoPC(20:2),down,post_vs_pre_pooled,-1.43069008175091
PC(P-40:3),up,post_vs_pre_pooled,1.45038165552713
Hydroquinone,down,post_vs_pre_pooled,-1.4946226249756
PC(30:0)),down,post_vs_pre_pooled,-1.54289045714835
Proline Betaine,down,post_vs_pre_pooled,-1.72401729334166
LysoPC(20:3),down,post_vs_pre_pooled,-1.37219249997751
PC(34:4),down,post_vs_pre_pooled,-1.42587625986876
2-Hydroxyisocaproic acid,up,post_vs_pre_pooled,1.66485913909614
