feature,direction,phase_compared,pooled
PF4,up,post_vs_pre_pooled,1.44567063619363
QPCT,down,post_vs_pre_pooled,-1.60475886695016
TGFB1,up,post_vs_pre_pooled,1.48319205302781
APP,up,post_vs_pre_pooled,1.32034624915781
CCN2,up,post_vs_pre_pooled,1.2772076280883
A2M,up,post_vs_pre_pooled,1.13154244702262
LTBP1,up,post_vs_pre_pooled,1.3075919825134
PF4V1,up,post_vs_pre_pooled,1.75597565127006
SNCA,up,post_vs_pre_pooled,1.79340561529807
LPL,down,post_vs_pre_pooled,-1.43732308160865
COL4A2,down,post_vs_pre_pooled,-1.74319995255833
PRDX2,up,post_vs_pre_pooled,1.09522150081175
FN1,down,post_vs_pre_pooled,-1.33698763061133
AIDA,up,post_vs_pre_pooled,1.16827626048096
SPARC,up,post_vs_pre_pooled,1.34964486673191
FBLN5,down,post_vs_pre_pooled,-2.10320760112062
PDGFA,up,post_vs_pre_pooled,1.05994113105643
FN1.1,down,post_vs_pre_pooled,-1.14206298847594
SRGN,up,post_vs_pre_pooled,1.43887172853598
MMRN1,up,post_vs_pre_pooled,1.08872072736526
ICAM3,down,post_vs_pre_pooled,-1.94201347830611
CARHSP1,up,post_vs_pre_pooled,1.38461526149042
AQR,down,post_vs_pre_pooled,-1.12378733721544
AHSP,up,post_vs_pre_pooled,1.06534953248914
FN3K,up,post_vs_pre_pooled,1.2318134476738
NCF1,down,post_vs_pre_pooled,-1.07123607157825
ABCF2,down,post_vs_pre_pooled,-1.86020269911609
BDNF,up,post_vs_pre_pooled,1.24622510336199
NDST1,down,post_vs_pre_pooled,-1.05739401161865
FBXO7,up,post_vs_pre_pooled,1.36402762652939
MNDA,down,post_vs_pre_pooled,-1.04210828463662
SKP1,up,post_vs_pre_pooled,1.73435010135967
CSE1L,down,post_vs_pre_pooled,-1.49217019734179
CXCL2,up,post_vs_pre_pooled,1.36287132980349
RPL27,up,post_vs_pre_pooled,1.64856072760038
TARS1,up,post_vs_pre_pooled,2.51874053977707
EIF2S1,up,post_vs_pre_pooled,1.6449781914381
CALU,up,post_vs_pre_pooled,2.66172071200099
LEAP2,down,post_vs_pre_pooled,-1.01229950940625
FGA.1,down,post_vs_pre_pooled,-2.43651304844875
