feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A011THE1,up,during_vs_pre,23.742243123350875,24.215608907332506,24.308286182212306,15.736097990435164
UniRef90_A0A011TK93,up,during_vs_pre,21.96603469168283,24.184559474900574,22.99220078327538,18.181491998879316
UniRef90_A0A011UVI2,up,during_vs_pre,19.377403311869635,23.76526333221095,22.932708208839458,19.879433679027894
UniRef90_A0A011UVR2,up,during_vs_pre,20.598471468058793,23.891143168619212,22.805785390279876,16.945198047000932
UniRef90_A0A014M9V3,down,during_vs_pre,-18.58699733962048,-22.01374918281741,-19.11996527366367,-19.835459860314714
UniRef90_A0A021WYF6,up,during_vs_pre,23.24217618907977,22.741360822587392,22.997554571097186,17.175119695401634
UniRef90_A0A021X2C9,up,during_vs_pre,22.48894214131048,23.520265337860852,22.76008865464626,19.490267232918935
UniRef90_A0A021X4J0,up,during_vs_pre,23.171593720005102,23.21117001366602,22.64030385912007,18.97177647776784
UniRef90_A0A021XBH5,up,during_vs_pre,21.772785936657765,23.316413573847928,22.993189431262195,19.0612551546709
UniRef90_A0A021XE48,up,during_vs_pre,22.22436518706715,22.79704619608832,22.79223366270831,18.566448025210306
UniRef90_A0A023XAI7,down,during_vs_pre,-17.1959392535158,-21.765673377951913,-18.734512275073566,-19.110037190502272
UniRef90_A0A023XF07,down,during_vs_pre,-18.397843118001624,-22.06676445020003,-18.106501600066,-18.649343900994435
UniRef90_A0A023XHD6,up,during_vs_pre,19.75816139179555,2.1982467591566537,3.4741788223376147,19.357191148279856
UniRef90_A0A023XHM2,up,during_vs_pre,21.18181528617839,23.393917513428928,21.453511791920967,18.67217496746264
UniRef90_A0A023XI19,up,during_vs_pre,20.320629798597032,23.132583036385384,21.24532580504723,18.393168371237543
UniRef90_A0A023XI99,down,during_vs_pre,-19.283538310927813,-21.615073849193877,-18.0688832188149,-18.34890245321804
UniRef90_A0A023XML3,up,during_vs_pre,20.52999190055579,24.128706691171942,21.613661337744748,18.83096232808684
UniRef90_A0A023XQ45,up,during_vs_pre,23.11332090227551,5.746350548414428,3.8193642666285275,4.9273969182027155
UniRef90_A0A023XQL9,down,during_vs_pre,-18.467519316505914,-21.93663350628918,-18.33402881103893,-18.934751488060378
UniRef90_A0A023XRY7,up,during_vs_pre,21.748729681134517,24.740599701753094,21.496286212991777,18.77363665751869
UniRef90_A0A023XSF9,up,during_vs_pre,3.952693595426437,24.65236693501064,3.6293123221392585,2.6919359331453645
UniRef90_A0A023XUC3,up,during_vs_pre,1.2921840010268666,23.484936568755657,2.014344466290846,1.9446729765110569
UniRef90_A0A024IZB8,up,during_vs_pre,22.559374056152322,20.77463667453127,22.402470064157832,18.5146524202587
UniRef90_A0A031G0M4,down,during_vs_pre,-17.563943509283405,-22.060644153030275,-20.695634130613755,-18.549347243602742
UniRef90_A0A031GCU8,down,during_vs_pre,-17.718920789011545,-19.424473188711573,-21.317698373543934,-18.998319553777666
UniRef90_A0A031GD01,down,during_vs_pre,-19.583253586613345,-22.3667084487769,-20.148730199999175,-17.47733402458378
UniRef90_A0A031GD61,down,during_vs_pre,-17.785037327089185,-21.701947015467322,-21.81140801392634,-19.227599492656328
UniRef90_A0A031GDM2,down,during_vs_pre,-17.452458439273126,-19.980935864332196,-20.202656740407836,-19.37075054262961
UniRef90_A0A031GE49,down,during_vs_pre,-20.10687088084964,-22.896417099420454,-22.679385884612675,-20.70214026775129
UniRef90_A0A031GLZ1,down,during_vs_pre,-1.179486309597852,-22.49670126233244,-20.8026480966619,-19.615389565313226
UniRef90_A0A031GMZ0,down,during_vs_pre,-18.192668467393315,-18.338530384623056,-4.2899917610514935,-2.1666018546953176
UniRef90_A0A031GQ73,down,during_vs_pre,-1.785469430216617,-21.57281138480417,-2.731902686573197,-1.904374859601899
UniRef90_A0A031GSE8,down,during_vs_pre,-20.290592263416674,-20.504452741753177,-20.89070018760204,-1.8350434562349953
UniRef90_A0A031GVR9,down,during_vs_pre,-17.000898616068465,-1.3842960008218397,-20.36802396490104,-18.575348428894063
