feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A014M9V3,down,post_vs_pre,-18.58699733962048,-22.01374918281741,-19.11996527366367,-19.835459860314714
UniRef90_A0A023W410,down,post_vs_pre,-18.84770682546822,-1.4063058060325295,-18.862600029020445,-20.374154365124184
UniRef90_A0A023XAI7,down,post_vs_pre,-17.1959392535158,-21.765673377951913,-18.734512275073566,-19.110037190502272
UniRef90_A0A023XF07,down,post_vs_pre,-18.397843118001624,-22.06676445020003,-18.106501600066,-18.649343900994435
UniRef90_A0A023XGN4,down,post_vs_pre,-18.51917422940798,-3.855138201940441,-1.926449180847302,-17.65306897657993
UniRef90_A0A023XI99,down,post_vs_pre,-19.283538310927813,-21.615073849193877,-18.0688832188149,-18.34890245321804
UniRef90_A0A023XQL9,down,post_vs_pre,-18.467519316505914,-21.93663350628918,-18.33402881103893,-18.934751488060378
UniRef90_A0A023XS18,down,post_vs_pre,-19.483166942288594,-24.23829021939155,-19.30844865505824,-21.271284246891447
UniRef90_A0A023XU42,down,post_vs_pre,-18.59435498053208,-4.108910036766522,-2.314978419558033,-20.646071422513643
UniRef90_A0A031H597,down,post_vs_pre,-19.282301908748362,-1.1634758140799648,-2.792099431102643,-17.724871302895956
UniRef90_A0A031HRB6,down,post_vs_pre,-17.95390276346725,-1.1614194678510927,-1.8477639593456303,-18.94756369801386
UniRef90_A0A031IC51,down,post_vs_pre,-19.326436070667448,-1.5691857979926023,-21.305731873957022,-19.659772381288334
UniRef90_A0A031IMR5,down,post_vs_pre,-16.71694446662523,-1.5256385545759354,-5.573469573468099,-1.3023316105426803
UniRef90_A0A059KLX7,down,post_vs_pre,-20.540388218287053,-24.276548593408908,-20.756136311437075,-19.531770437168586
UniRef90_A0A059KNY4,down,post_vs_pre,-19.984458791479604,-22.367037418057578,-20.509709615780473,-19.86380263191455
UniRef90_A0A062WLH3,down,post_vs_pre,-21.987561604781863,-1.5569062136808154,-18.76651488980562,-4.277883543177186
UniRef90_A0A063UEB3,down,post_vs_pre,-21.161710700413213,-22.856232434040884,-20.809543893686687,-18.68349840235587
UniRef90_A0A068YNL5,down,post_vs_pre,-19.785326341774983,-22.039189825427133,-2.4655004530101152,-17.580366537859714
UniRef90_A0A069B4P7,down,post_vs_pre,-19.20184871879819,-1.534882216137688,-1.2845148319283741,-20.54144674461876
UniRef90_A0A069I873,down,post_vs_pre,-19.186979061971005,-22.708044801915,-19.499855616897605,-19.544687156298526
UniRef90_A0A072SZW3,down,post_vs_pre,-18.528564756689384,-1.8811929206371092,-20.09298462558237,-20.442673232417338
UniRef90_A0A072T023,down,post_vs_pre,-19.863232970180693,-2.814075906484866,-19.055687564565915,-19.777342548165514
UniRef90_A0A072TKQ5,down,post_vs_pre,-21.607701000745077,-6.771579378255387,-4.209108224560691,-22.50074043130943
UniRef90_A0A072ZWS3,down,post_vs_pre,-19.546446737669456,-21.048319900519594,-19.695899436135804,-19.045520607062468
UniRef90_A0A073A8L1,down,post_vs_pre,-17.53649007319916,-1.1860469572879269,-4.1793892807369355,-19.450595768869483
UniRef90_A0A073AFT8,down,post_vs_pre,-19.638647437000028,-2.881186683654238,-20.017067103450138,-20.846483327984238
UniRef90_A0A077HLS4,up,post_vs_pre,1.5631221497863665,24.0783794396767,17.115582202393597,1.517091242772919
UniRef90_A0A080NGX7,down,post_vs_pre,-19.47120749563222,-22.379905984281,-19.985255941752666,-19.70555533268214
UniRef90_A0A081JE52,down,post_vs_pre,-20.118915310564706,-23.244088682012503,-20.88400228830729,-19.348677012929357
UniRef90_A0A081PMY5,down,post_vs_pre,-21.35135534937966,-22.925941498464347,-16.511551922385575,-22.5013142654167
UniRef90_A0A081PQN1,down,post_vs_pre,-20.8716182703537,-20.344333116367586,-18.864559984036962,-20.41434906047836
UniRef90_A0A081Q5F2,down,post_vs_pre,-19.792217839025593,-21.02054301540789,-17.955814480515546,-21.638940660291784
UniRef90_A0A081R0P0,down,post_vs_pre,-19.826352451127203,-20.465637810303786,-1.390275986139224,-3.476310475628707
UniRef90_A0A081R4P1,down,post_vs_pre,-17.67046953857995,-2.280062490995843,-15.649948463090348,-20.45516832767772
UniRef90_A0A081S8Z0,down,post_vs_pre,-19.924111274366993,-21.427247190314528,-17.831076277974933,-22.922705070831412
UniRef90_A0A081S9I0,down,post_vs_pre,-17.430207507921267,-20.897989930542963,-18.11009923058864,-20.955598119903552
UniRef90_A0A093TJY7,down,post_vs_pre,-19.599193091994717,-2.7374521657610154,-20.404618752242563,-19.63883006423206
UniRef90_A0A093TY99,down,post_vs_pre,-18.657612699955333,-22.57452446737639,-19.63713250738907,-18.723722041876872
UniRef90_A0A096H6H2,down,post_vs_pre,-20.443270376088662,-4.189333872328424,-3.328361265827209,-21.275014104930452
UniRef90_A0A098ZMK2,down,post_vs_pre,-16.64109684043815,-19.85216829057507,-15.558151617895346,-18.408080910148637
UniRef90_A0A0A0DK49,down,post_vs_pre,-17.80482846447907,-22.72173609140144,-18.369240910867376,-20.303894063603465
UniRef90_A0A0A0DL90,down,post_vs_pre,-18.858097385127746,-22.095400349673103,-19.129671245840157,-19.405333318756288
UniRef90_A0A0A0DL91,down,post_vs_pre,-18.607707170530695,-24.524613588060607,-19.63155424798644,-19.98124254755748
UniRef90_A0A0A0DLE4,down,post_vs_pre,-19.082278139759303,-21.41422637310309,-19.869085220780637,-19.996383836097515
UniRef90_A0A0A0DMB2,down,post_vs_pre,-18.798519264056164,-22.027369581591717,-18.947896576866988,-18.662001878112655
UniRef90_A0A0A0DME7,down,post_vs_pre,-18.783730449737583,-22.115838600309985,-20.164058648265062,-19.434926125175135
UniRef90_A0A0A0DMN5,down,post_vs_pre,-18.528564756689384,-20.930903093001604,-18.004081446283667,-18.29067287597601
UniRef90_A0A0A0DMY2,down,post_vs_pre,-20.328594949701408,-22.320235986083098,-20.200187804470787,-20.316702477383732
UniRef90_A0A0A0DN18,down,post_vs_pre,-19.721647168608303,-22.439253539393054,-20.47971679059686,-19.381999832524855
UniRef90_A0A0A0DN70,down,post_vs_pre,-19.17538629870961,-22.217829047372494,-18.67269811438949,-19.630061481765097
UniRef90_A0A0A0DNN3,down,post_vs_pre,-18.93788622403782,-22.19183545746036,-18.713812724751286,-18.7739901887035
UniRef90_A0A0A0DNT4,down,post_vs_pre,-17.67726313068638,-22.07959187831231,-18.464065739979535,-18.38492003040986
UniRef90_A0A0A0DP23,down,post_vs_pre,-18.74173798417416,-22.00656521018246,-18.601614841959865,-18.781373588809743
UniRef90_A0A0A0DPQ9,down,post_vs_pre,-17.897406282726852,-22.62166550227025,-18.88808423311007,-18.396477962303713
UniRef90_A0A0A0DPS8,down,post_vs_pre,-17.47812707103004,-22.321236604802287,-19.68640648467259,-18.770746686880976
UniRef90_A0A0A0DPT6,down,post_vs_pre,-17.55275914307968,-22.759171037968766,-18.591168028166773,-18.618871777314787
UniRef90_A0A0A0DQ13,down,post_vs_pre,-20.467765068613584,-23.034948875130787,-20.393611462133105,-19.247871126170093
UniRef90_A0A0A0DQ19,down,post_vs_pre,-19.07698343556042,-22.713788606986054,-19.96580447849431,-19.187623513182146
UniRef90_A0A0A0DQC4,down,post_vs_pre,-17.459186110755542,-22.338939722300566,-15.986464267334126,-19.336132407577065
UniRef90_A0A0A0DQC5,down,post_vs_pre,-18.802679384421786,-22.323638926598004,-18.478133655969483,-18.532311530398584
UniRef90_A0A0A0DQS5,down,post_vs_pre,-19.449306522879173,-22.703257198426684,-20.158242732388413,-19.700450442762946
UniRef90_A0A0A0DQX1,down,post_vs_pre,-19.448883237873304,-23.232366028926318,-19.71993299571869,-18.44521831422021
UniRef90_A0A0A0DRJ8,down,post_vs_pre,-18.536491337975022,-23.03835812878277,-18.6858723209208,-18.450597782415116
UniRef90_A0A0A0DRP5,down,post_vs_pre,-21.60500483910014,-22.929023756535013,-4.126671452823844,-20.067529333513324
UniRef90_A0A0A0DRP8,down,post_vs_pre,-18.030877240997373,-22.53275026635587,-17.296097673429017,-19.114907286649736
UniRef90_A0A0A0DRR2,down,post_vs_pre,-18.429571561402085,-21.231005300101884,-17.752985998429917,-17.96516988135422
UniRef90_A0A0A0DRY2,down,post_vs_pre,-19.950474736334208,-22.47506470021048,-19.851207648649023,-19.281064446052568
UniRef90_A0A0A0DS10,down,post_vs_pre,-20.343838129311326,-22.054230576939858,-20.031453076419712,-18.450597782415116
UniRef90_A0A0A0DS97,down,post_vs_pre,-19.07632240410357,-23.190268535627002,-20.526360095391805,-19.0923106678773
UniRef90_A0A0A0DSM6,down,post_vs_pre,-20.022116269560573,-22.939027404333427,-19.79298565026295,-19.820747701938508
UniRef90_A0A0A0DSR6,down,post_vs_pre,-17.89415263354856,-22.427732872612513,-18.873609323744443,-17.486332252768666
UniRef90_A0A0A0DT59,down,post_vs_pre,-19.83435119488633,-22.166294993245938,-19.98373077540939,-18.163497356421015
UniRef90_A0A0A0DT69,down,post_vs_pre,-17.33121729162404,-23.0554776773395,-19.834479794387036,-18.98228896171772
UniRef90_A0A0A0DTE2,down,post_vs_pre,-18.520223487337596,-21.809103825997397,-18.42345654639228,-16.97941775198719
UniRef90_A0A0A0DTI8,down,post_vs_pre,-17.739631200138156,-22.018941225171623,-17.302808470471508,-17.65404858349753
UniRef90_A0A0A0DTN8,down,post_vs_pre,-19.09182876929947,-23.392071013385475,-18.132688823281143,-17.804307514604247
UniRef90_A0A0A0DTP5,down,post_vs_pre,-19.1946294243246,-23.025388044475672,-20.359243746686992,-19.129495172246514
UniRef90_A0A0A0DTY3,down,post_vs_pre,-19.329154700002665,-22.130586796485336,-19.478441139170183,-18.12778614229605
UniRef90_A0A0A0DU05,down,post_vs_pre,-19.653138387296742,-22.833082525337264,-18.925373821259562,-18.467718309291623
UniRef90_A0A0A0DU26,down,post_vs_pre,-19.80298801890065,-22.019461665566773,-18.524948476713586,-18.32333628928017
UniRef90_A0A0A0DU56,down,post_vs_pre,-16.536500191374987,-22.03836387858353,-18.422840880042116,-18.159437769520164
UniRef90_A0A0A0DU64,down,post_vs_pre,-19.493882154567814,-23.311258975347975,-19.705999606037302,-18.50110243597343
UniRef90_A0A0A0DUR2,down,post_vs_pre,-18.907930249687492,-21.95836898270344,-19.246070209241655,-19.11576252165472
UniRef90_A0A0A0DV31,down,post_vs_pre,-19.421182062400426,-21.8020454777187,-19.570561730228217,-17.477315576455265
UniRef90_A0A0A0DV40,down,post_vs_pre,-19.53728603034001,-23.475237788456038,-20.4446930782357,-20.00776415163342
UniRef90_A0A0A0DVB5,down,post_vs_pre,-19.17244297289284,-23.805562273689585,-19.995597412714073,-19.27919870106627
