feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A011TK93,up,during_vs_pre,18.440609666748422,22.241315492356737,17.25314575810568,18.033315449293767
UniRef90_A0A011UVR2,up,during_vs_pre,19.407913962220004,23.13364160155705,18.39615947234536,19.50918930080344
UniRef90_A0A023XFA1,up,during_vs_pre,19.81009539172415,22.480695796019976,20.570006684463745,18.869099784035576
UniRef90_A0A023XS18,up,during_vs_pre,18.890718491975246,23.624972001423213,19.837207517000216,19.2625880991556
UniRef90_A0A031JMN7,up,during_vs_pre,20.122557565229105,23.23227818738131,20.494683247343808,19.207692378904852
UniRef90_A0A068DBQ4,up,during_vs_pre,17.69969105542507,21.984336051461288,17.115180847643842,18.286022986757725
UniRef90_A0A069RJB6,down,during_vs_pre,-2.9424818653536273,-22.71445955958435,-1.2361761347306341,-1.4234601682602963
UniRef90_A0A074TEZ8,up,during_vs_pre,20.99158446937751,23.19493370514032,21.844477444660882,20.006537703498527
UniRef90_A0A081QKL9,up,during_vs_pre,18.46385959233318,22.44566582677336,16.14554412264238,16.786084530500286
UniRef90_A0A081QKW2,up,during_vs_pre,20.78781011847878,23.697729161055758,17.05819788586347,1.3018430701959216
UniRef90_A0A090G0F7,up,during_vs_pre,19.225126220915314,22.946530987733134,18.097134541462854,18.323492426178255
UniRef90_A0A090GUG3,up,during_vs_pre,17.670701194343202,22.47206731642856,16.68154726877292,16.84989373602132
UniRef90_A0A090MPN4,up,during_vs_pre,19.963473277290817,24.6977291080385,19.948401455029988,18.07469027337027
UniRef90_A0A0A3XQ90,up,during_vs_pre,19.54457491018585,23.855269330164003,19.91136565336244,19.232233532545436
UniRef90_A0A0A3XZA3,up,during_vs_pre,20.43043315388611,23.35711528715905,20.23290979544655,18.420729201785207
UniRef90_A0A0A3Y0C2,up,during_vs_pre,20.685060149969196,22.198157540952597,20.381366038003385,17.378730897698468
UniRef90_A0A0D1MIG5,up,during_vs_pre,19.38405014417105,24.12579756669556,20.228219204128802,17.91030309507115
UniRef90_A0A0D1NUY4,up,during_vs_pre,18.769794269305137,23.504046101534435,19.892444984605802,17.77739659785225
UniRef90_A0A0D1PEI1,up,during_vs_pre,3.4416004446480417,24.14129492941131,20.190745827812588,17.281078788589596
UniRef90_A0A0D7EIM9,up,during_vs_pre,19.344373936186514,23.400823033011342,20.15932504532706,18.850008235930705
UniRef90_A0A0D7NRL4,up,during_vs_pre,19.480005194020215,22.645836290583112,17.373612869918922,18.56925670924185
UniRef90_A0A0E1V8W7,down,during_vs_pre,-2.33604544497156,-24.569310239398245,-1.6026692343191216,-1.07683888922665
UniRef90_A0A0E1V9K1,down,during_vs_pre,-2.3999004656934213,-25.11362521807371,-1.45327357831463,-1.435860784941064
UniRef90_A0A0E1V9L9,down,during_vs_pre,-2.4225239760944612,-24.034677381513983,-1.5745260185172452,-1.212320401199931
UniRef90_A0A0E1V9Q6,down,during_vs_pre,-2.248920723697019,-24.369468818685657,-1.5154855791175592,-1.3668344033210262
UniRef90_A0A0E1VAD5,down,during_vs_pre,-2.351655421073047,-24.97860961545515,-1.5650735896819952,-1.0714528572390902
UniRef90_A0A0E1VAS8,down,during_vs_pre,-2.3508748038898895,-1.2530296319145575,-1.5078506709298984,-1.7238629629339743
UniRef90_A0A0E1VAU6,down,during_vs_pre,-2.4430343817008757,-23.251673051679326,-1.6311236009682362,-1.0954137765147058
UniRef90_A0A0E1VB47,down,during_vs_pre,-2.6659460875927055,-24.55868709238629,-1.6114963233687702,-1.280551129107979
UniRef90_A0A0E1VB71,down,during_vs_pre,-2.3956877598108512,-24.115616146253455,-1.551653354292319,-1.2050034030419017
UniRef90_A0A0E1VBD6,down,during_vs_pre,-2.2184651326376854,-23.19079600439806,-1.704568523542281,-1.210265271673767
