feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A085B1R1,up,post_vs_pre,22.46261335131791,23.57932449367279,1.2365148767683805,24.556603325206396
UniRef90_A0A0B2BEZ0,down,post_vs_pre,-19.65120647296564,-24.579922853056548,-15.492437403062933,-17.65835096926351
UniRef90_A0A0E1V8W7,down,post_vs_pre,-1.3064124732728293,-24.569310239398245,-1.0106624089337102,-2.167121962585825
UniRef90_A0A0E1VBY9,down,post_vs_pre,-1.2706610190741003,-26.735118535398122,-1.4492753152369855,-2.641974656472953
UniRef90_A0A0E1VC42,down,post_vs_pre,-1.2774358152782241,-1.175090927826286,-1.1022969830174725,-2.8168209207416135
UniRef90_A0A0E1VDC9,down,post_vs_pre,-1.364229615584949,-25.104642727134557,-1.0914510867830642,-2.8773254050302617
UniRef90_A0A0E1VLW9,down,post_vs_pre,-1.4429691311597606,-27.62820233204167,-1.0243686878124425,-2.4719469610497398
UniRef90_A0A0H2VG37,down,post_vs_pre,-1.4507539181473919,-24.865702927852936,-1.037064595168269,-2.5996511015224226
UniRef90_A0A0H2VHX1,down,post_vs_pre,-1.1836421136803805,-23.201409787762934,-1.071689210471922,-2.613304958988111
UniRef90_A0A0H2VIQ4,down,post_vs_pre,-1.2910383665935425,-23.975852019527508,-1.1615588426160828,-2.469063463624701
UniRef90_A0A0N0LYB1,down,post_vs_pre,-1.1882451550844584,-2.410771979869262,-1.1029566359383542,-2.850192391923741
UniRef90_A0A0N1ESH9,down,post_vs_pre,-1.2858436640224171,-1.3006269487740136,-1.02674366199329,-2.1103184729262288
UniRef90_A0A0P6CU78,up,post_vs_pre,3.572740078873107,30.09515535529503,1.988503158587902,26.374252262705514
UniRef90_A0A0V9UZR4,down,post_vs_pre,-1.2160653930699064,-1.3006302650868282,-1.0893665336589637,-1.9371745392445208
UniRef90_A0A160XR31,down,post_vs_pre,-1.434327867029433,-1.2118950536464352,-1.0518479129137268,-2.4055122088260728
UniRef90_A0A1U3XU64,down,post_vs_pre,-1.5458239456203753,-1.8855916044038128,-1.0347919707583553,-2.0651358891042237
UniRef90_A0A1U4A7R0,down,post_vs_pre,-1.7004883116405853,-1.1562196119815138,-1.0052539281674129,-20.517929165381116
