feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A023XSF9,up,during_vs_pre,18.243334391798285,17.515934632822912,1.0083118762494891,5.308014951162514
UniRef90_A0A028ZMA3,down,during_vs_pre,-22.145240699554076,-19.885989736459365,-21.121575041238195,-1.3617829380719524
UniRef90_A0A031H458,down,during_vs_pre,-20.03948537717986,-21.201121032424137,-21.31824213599936,-15.550997231532799
UniRef90_A0A072TKQ5,down,during_vs_pre,-19.23126103206076,-17.73538193455288,-23.102166297550003,-18.287219374517324
UniRef90_A0A074TEZ8,up,during_vs_pre,19.76040484321923,17.031464294624705,21.269405802566467,21.969561479105774
UniRef90_A0A095XJJ9,down,during_vs_pre,-16.499358014927907,-16.26017222321372,-19.85228006977739,-16.70498882633072
UniRef90_A0A095XPM1,up,during_vs_pre,18.18204754733795,1.7241567712184036,1.8155509993534789,4.387095045330693
UniRef90_A0A095XPW8,up,during_vs_pre,18.72091054645519,1.0733819159505538,1.7858146432868724,19.350883084087087
UniRef90_A0A095XQH0,up,during_vs_pre,17.948988830951787,2.6704726762515745,2.330141325665617,19.572108060062327
UniRef90_A0A095ZTG7,up,during_vs_pre,18.834120715900575,3.4620116263180534,21.43056025564361,5.802119861635636
UniRef90_A0A095ZU55,up,during_vs_pre,17.322130607442908,2.37690643710823,1.160210628222687,4.480151729912639
UniRef90_A0A0B1YA86,down,during_vs_pre,-18.16934111048708,-18.19952857421621,-19.621275056626942,-16.059358545173055
UniRef90_A0A0B1ZDW4,down,during_vs_pre,-18.656763513842797,-19.009470544757548,-19.430631543427886,-16.41619276002255
UniRef90_A0A0B2ALV6,down,during_vs_pre,-19.02134058927827,-19.788489474106367,-21.21023989589664,-16.53283783904101
UniRef90_A0A0B2AQ77,down,during_vs_pre,-18.906443401989605,-17.59559987105939,-20.705399804680226,-16.37947426375147
UniRef90_A0A0B2AQE8,down,during_vs_pre,-17.308016032629634,-17.07516922312184,-20.159877494465754,-16.660808368439383
UniRef90_A0A0B2ATE0,down,during_vs_pre,-17.93387887774334,-16.964070066282307,-19.97077388962388,-16.21086156002176
UniRef90_A0A0B2AU49,down,during_vs_pre,-19.601800404239256,-17.95391602171279,-20.91329265266884,-16.92065136984614
UniRef90_A0A0B2AUV3,down,during_vs_pre,-20.146867366722034,-19.32905978047515,-20.75080973908865,-17.073402416451813
UniRef90_A0A0B2AWM1,down,during_vs_pre,-17.460629204701462,-18.81274033047685,-20.234487290179054,-14.972152631124533
UniRef90_A0A0B2AYV0,down,during_vs_pre,-19.79894477879029,-17.98113800378197,-18.90778358942546,-14.725520702361017
UniRef90_A0A0B2AZ52,down,during_vs_pre,-19.607813708032907,-17.788493191357173,-20.210240490539245,-16.70275889564412
UniRef90_A0A0B2AZ61,down,during_vs_pre,-18.124099429387982,-17.477834669421974,-19.897961135239356,-17.159151938025236
UniRef90_A0A0B2AZC4,down,during_vs_pre,-20.061230978915095,-17.368958256049794,-22.895835402866105,-17.636851156626534
UniRef90_A0A0B2BA01,down,during_vs_pre,-20.758298862867193,-18.753298373861483,-22.883622702966743,-18.493981806667865
UniRef90_A0A0B2BAQ8,down,during_vs_pre,-21.00179598568689,-19.11687103215871,-3.7092902363287226,-19.35771736694632
UniRef90_A0A0B2BEZ0,down,during_vs_pre,-1.6599680598756559,-18.144636669685443,-4.069367897803759,-18.746950532925915
UniRef90_A0A0B5D9T6,up,during_vs_pre,1.320473862599873,1.1234003732757916,20.49067952929758,1.0262330082345406
UniRef90_A0A0B5L5T4,down,during_vs_pre,-1.3986453855090297,-3.517956080944601,-1.7435337520132086,-2.1173759676832025
UniRef90_A0A0D1IBX6,down,during_vs_pre,-2.2352041024148797,-1.9202814291800865,-2.8445200072294106,-2.3125054713125928
UniRef90_A0A0D1JT97,down,during_vs_pre,-2.7552719616945054,-1.2376787853123221,-21.95693324461547,-1.928026125872655
UniRef90_A0A0D5AW61,down,during_vs_pre,-18.69941317222026,-17.466567751643094,-20.32634719027299,-16.791285855697804
UniRef90_A0A0D5WPL2,down,during_vs_pre,-18.819699904608747,-17.849893736021315,-20.686679191066496,-17.294752358180457
