feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A031H458,down,post_vs_pre,-20.03948537717986,-21.201121032424137,-2.0163507937225567,-15.550997231532799
UniRef90_A0A072TKQ5,down,post_vs_pre,-19.23126103206076,-17.73538193455288,-23.102166297550003,-18.287219374517324
UniRef90_A0A095XJJ9,down,post_vs_pre,-16.499358014927907,-16.26017222321372,-1.7516776116331698,-16.70498882633072
UniRef90_A0A0A7CC77,down,post_vs_pre,-17.777225344363977,-18.935048957287698,-1.0611765620179656,-17.194968411614997
UniRef90_A0A0B1YA86,down,post_vs_pre,-18.16934111048708,-18.19952857421621,-19.621275056626942,-16.059358545173055
UniRef90_A0A0B1ZDW4,down,post_vs_pre,-18.656763513842797,-19.009470544757548,-19.430631543427886,-16.41619276002255
UniRef90_A0A0B2ALV6,down,post_vs_pre,-19.02134058927827,-19.788489474106367,-21.21023989589664,-16.53283783904101
UniRef90_A0A0B2AQ77,down,post_vs_pre,-18.906443401989605,-17.59559987105939,-20.705399804680226,-16.37947426375147
UniRef90_A0A0B2AQE8,down,post_vs_pre,-17.308016032629634,-17.07516922312184,-20.159877494465754,-16.660808368439383
UniRef90_A0A0B2ATE0,down,post_vs_pre,-17.93387887774334,-16.964070066282307,-19.97077388962388,-16.21086156002176
UniRef90_A0A0B2AU49,down,post_vs_pre,-19.601800404239256,-17.95391602171279,-20.91329265266884,-16.92065136984614
UniRef90_A0A0B2AUV3,down,post_vs_pre,-20.146867366722034,-19.32905978047515,-20.75080973908865,-17.073402416451813
UniRef90_A0A0B2AWM1,down,post_vs_pre,-17.460629204701462,-18.81274033047685,-20.234487290179054,-14.972152631124533
UniRef90_A0A0B2AYV0,down,post_vs_pre,-19.79894477879029,-17.98113800378197,-18.90778358942546,-14.725520702361017
UniRef90_A0A0B2AZ52,down,post_vs_pre,-19.607813708032907,-17.788493191357173,-20.210240490539245,-16.70275889564412
UniRef90_A0A0B2AZ61,down,post_vs_pre,-18.124099429387982,-17.477834669421974,-19.897961135239356,-17.159151938025236
UniRef90_A0A0B2AZC4,down,post_vs_pre,-20.061230978915095,-17.368958256049794,-22.895835402866105,-17.636851156626534
UniRef90_A0A0B2AZF8,down,post_vs_pre,-16.835478879142673,-17.608661514232523,-19.838619711927414,-15.365012355833901
UniRef90_A0A0B2BA01,down,post_vs_pre,-20.758298862867193,-18.753298373861483,-22.883622702966743,-18.493981806667865
UniRef90_A0A0B2BAQ8,down,post_vs_pre,-21.00179598568689,-19.11687103215871,-23.538622766746265,-19.35771736694632
UniRef90_A0A0B2BEZ0,down,post_vs_pre,-20.464943532622975,-18.144636669685443,-23.14885528584611,-18.746950532925915
UniRef90_A0A0D1NWG0,down,post_vs_pre,-17.28437830894142,-20.44600665148368,-19.888315666181857,-14.532883485681545
UniRef90_A0A0D5AW61,down,post_vs_pre,-18.69941317222026,-17.466567751643094,-20.32634719027299,-16.791285855697804
UniRef90_A0A0D5WPL2,down,post_vs_pre,-18.819699904608747,-17.849893736021315,-20.686679191066496,-17.294752358180457
UniRef90_A0A0D6IFU1,down,post_vs_pre,-18.766018752488364,-16.615414113126455,-20.880077968482304,-16.465518577757777
UniRef90_A0A0E1V9I9,down,post_vs_pre,-3.2516367969941267,-18.40950557589232,-20.332029261651364,-3.242916369959472
UniRef90_A0A0E1VA41,down,post_vs_pre,-1.4752724603143639,-19.668553206939233,-22.53455612012446,-3.7280625055676584
UniRef90_A0A0E1VAF7,down,post_vs_pre,-2.2152351438194637,-20.041411395284626,-3.028068069578546,-4.4974344582809795
UniRef90_A0A0E1VB71,down,post_vs_pre,-2.2326563239860637,-19.64789812265638,-1.1767897356968702,-3.153910533717692
UniRef90_A0A0E1VCN7,down,post_vs_pre,-2.097758751470211,-1.3661338322240602,-16.824374565397907,-3.9389817858535823
UniRef90_A0A0E1VE64,down,post_vs_pre,-1.9329676451580562,-17.161630545079646,-1.090804437306498,-4.214159828576076
UniRef90_A0A0E1VEH2,down,post_vs_pre,-2.3939219600844774,-17.04866424827866,-1.2872546082020477,-3.109380730741571
UniRef90_A0A0E1VHE8,down,post_vs_pre,-2.3055197153860587,-18.216857932960384,-22.57796958180229,-2.252762389200605
UniRef90_A0A0E1VI23,down,post_vs_pre,-2.4345752367035067,-16.75441344859482,-19.56329683661823,-2.809284109595959
UniRef90_A0A0E1VI78,down,post_vs_pre,-2.044311253191867,-3.96080666095816,-1.709292757170293,-24.052088145227874
UniRef90_A0A0E1VN06,down,post_vs_pre,-2.272022736406875,-1.3658953583551285,-19.896360492572118,-2.353928372735704
UniRef90_A0A0E1VP99,down,post_vs_pre,-2.369622171009617,-17.3318529120394,-1.0255631387418411,-2.4500110603221774
UniRef90_A0A0E1VPL8,down,post_vs_pre,-16.277299509727676,-1.1618034193095683,-17.17908943856677,-23.304274766112478
UniRef90_A0A0E2P8U1,down,post_vs_pre,-15.515689573170103,-21.056439928935944,-20.498745021456365,-19.347264508611683
UniRef90_A0A0E4BML9,down,post_vs_pre,-18.41252712145928,-19.837198275708335,-16.369375827058114,-16.302543730950536
UniRef90_A0A0F0DFP7,down,post_vs_pre,-17.784847812736743,-16.87393668647164,-20.29586943190782,-16.34074259834475
UniRef90_A0A0F0DGQ7,down,post_vs_pre,-18.168342402915428,-17.520460104696006,-20.81667510449294,-16.139278209962544
UniRef90_A0A0F0DID6,down,post_vs_pre,-18.561903209078633,-17.814488589545515,-20.335946021764045,-14.921433417328869
UniRef90_A0A0F0DNZ2,down,post_vs_pre,-18.49883232970932,-17.818309632690053,-20.240054877304587,-16.71799765252723
UniRef90_A0A0F0DRG1,down,post_vs_pre,-18.535909423992642,-18.303065726944617,-20.72481330658347,-16.047415069408412
UniRef90_A0A0F0DY84,down,post_vs_pre,-17.183402770013135,-17.950550201707816,-20.372298633669015,-16.395333300904884
UniRef90_A0A0F0E3P3,down,post_vs_pre,-18.86429800432924,-16.631456554582385,-19.901196393670585,-16.608452166265796
UniRef90_A0A0F0E4F2,down,post_vs_pre,-17.32090335650991,-17.088056659423433,-19.509803993374696,-15.41738006388528
UniRef90_A0A0H2VE90,down,post_vs_pre,-21.763251682027253,-19.865783605160395,-19.197855788682215,-2.3292950827413423
UniRef90_A0A0H2VEA2,down,post_vs_pre,-4.263909035242843,-16.216872138999,-19.577972730932235,-2.520257180537083
UniRef90_A0A0H2VFG6,down,post_vs_pre,-1.8012664583913591,-2.365885211627098,-3.201868883109661,-3.6214955826765554
UniRef90_A0A0H2VFL5,down,post_vs_pre,-3.4581457971275076,-17.470616511004923,-1.4918615546767118,-2.74035618602181
UniRef90_A0A0H2VID4,down,post_vs_pre,-1.0754204354346444,-17.833752799261987,-18.477369602451173,-2.3878669560519534
UniRef90_A0A0H2VJQ9,down,post_vs_pre,-2.962321724242823,-2.36588787515496,-18.630815758704546,-3.380810803820609
UniRef90_A0A0J9DMG0,down,post_vs_pre,-18.337643677436763,-17.104800069292345,-20.84847139871858,-16.01906942933111
UniRef90_A0A0J9DRF1,down,post_vs_pre,-18.782845745239676,-16.742651540796835,-21.223282721877624,-16.36145836296717
UniRef90_A0A0K1RBV7,down,post_vs_pre,-16.509589460626483,-16.65585677593464,-17.32449701579066,-1.5767496651831545
UniRef90_A0A0K1ZKN9,down,post_vs_pre,-18.304348350510843,-17.33454099531373,-20.25878568772954,-16.137778336273637
UniRef90_A0A0K1ZN85,down,post_vs_pre,-18.16367096672113,-16.930517904846116,-20.15997190904773,-15.922793433412282
UniRef90_A0A0K1ZNQ0,down,post_vs_pre,-18.279872007152605,-17.04703158167685,-20.790701403288963,-15.878841227177121
UniRef90_A0A0M2LHR7,down,post_vs_pre,-15.657458022458181,-20.025224741681523,-19.811510583710763,-16.909408729839715
UniRef90_A0A0M3TC22,up,post_vs_pre,15.954946004304954,15.993808197846706,1.1323960340045296,1.149350101239691
UniRef90_A0A0N0LUG1,down,post_vs_pre,-1.7210842203810353,-1.6878269452759198,-1.144099606015052,-2.9325863049142695
UniRef90_A0A0N1MQS0,down,post_vs_pre,-2.5270293755870163,-19.117936430109687,-3.3332412740890143,-2.941950390109432
UniRef90_A0A0Q1AUL9,down,post_vs_pre,-2.3162255500463167,-16.533405783304048,-2.294301656556952,-3.1785758922387948
UniRef90_A0A0Q6SXG2,down,post_vs_pre,-18.914426984343308,-17.681268156439728,-20.691696669255098,-15.553549301953776
UniRef90_A0A0Q6T2E4,down,post_vs_pre,-18.542587305577737,-17.087783947705002,-20.783043251924596,-16.353893440199066
UniRef90_A0A0Q6T894,down,post_vs_pre,-18.709253249962373,-17.323248317388263,-20.824219418865567,-17.028042739798735
UniRef90_A0A0Q6TEX3,down,post_vs_pre,-18.852073271443235,-16.879479548989146,-21.112692964468156,-15.843831108982306
UniRef90_A0A0Q6TJ09,down,post_vs_pre,-19.027482190161518,-17.056351941755132,-20.54026838376686,-16.3848568091834
UniRef90_A0A0Q6U3X6,down,post_vs_pre,-17.987278817980155,-17.861236371025235,-20.950934349441468,-16.59277333185755
UniRef90_A0A0Q6U6D9,down,post_vs_pre,-18.730924490156227,-17.17673805248937,-21.120636773317955,-17.126724635591394
UniRef90_A0A0Q6WN85,down,post_vs_pre,-18.585604426451084,-17.77057571749656,-20.89250353639818,-16.31942515963842
UniRef90_A0A0Q7SE61,down,post_vs_pre,-18.160982578897045,-17.018334222420446,-19.4379423485555,-15.85429213795126
UniRef90_A0A0Q7SK38,down,post_vs_pre,-18.5657628150764,-17.43210143013732,-20.605535884292756,-16.527477006060398
UniRef90_A0A0Q7SPK9,down,post_vs_pre,-17.532241764239345,-16.300298930203713,-20.04427893155124,-15.991448032432316
UniRef90_A0A0Q7SQK9,down,post_vs_pre,-17.785705751975705,-16.971517359362025,-21.09081087501771,-17.329714598132487
UniRef90_A0A0Q7SRY2,down,post_vs_pre,-17.504956023087118,-16.814519882344502,-21.42931598037535,-16.41690196179004
UniRef90_A0A0Q7ST49,down,post_vs_pre,-18.598431787957182,-18.066027857231607,-21.431261070906977,-17.259887285752832
UniRef90_A0A0Q7SVK4,down,post_vs_pre,-18.161548540129814,-17.02130895688768,-20.997350641201134,-16.68480796456968
UniRef90_A0A0Q8GLT7,down,post_vs_pre,-17.23894890672579,-17.293088412007382,-17.622893089020323,-15.753173214126553
UniRef90_A0A0Q8GZ47,down,post_vs_pre,-18.47541811301974,-16.475554011631257,-20.705638855267704,-16.510027511581296
UniRef90_A0A0R2XCZ8,down,post_vs_pre,-19.720545434157533,-18.614121492018477,-19.450018436550682,-15.094572578492796
UniRef90_A0A0R2XL27,down,post_vs_pre,-19.104860629120722,-17.872017502782402,-21.46368816810958,-16.938285485538756
UniRef90_A0A0S3PRE0,down,post_vs_pre,-18.863360533458515,-17.308362733530398,-20.711593881239825,-15.430702997815086
UniRef90_A0A0S4U8T0,down,post_vs_pre,-18.463892843946006,-17.131512023753643,-20.138217210696453,-16.112941712689437
UniRef90_A0A0S4UKG9,down,post_vs_pre,-17.763324770348863,-17.752870609213705,-21.27415232769868,-15.937795249726936
UniRef90_A0A0S4V0S1,down,post_vs_pre,-16.866643044112486,-16.830308876004725,-19.58604871631522,-15.685606590584412
UniRef90_A0A0S4V0Z7,down,post_vs_pre,-17.956688105416596,-17.401915578788667,-20.698127831068167,-15.953620523338031
UniRef90_A0A0S4V8H5,down,post_vs_pre,-18.63844887729537,-17.15768575099352,-20.223283311168537,-16.456985349243904
UniRef90_A0A0S4VAP4,down,post_vs_pre,-18.16762885016844,-17.12743351309752,-20.758705505322887,-16.298038694489975
UniRef90_A0A0S4VPU9,down,post_vs_pre,-18.45790852874423,-17.64010368801725,-21.231772945858996,-15.499939290592764
UniRef90_A0A0S4WLB2,down,post_vs_pre,-19.422414548178345,-17.189576857469742,-22.04872089259708,-17.18197720586888
UniRef90_A0A0S6UL88,down,post_vs_pre,-17.150626575758988,-19.674829601849094,-18.339526735539817,-15.102713895109979
UniRef90_A0A0T7K2I0,down,post_vs_pre,-15.923961898954982,-19.650470381100547,-19.92558003373031,-14.954500778533346
UniRef90_A0A0T8A9Q9,down,post_vs_pre,-15.648151575019593,-18.855565048610618,-17.770541306114527,-12.810846063430208
UniRef90_A0A0U0HCP5,down,post_vs_pre,-19.054625513959188,-20.417439472115298,-18.062230638048426,-16.95997175489837
UniRef90_A0A0U0K4V6,down,post_vs_pre,-15.488478271786374,-18.99588397801047,-19.182880065096946,-13.35279750688904
UniRef90_A0A0U5QAZ5,down,post_vs_pre,-1.2530686835038065,-24.697545303173463,-24.53411458778256,-2.6078087043010427
