feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A085B5P6,up,during_vs_pre,22.783357780806536,24.423200499582443,1.0323846268591406,21.960403251979788
UniRef90_A0A0E1VGD7,up,during_vs_pre,22.753309596894187,4.182589202625854,1.498190177591033,2.0317098090210592
UniRef90_D4HEI8,down,during_vs_pre,-3.1321815618519824,-26.783908736442818,-26.26170147769479,-26.129768044410216
UniRef90_Q5HNW1,up,during_vs_pre,22.70325684633001,1.1515769068631574,1.2972548764638885,1.4467439847253003
UniRef90_Q6A9L4,down,during_vs_pre,-2.0535604966022576,-22.654624885033368,-21.688919443980513,-24.322415136327912
UniRef90_UPI000C1FBBDC,up,during_vs_pre,21.48618492403235,1.5569282336198134,1.6744349822334132,24.960539931612708
UniRef90_W4TKG2,down,during_vs_pre,-1.1737727973557124,-21.664473471167934,-22.722283829486646,-22.876976695875385
UniRef90_W4TMQ7,up,during_vs_pre,22.587203413202257,4.128179342991883,1.6738677483722353,22.418090141143228
UniRef90_W4TVH9,down,during_vs_pre,-1.2572363654724192,-27.489006749577353,-1.7310202679534485,-28.48076282482466
UniRef90_W4TVV6,down,during_vs_pre,-2.337377818333733,-26.497906819605276,-2.818274284173474,-26.129768044410216
UniRef90_W4U246,down,during_vs_pre,-1.1586507903038425,-21.55783994646421,-20.592133067562838,-1.1568598872087084
UniRef90_W4U4E1,down,during_vs_pre,-1.577262334112463,-26.298147257377032,-1.2524551089015006,-2.46352723575157
UniRef90_W4U7H0,down,during_vs_pre,-1.3792140241369617,-21.74577757266782,-1.2339225239073839,-3.1553451600947495
UniRef90_W4U8F7,down,during_vs_pre,-1.65554281409619,-23.62523404754679,-2.068436357528444,-24.652800908308677
UniRef90_W4U8T2,down,during_vs_pre,-1.1922960735277357,-27.94111730189478,-1.4669488319282198,-27.480762828675985
UniRef90_W4U8W9,down,during_vs_pre,-2.5949664662376564,-27.658520103540564,-1.0518578064119035,-29.630945528670907
UniRef90_W4UA81,down,during_vs_pre,-1.749418394910493,-23.715821367441837,-22.678864513034352,-26.200389704596557
UniRef90_W4UAQ8,down,during_vs_pre,-1.4218013918866081,-24.12920106570325,-1.2307739702214906,-2.1913734395577698
UniRef90_W4UBK8,down,during_vs_pre,-1.5769803549821357,-23.461980753927193,-21.49627076925935,-24.12977203306101
