feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A085B273,down,post_vs_pre,-1.3277958804891405,-23.320385067185637,-24.388501791879246,-22.129769649041172
UniRef90_A0A0E1VIJ6,up,post_vs_pre,23.31004333864733,2.3164954433288045,1.157580234649446,2.341159633839551
UniRef90_A0A0H2VGZ9,down,post_vs_pre,-28.462326030686253,-30.127743214085758,-26.30362684669965,-29.93712762644217
UniRef90_A0A1N4WEN0,down,post_vs_pre,-1.023301337763957,-1.01792040380554,-1.0879174491959298,-1.8692204517359157
UniRef90_A0A2G7HZ39,up,post_vs_pre,1.4794670713099962,1.5502778083417235,1.0433112241087925,1.7561936718933395
UniRef90_A7X7B0,up,post_vs_pre,1.5547010506534618,1.9153915952005407,3.234686516118231,28.51986720283927
UniRef90_D4HDF2,down,post_vs_pre,-1.8555220005366821,-26.955833214724453,-1.801001348049487,-2.1724806592777903
UniRef90_F9NYE8,down,post_vs_pre,-1.8993703174709384,-1.172996208657468,-1.0160639785173673,-2.008730736346675
UniRef90_Q2FH98,up,post_vs_pre,26.411451222003237,2.0293158991767037,3.6482358971048243,29.868496001185328
UniRef90_Q49ZE3,up,post_vs_pre,1.8912219750453243,1.6425372703647625,1.5423821153287194,2.6424838244657365
UniRef90_Q4L8A2,up,post_vs_pre,21.827491958902407,1.173217964531241,1.3371043890537253,1.348027624206829
UniRef90_Q5HQJ0,up,post_vs_pre,26.54155495609636,1.1949400314726843,1.507326805443647,2.193522431141135
UniRef90_Q5HRI4,down,post_vs_pre,-20.496539466618298,-24.686030378030352,-1.4006811691758745,-23.778697026049134
UniRef90_Q6AAL4,down,post_vs_pre,-2.5362005780074015,-1.7073004356280725,-1.6048428810280866,-1.7819423510134622
UniRef90_UPI0001EF30A5,down,post_vs_pre,-1.2020772842180338,-1.0478354494453128,-1.564709173658744,-2.402798631963392
UniRef90_UPI00026C0F0D,down,post_vs_pre,-1.105495045351888,-25.815226063416922,-1.7383421260772571,-23.727671462771998
UniRef90_W4TF73,down,post_vs_pre,-1.793995309628748,-24.986466278243746,-1.9891840680339679,-1.405447670904531
UniRef90_W4TGK3,down,post_vs_pre,-1.4525311332244832,-23.93157467070905,-23.379976339223717,-25.377975932353454
UniRef90_W4THW6,down,post_vs_pre,-1.9069975959216707,-20.905929741137907,-22.022027180140576,-1.3905595668314565
UniRef90_W4TIX6,down,post_vs_pre,-1.57667130351769,-23.658290926332338,-23.431392053278397,-23.371643857756098
UniRef90_W4TJ76,down,post_vs_pre,-20.543459520584197,-20.32682261839707,-20.349432063274417,-23.345604986927626
UniRef90_W4TKG2,down,post_vs_pre,-1.1677847094060525,-21.664473471167934,-22.722283829486646,-22.876976695875385
UniRef90_W4TMY3,down,post_vs_pre,-4.028857953173989,-2.106580260242852,-22.113296947481892,-1.4474714643135562
UniRef90_W4TQF3,down,post_vs_pre,-1.4625593317967878,-1.421637104049596,-1.5009996211207,-1.5079021942861568
UniRef90_W4TW47,down,post_vs_pre,-1.2820123699041013,-23.827623141651408,-1.3058176847213434,-1.1707059416459435
UniRef90_W4TWV0,down,post_vs_pre,-1.3004503194043435,-1.2206160870394176,-1.5317328508961352,-23.0544843670286
UniRef90_W4TX68,down,post_vs_pre,-1.7295609158370162,-21.85429962148467,-24.039295573860688,-24.288118620400112
UniRef90_W4TXH7,down,post_vs_pre,-2.089528684858453,-23.335603479588254,-2.027280654619762,-3.2831358325645095
UniRef90_W4U061,down,post_vs_pre,-1.1848120471210748,-28.087046291409685,-1.8652929602745287,-1.3019474832309532
UniRef90_W4U2X3,down,post_vs_pre,-1.7940295380044322,-2.264577653596899,-2.3416917601398914,-2.3508412536332823
UniRef90_W4U391,down,post_vs_pre,-1.0822066991920154,-21.40143944149207,-3.0216335926901845,-23.198904753304422
UniRef90_W4U427,down,post_vs_pre,-1.0808806851691164,-22.92123398559641,-20.243704347824988,-21.65481008893741
UniRef90_W4UBK8,down,post_vs_pre,-1.0875174839060355,-23.461980753927193,-21.49627076925935,-24.12977203306101
UniRef90_W4UC58,down,post_vs_pre,-1.4019086048298828,-21.5111112769695,-1.5514710595720738,-1.2978434853281113
UniRef90_W4UCA4,down,post_vs_pre,-1.9088026849294544,-22.318914841145002,-1.445902932379614,-1.8853018953244904
UniRef90_W4UCK9,up,post_vs_pre,1.6207078784294724,3.431904176053274,24.739270434993692,27.240192781920715
UniRef90_W4UDU4,down,post_vs_pre,-1.2354153273381512,-3.245984970896885,-1.0017418648165246,-2.430408722194611
UniRef90_W4UEL9,down,post_vs_pre,-3.5478469753500566,-2.4238985030112548,-23.143899410609187,-23.490456706387583
UniRef90_W4UJF4,up,post_vs_pre,1.8226592530002839,1.5638424508246567,1.1845317703756546,22.857264420501316
