feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A011THE1,up,during_vs_pre,18.21148909572065,21.398269290383112,16.744255718861922,21.570719911598708
UniRef90_A0A011TK93,up,during_vs_pre,18.050225974089095,20.42965192129572,15.41053913221556,20.471031648408193
UniRef90_A0A011U6K4,up,during_vs_pre,18.398065181876248,21.028451767576094,16.82875012399416,19.959127481367002
UniRef90_A0A011UVI2,up,during_vs_pre,17.320126242997908,20.849371501205532,16.235621614188233,20.380363824653227
UniRef90_A0A011UVR2,up,during_vs_pre,17.835640272077505,19.906943427711486,17.035759744461856,20.81748999773554
UniRef90_A0A011V117,up,during_vs_pre,17.018113224948817,21.083103360095777,15.083427386051179,19.117251325776422
UniRef90_A0A021WYF6,up,during_vs_pre,16.539847938165828,20.94922043653387,17.37971679749363,20.791732053594956
UniRef90_A0A021X2C9,up,during_vs_pre,18.513756505687592,20.990474492379818,16.245615837637175,20.97065606433305
UniRef90_A0A021X4J0,up,during_vs_pre,17.754463470771718,20.20427978671412,15.963945931933717,20.74918503285147
UniRef90_A0A021XBH5,up,during_vs_pre,17.10026707938423,21.187507935931748,16.66471115449453,20.295234199967393
UniRef90_A0A023XB36,up,during_vs_pre,16.131012891439642,20.58081244345697,16.901280570849668,1.5856931898486473
UniRef90_A0A023XFA1,up,during_vs_pre,1.8001936086137784,1.7589978263648574,18.24910187598794,6.173191887925483
UniRef90_A0A023XHD6,up,during_vs_pre,16.377371536475533,20.219485247725178,16.848910189263385,18.906014181041822
UniRef90_A0A023XHM2,up,during_vs_pre,16.925003820557336,22.07524964931669,18.08711161397387,19.801128114415192
UniRef90_A0A023XLQ2,up,during_vs_pre,16.21615850721283,20.858642774892594,16.795671889760428,3.7032659536940153
UniRef90_A0A023XML3,up,during_vs_pre,17.155732356665837,21.548959216179373,18.711305676564916,20.960150097528263
UniRef90_A0A023XQ45,up,during_vs_pre,17.25192615749639,22.334741108831935,18.78691249616875,6.195349465076147
UniRef90_A0A023XRY7,up,during_vs_pre,17.682799178071992,22.833043909308145,18.047017376469725,20.881322737977424
UniRef90_A0A023XSF9,up,during_vs_pre,16.98500247718865,2.527917981799851,18.528045792024685,4.568085296128253
UniRef90_A0A023XU75,up,during_vs_pre,16.318869342077747,1.3945998435224196,14.899482020308803,3.2087795742107232
UniRef90_A0A024IZB8,up,during_vs_pre,17.162091326207655,19.83429203526646,17.356873176230756,20.22489520105481
UniRef90_A0A031JMN7,up,during_vs_pre,18.075137007853836,3.138911739190005,18.665032246892594,5.063250318770921
UniRef90_A0A059FCZ3,up,during_vs_pre,16.307005086938435,21.297667489559956,15.874333026316288,19.575731270378583
UniRef90_A0A068CY69,up,during_vs_pre,16.915552644593433,20.195433487956812,16.109749051572763,21.04279456561564
UniRef90_A0A068CZ33,up,during_vs_pre,17.967403589711697,20.261938804411386,15.86032803112623,20.629836396211363
UniRef90_A0A068D159,up,during_vs_pre,17.345652131870157,20.94746286812048,17.25036781928509,20.558551038298305
UniRef90_A0A068D1Q9,up,during_vs_pre,16.636305993982123,21.583612608164678,15.803954506168264,20.322457374145532
UniRef90_A0A068D2X8,up,during_vs_pre,17.637965620809418,20.998471296495982,16.39053845166664,20.884973879869644
UniRef90_A0A068D3I4,up,during_vs_pre,18.32570072243021,20.49172198608662,16.621241305952935,19.92648856290457
UniRef90_A0A068D6W3,up,during_vs_pre,18.16696968416589,20.758140241237207,16.456611099574918,20.765814585577136
UniRef90_A0A068D7Q8,up,during_vs_pre,17.491179806793983,20.613414493129447,16.413718821765794,20.612564826998458
UniRef90_A0A068D8L2,up,during_vs_pre,17.857835241364203,20.408930904305606,15.944574811836238,20.746008658797038
UniRef90_A0A068D952,up,during_vs_pre,17.259586968165248,22.294361327532354,17.63553037526967,21.33293936019669
UniRef90_A0A068DAP5,up,during_vs_pre,17.305505151655712,20.58336286350031,15.354991410293719,20.63597844333673
UniRef90_A0A068DAQ7,up,during_vs_pre,17.147880632411088,20.59768523517471,16.037997296901995,20.24174172322789
UniRef90_A0A068DAR8,up,during_vs_pre,17.965640571553042,20.889383642704264,15.1333148308766,20.347101188705675
UniRef90_A0A068DBD7,up,during_vs_pre,18.053586543639174,20.140829770773,16.854835519118623,20.349839597421887
UniRef90_A0A068DBK6,up,during_vs_pre,16.7377028673534,21.25462210433181,15.600503870513068,20.451920410100097
UniRef90_A0A068DBK7,up,during_vs_pre,17.6265289715098,21.77677999013397,17.90084617567185,19.866311506252494
UniRef90_A0A068DBQ4,up,during_vs_pre,17.985097010313474,20.69889793003902,14.052886407060468,20.145572108575045
UniRef90_A0A068DBU1,up,during_vs_pre,17.62315633182513,21.02049780107655,16.860591742968648,20.352403955332246
UniRef90_A0A068DCW3,up,during_vs_pre,15.443935849407646,18.929228063169738,13.965175519271233,18.396222618393388
UniRef90_A0A068DD51,up,during_vs_pre,17.877784383355774,19.912560462210646,15.952331746107715,19.81345241465298
UniRef90_A0A068DEH5,up,during_vs_pre,18.192692544373173,20.320580222148248,17.013663436728322,20.745326123232022
UniRef90_A0A068DFJ1,up,during_vs_pre,15.831616515123649,20.776838611317903,15.294995803718477,20.65318184020545
UniRef90_A0A068DJV6,up,during_vs_pre,17.34403144738761,21.298487184075793,17.926883753805654,20.295976833193578
UniRef90_A0A068DMI7,up,during_vs_pre,17.13773164851674,22.219806335821872,14.568454944948247,20.969375629695644
UniRef90_A0A068DML1,up,during_vs_pre,18.0079771621018,21.02607558361431,15.405128163895096,20.990500114198948
UniRef90_A0A069INR8,up,during_vs_pre,16.463947374932005,19.141822759321048,15.636709575743302,19.300702783055815
UniRef90_A0A074TEZ8,up,during_vs_pre,18.26250551957799,23.720374429926615,19.353169444983905,21.927292221089655
