feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A031FQZ0,down,post_vs_pre,-1.7396017047616519,-2.000160332041128,-16.381454514909077,-14.345317455147832
UniRef90_A0A095YB94,up,post_vs_pre,2.1553241043778737,18.052147005205985,14.40368002991441,1.340726121487559
UniRef90_A0A097IF78,up,post_vs_pre,1.8583748542239833,18.480804661205887,14.53992818870824,1.1260646328067692
UniRef90_A0A0B2AU79,down,post_vs_pre,-15.281571481378663,-20.904820549757055,-12.80996904717615,-17.84175269820717
UniRef90_A0A0B2BA01,down,post_vs_pre,-16.429839864247782,-24.245440880143377,-14.219297110660854,-18.62661571145693
UniRef90_A0A0B2BAQ8,down,post_vs_pre,-17.669158426823234,-24.61299352714067,-13.457628831662484,-19.605699544878924
UniRef90_A0A0B2BEZ0,down,post_vs_pre,-3.060075423556301,-24.257787176847703,-14.292688299954497,-19.848561306897725
UniRef90_A0A0E8THY1,up,post_vs_pre,1.3797357947962074,16.0812545660315,3.334019164485145,15.573252695942672
UniRef90_A0A0J8GS55,up,post_vs_pre,19.27181026713622,17.198461028675847,15.162417555522604,13.898960316111317
UniRef90_A0A0K8P666,down,post_vs_pre,-14.889998212834083,-4.12304440267147,-14.000578112757877,-17.577446039404517
UniRef90_A0A0Q7RZI8,down,post_vs_pre,-16.87015397399643,-21.95092687626416,-12.88779179134159,-17.561457013515273
UniRef90_A0A0Q7SK38,down,post_vs_pre,-15.955899597108509,-22.183641337611014,-13.395284203760436,-17.229288241367687
UniRef90_A0A0S4M7I4,up,post_vs_pre,2.0270520983552696,16.59966106125721,2.2216456715118347,14.370376369345873
UniRef90_A0A0T8AB13,up,post_vs_pre,1.5181165263068404,20.913826094380642,15.964085112144247,14.481362185097504
UniRef90_A0A0T8ACX7,up,post_vs_pre,1.1015165057566196,15.331360184833347,13.589241497783254,12.808186593497313
UniRef90_A0A0T8AHL7,up,post_vs_pre,4.210604614550219,15.904203391845838,3.0372801113774828,15.002422416027693
UniRef90_A0A0T9AKQ4,up,post_vs_pre,2.824234287119685,20.881452819468485,14.56241734357086,15.292597240993718
UniRef90_A0A0T9AKV1,up,post_vs_pre,13.338954534248584,15.282062799003759,14.507268148716362,13.5033619873759
UniRef90_A0A0T9GPP6,up,post_vs_pre,3.785657891058451,19.988518736088444,12.226552682126314,14.273654780023039
UniRef90_A0A0T9GYG4,up,post_vs_pre,2.38862044833876,15.103069201692778,13.49456811661238,1.0331338713493476
UniRef90_A0A0U0GS92,up,post_vs_pre,4.249642146871352,14.178044923264448,14.59469394007773,2.524352866051639
UniRef90_A0A0U0P8R1,down,post_vs_pre,-16.09286035201732,-3.9264751417462067,-14.460202028591045,-15.705371397212605
UniRef90_A0A0U1E1D6,up,post_vs_pre,2.167424242161889,16.804219270592718,2.015053207512767,16.209510481331147
UniRef90_A0A0U1E7C5,up,post_vs_pre,2.080454824795577,17.921387699758245,2.6764541401250748,15.718506119607442
UniRef90_A0A0Y2AR01,up,post_vs_pre,2.3478202488190614,18.820250651525917,14.305643786742046,15.03957596076216
UniRef90_A0A0Y2C6T4,up,post_vs_pre,17.52085651167006,18.877239192412514,16.810040199090082,15.222090486484277
UniRef90_A0A100EW79,up,post_vs_pre,15.518991170892345,20.885071474865175,2.5584973370019513,12.825879682333179
UniRef90_A0A121AFB3,down,post_vs_pre,-15.3713546623822,-1.8144889074202015,-15.101551704862032,-16.37262703931739
UniRef90_A0A121ARJ2,down,post_vs_pre,-14.517008042350442,-1.6731031302341646,-15.754477824641356,-15.351882442807401
UniRef90_A0A139PAI5,up,post_vs_pre,2.589324284643582,20.454796283223217,14.67928032226006,15.214078752803639
UniRef90_A0A139PFK1,up,post_vs_pre,4.94549550360147,20.034290744401304,14.324583739666787,14.896384441420583
UniRef90_A0A139QU24,up,post_vs_pre,20.058510158042896,17.79784514371622,14.868507493383339,1.2169190481618992
UniRef90_A0A191Y1U4,down,post_vs_pre,-14.557439768170358,-19.850917805651484,-13.133682747069026,-15.412735223313167
UniRef90_A0A1L8Y3Z8,down,post_vs_pre,-1.9436009099623732,-1.1682778568092058,-16.422672552174788,-2.5484818034361574
UniRef90_A0A1S0SWJ3,up,post_vs_pre,1.250701438158273,17.884381214803614,2.8852169725450603,2.1563656505839566
UniRef90_A0A2A1K6A2,down,post_vs_pre,-15.290177281178599,-2.3003737949642367,-16.20779602588233,-16.639628050716794
UniRef90_A0A2A1MD33,down,post_vs_pre,-16.030354616171277,-20.22684216304979,-15.140656717920203,-3.3494027797883072
UniRef90_A0A2G7HWV0,up,post_vs_pre,1.3659696166056219,17.897682012511797,14.576212693964123,1.1974476569650612
UniRef90_A0A2S4EKP7,up,post_vs_pre,1.6455048204533544,18.949179819166506,2.3671919361741334,15.797585539212193
UniRef90_A0A2T4RYF3,down,post_vs_pre,-16.290162878784272,-1.6681275672568987,-16.87883005403055,-15.317718795932743
UniRef90_A0A2X2JXP4,up,post_vs_pre,11.831452403398515,14.887669642178377,12.406382186265363,1.7465477842375
UniRef90_A0A2X2T8D4,down,post_vs_pre,-1.1975637241972867,-2.207282135618917,-13.36979270936304,-1.7443670544017664
