feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A017H1K9,down,during_vs_pre,-2.943945860388154,-21.373303985062417,-19.864926172090023,-16.646863364437994
UniRef90_A0A068LEY7,down,during_vs_pre,-1.0128771604697264,-21.589728704550595,-2.7094554647402984,-2.138957911230128
UniRef90_A0A069ZKY4,down,during_vs_pre,-25.64181483019969,-24.261256763764656,-23.656826311111047,-22.57884876696112
UniRef90_A0A074IZ18,down,during_vs_pre,-2.0994638351192685,-20.351902926015317,-21.016740063189797,-17.008297302831973
UniRef90_A0A081PMV4,down,during_vs_pre,-2.388784229550144,-22.441973804652733,-2.5041237898957114,-16.408644864620054
UniRef90_A0A081PRD5,up,during_vs_pre,18.118553324709463,1.9198349612470405,1.0762872882637984,2.4016242878649274
UniRef90_A0A081PWI3,up,during_vs_pre,1.5008323245166273,5.452604528788594,3.0795998639952953,1.694573558680874
UniRef90_A0A081PZW7,down,during_vs_pre,-18.645080223534737,-20.31287520198276,-17.551513013612357,-18.556704369698124
UniRef90_A0A081Q0K2,up,during_vs_pre,2.010849351667713,1.113653610516029,1.6170038440427388,1.5651108835398932
UniRef90_A0A081Q8D5,up,during_vs_pre,23.32645252939888,24.77460525855833,22.448819314403803,4.563008102519234
UniRef90_A0A081Q9I4,up,during_vs_pre,4.62143653756596,1.6802970780461006,3.727225855061554,1.9187513150388404
UniRef90_A0A081QCF6,up,during_vs_pre,1.3819868660401664,22.426675534771363,7.126290901486693,1.9768839045732889
UniRef90_A0A081QCP7,up,during_vs_pre,1.9600107688575328,1.325903916321881,1.828125405906917,2.2818730324550636
UniRef90_A0A081QL46,up,during_vs_pre,21.115630459052415,4.461613064063744,22.168988806382078,1.2571911423647533
UniRef90_A0A081QYH2,down,during_vs_pre,-24.516813630264128,-25.036017103564806,-21.863088124286893,-22.20304434642548
UniRef90_A0A081S8H8,down,during_vs_pre,-1.8516011233894318,-21.964375066972142,-2.125861274359087,-19.32485881908949
UniRef90_A0A081SBD6,down,during_vs_pre,-22.111939566187946,-26.032885573383826,-2.6530536219175227,-1.2999031119695554
UniRef90_A0A081SBM7,down,during_vs_pre,-1.1390181950319844,-2.029396804368172,-2.8612832614283574,-1.054242657557165
UniRef90_A0A096BUI5,down,during_vs_pre,-1.3011449174760286,-22.56027786189105,-3.952218219440009,-1.9783835158987477
UniRef90_A0A098AMY5,down,during_vs_pre,-3.4516288678104443,-21.062014726385673,-24.197370568846505,-2.1325988737213852
UniRef90_A0A0A1DT70,down,during_vs_pre,-2.1110440547192972,-21.75224492468788,-21.658456882825114,-19.954685738064967
UniRef90_A0A0A1DX26,down,during_vs_pre,-1.5473612886092,-20.58839836487792,-19.931305493943952,-17.244788102088897
UniRef90_A0A0A1DZ07,down,during_vs_pre,-1.3116180600621923,-21.165115748437128,-20.53449825697887,-18.143433040958747
UniRef90_A0A0A1E2E1,down,during_vs_pre,-1.1045539928265744,-21.84109886816088,-20.40658183469839,-17.76218519818499
UniRef90_A0A0A8KX28,down,during_vs_pre,-1.2254765178952143,-23.42455370494632,-25.415119994848023,-20.16849013117903
UniRef90_A0A0E9DW38,down,during_vs_pre,-1.277753435290973,-22.02851325787657,-21.0070243003434,-20.416426106644316
UniRef90_A0A0E9E2D8,down,during_vs_pre,-1.4182119954506958,-21.40216148390661,-21.401326589714454,-19.370154543916378
UniRef90_A0A0E9E2H9,down,during_vs_pre,-1.5177365671578986,-20.630780512596168,-2.8688430952011528,-21.901094603444204
UniRef90_A0A0E9E4V0,down,during_vs_pre,-1.137278584830067,-21.075189030801116,-1.3160386379398308,-20.372011616065787
UniRef90_A0A0E9ET77,down,during_vs_pre,-1.9034787512075488,-22.91106978413054,-21.59901764007467,-20.747921150079172
UniRef90_A0A0E9EUZ6,down,during_vs_pre,-1.4853348462442413,-1.4687780732422395,-21.461922860512853,-1.113525786824821
UniRef90_A0A0E9FA35,down,during_vs_pre,-1.3372132004954937,-23.382873461530036,-21.602184297319837,-21.439062674885864
UniRef90_A0A0E9FL43,down,during_vs_pre,-3.0377589286759346,-21.715975252558255,-19.740671802406588,-2.0046063348856427
UniRef90_A0A0F2D3E3,down,during_vs_pre,-1.8103763098373349,-18.77998539931625,-20.192125424776847,-1.3000501045893997
UniRef90_A0A0F2DU23,down,during_vs_pre,-1.3091878810961095,-22.47094603299427,-21.841175669196677,-1.2069083746031284
