feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A069QVJ3,up,post_vs_pre,21.69986061130943,3.132418248959461,2.5050310580415482,1.327174792974666
UniRef90_A0A069ZQ04,up,post_vs_pre,17.82117397970717,1.6151622584938516,4.473554778881713,19.680340635272294
UniRef90_A0A069ZS73,down,post_vs_pre,-24.560896102046907,-24.180336220614215,-21.042553794885222,-21.91272259429099
UniRef90_A0A081PMV4,down,post_vs_pre,-3.635223396223563,-22.441973804652733,-23.787880811074494,-16.408644864620054
UniRef90_A0A081Q0E6,down,post_vs_pre,-3.3526280697234423,-22.647806140045436,-21.579673945597968,-18.569105245422588
UniRef90_A0A081Q840,down,post_vs_pre,-20.301023140978277,-20.906414285563834,-20.70075521447814,-2.364773412800237
UniRef90_A0A081Q879,up,post_vs_pre,5.347044949290955,20.10717322033637,20.639712534882978,18.690915329154528
UniRef90_A0A081Q9Q8,down,post_vs_pre,-23.02705437711023,-24.13551628246838,-22.033078918186757,-1.7041285740330367
UniRef90_A0A081QXA0,down,post_vs_pre,-1.3821423348125714,-24.60041012793429,-22.371174243738853,-18.897519535265776
UniRef90_A0A095WH75,down,post_vs_pre,-23.169550463792323,-1.3507000618316714,-1.0325902396827016,-1.3017323103214389
UniRef90_A0A095WH76,down,post_vs_pre,-22.94565023614396,-21.565091693825064,-1.443728978146638,-1.7597005602315556
UniRef90_A0A095WK10,down,post_vs_pre,-22.063037659426158,-22.419441009169926,-21.177385268578625,-1.9801741941971687
UniRef90_A0A096B319,up,post_vs_pre,1.2377124820129193,24.242737492457735,20.432694470217903,20.759304687393637
UniRef90_A0A098AMY5,down,post_vs_pre,-23.44703305831024,-21.062014726385673,-24.197370568846505,-1.7268182217759935
UniRef90_A0A098YM18,up,post_vs_pre,22.570413414614613,21.500685814841987,21.275386257779516,20.54738127074694
UniRef90_A0A0A1DX06,down,post_vs_pre,-2.443162706658342,-20.931030584227475,-19.747872266042737,-16.909354034501053
UniRef90_A0A0A1DX26,down,post_vs_pre,-1.6088167770407502,-20.58839836487792,-19.931305493943952,-17.244788102088897
UniRef90_A0A0A1DZ07,down,post_vs_pre,-1.4264725772369609,-21.165115748437128,-20.53449825697887,-18.143433040958747
UniRef90_A0A0A6RZN8,down,post_vs_pre,-1.4431613341494525,-21.995911458609186,-20.4430926083028,-19.459655074545314
UniRef90_A0A0A7PBT7,up,post_vs_pre,18.77127344626713,20.678916723127507,2.2774219150296093,19.044951694007683
UniRef90_A0A0B4ZIA5,down,post_vs_pre,-1.7335827243505406,-3.4563685209748565,-22.446651296202777,-1.4558388837141694
UniRef90_A0A0D6FIP0,up,post_vs_pre,21.054787343973906,24.02603558140718,25.706522532718687,3.312404352025805
UniRef90_A0A0E2LT40,up,post_vs_pre,2.955561839656886,21.881290620358904,22.235661246796077,20.13717503076126
UniRef90_A0A0E8TCC0,down,post_vs_pre,-1.291410193402129,-22.122194279992264,-24.461264664243444,-1.2149378812202258
UniRef90_A0A0E8TJH1,down,post_vs_pre,-21.356058231986456,-21.822080504458313,-17.832022590771878,-18.508961785264795
UniRef90_A0A0E9EKE1,up,post_vs_pre,3.152977310006638,22.13449849645343,1.5050287883587217,1.2503747004330228
UniRef90_A0A0E9ELN8,up,post_vs_pre,2.98114866040728,22.577599319100308,23.20990046363029,21.922090616783144
UniRef90_A0A0E9ET45,down,post_vs_pre,-19.149314633782293,-22.931947407365293,-22.367984786057416,-1.4517840797642096
UniRef90_A0A0E9F1B7,down,post_vs_pre,-1.5165807799422688,-22.4671739159482,-22.183359656043763,-1.787920377505105
UniRef90_A0A0E9FDK0,down,post_vs_pre,-20.467893731832987,-19.768955879789836,-18.903204207579726,-17.438935305079873
UniRef90_A0A0F2DDT5,down,post_vs_pre,-22.091919029966945,-2.754350293173761,-4.239813074761675,-3.8403163607435804
UniRef90_A0A0F2DFN4,down,post_vs_pre,-1.1242698728875695,-24.032394961545773,-24.38020533247807,-1.509094893112754
UniRef90_A0A0F2DU23,down,post_vs_pre,-3.0311558435049584,-22.47094603299427,-21.841175669196677,-2.1160667052892945
UniRef90_A0A0F2DVF2,down,post_vs_pre,-19.467577027239525,-16.868742188508044,-19.6225589039662,-3.9523648779585203
UniRef90_A0A0F3H6Q4,down,post_vs_pre,-1.105305635925197,-21.120394200329503,-20.489869841378066,-21.062511077282853
UniRef90_A0A0F3H817,down,post_vs_pre,-21.845750747105654,-20.638867470506018,-18.99159104293663,-1.7353041473420352
UniRef90_A0A0F3HA78,down,post_vs_pre,-2.3695122829424213,-21.200145289014536,-20.86498333336441,-16.85653900475962
UniRef90_A0A0F3HFB5,down,post_vs_pre,-4.951561280380051,-1.935658150535833,-1.069527917020859,-4.39483480853202
UniRef90_A0A0F3HMA6,down,post_vs_pre,-1.30565519351979,-21.003627022555456,-21.001040005434614,-18.075054289681702
UniRef90_A0A0F5MK95,up,post_vs_pre,2.3831322788851725,4.9766196054212175,24.16094891668929,2.309507524602979
UniRef90_A0A0H5QDY4,up,post_vs_pre,17.77866965822675,22.3744513048747,5.040717578355983,1.069398221153101
UniRef90_A0A0M1VXF9,up,post_vs_pre,19.375523829979425,20.622314321997372,3.451634191133412,2.162372592531572
UniRef90_A0A0M3G7L8,up,post_vs_pre,20.49379324345262,22.358370309246073,1.2730558201646354,2.503168393153982
UniRef90_A0A0M3G860,up,post_vs_pre,18.286607393102148,22.573706583029526,2.9888674853993136,17.85581341414028
UniRef90_A0A0S2ZLC9,up,post_vs_pre,22.67007723807494,20.94388527061254,2.249914181882916,21.946614452708346
UniRef90_A0A0S2ZU73,up,post_vs_pre,20.164799333832953,21.5024723374352,1.9904550443857267,18.520504865777003
UniRef90_A0A0T7KGV4,down,post_vs_pre,-2.5152868878419947,-21.906196138353287,-2.7395464070457987,-2.730760338485908
UniRef90_A0A0T7KGW5,down,post_vs_pre,-1.1859955682911283,-2.338231670340544,-2.341173096420732,-1.6189750965187013
UniRef90_A0A0T7T772,down,post_vs_pre,-21.800611223997425,-22.984725851123102,-22.833702171220104,-20.507475606717602
UniRef90_A0A0T7ZPS2,down,post_vs_pre,-21.426715028332136,-20.0206431601066,-17.525796059620426,-1.041342309576362
UniRef90_A0A0T7ZRA3,down,post_vs_pre,-1.972267957151253,-20.269307440080638,-19.095542110583324,-1.7821507709369615
UniRef90_A0A0T8AAP4,down,post_vs_pre,-1.8847301771043752,-17.133449967362054,-19.754285122905085,-1.3640610226374943
UniRef90_A0A0T8ABN8,down,post_vs_pre,-19.522432749743764,-21.824180176322617,-22.1635930698721,-2.1791078420298193
UniRef90_A0A0T8ACG7,down,post_vs_pre,-2.9165670506956376,-1.266147129730774,-22.400734146707073,-1.5526460872337637
UniRef90_A0A0T8ADM6,down,post_vs_pre,-1.6921786804304775,-1.817341988458468,-19.26561275747878,-1.4356247386864927
UniRef90_A0A0T8AE23,up,post_vs_pre,18.328876495100868,18.946793026551205,3.207939692727094,2.4783587465186656
UniRef90_A0A0T8AFB9,down,post_vs_pre,-1.141945546200136,-3.068029624571368,-24.734104975865968,-1.3821472430541324
UniRef90_A0A0T8AFR7,up,post_vs_pre,15.403766559600905,19.54143886685679,20.24535346840051,6.468918579447541
UniRef90_A0A0T8AKZ4,down,post_vs_pre,-1.9705628457270976,-18.693628746211505,-22.53124445294116,-1.271650004437166
UniRef90_A0A0T8ANY8,down,post_vs_pre,-22.20601939638143,-21.11545372175262,-22.350202279050695,-3.703037938391369
UniRef90_A0A0T8BSG0,down,post_vs_pre,-3.0195996654912984,-1.9356623831164868,-23.961451431358675,-1.8741621654952945
UniRef90_A0A0T8M743,down,post_vs_pre,-1.7152287917323248,-18.936487458736888,-21.09522251178668,-20.160506261222903
UniRef90_A0A0T8U2E0,down,post_vs_pre,-20.936765643221076,-19.84619585060077,-18.84351115510186,-1.7741721517292273
UniRef90_A0A0T8XRY1,down,post_vs_pre,-1.7089468905851692,-21.335938573097653,-20.059696088266353,-19.91460070660849
UniRef90_A0A0T8YX29,down,post_vs_pre,-3.545091798684149,-24.25761815366592,-23.27731043665989,-1.17074113367238
UniRef90_A0A0T9G928,down,post_vs_pre,-22.516090419721507,-23.917372656190697,-21.42251908984047,-20.48306752470099
UniRef90_A0A0T9GVT0,down,post_vs_pre,-1.0527775718173762,-1.4593122074186982,-4.154617193785777,-1.18862880445087
UniRef90_A0A0T9GX87,down,post_vs_pre,-3.294189382382465,-20.405969307326536,-21.806554735171872,-1.6552897684945345
UniRef90_A0A0T9GX94,down,post_vs_pre,-2.6161189844224784,-22.653437208956834,-21.99671035177664,-2.713226529113682
UniRef90_A0A0T9GXI0,down,post_vs_pre,-22.616658244842373,-20.053292651416307,-17.898969366887126,-1.1508173807972342
UniRef90_A0A0T9H941,down,post_vs_pre,-2.282673338645209,-23.036017229371474,-19.755101101542202,-1.362950982150478
UniRef90_A0A0T9H957,down,post_vs_pre,-21.063580067469005,-20.457882150843464,-19.863091780280342,-20.52961705847773
UniRef90_A0A0T9HA59,down,post_vs_pre,-18.38956272268342,-18.76026838497482,-21.030442407024285,-1.0096453266441068
UniRef90_A0A0T9ZX38,down,post_vs_pre,-3.5016875063560593,-4.274148576315391,-21.362810503835647,-1.701776627573888
UniRef90_A0A0U0A6S3,down,post_vs_pre,-1.6844217719509647,-3.2499982424460248,-22.091865240022596,-20.152374390601512
UniRef90_A0A0U0H2J3,down,post_vs_pre,-1.3181640959562422,-21.063343070225663,-22.273372474298164,-1.6258639061022409
UniRef90_A0A0U0I286,down,post_vs_pre,-19.460241898379827,-19.539591131669315,-19.807318756109716,-18.42721325379187
UniRef90_A0A0U0IYS8,down,post_vs_pre,-3.1196484972455405,-1.6246917618570595,-22.253199727016234,-1.3707723261326783
UniRef90_A0A0U0K1W9,down,post_vs_pre,-1.124268581579178,-22.864335477900227,-24.219013849366128,-1.8215813591250178
UniRef90_A0A0U0K7L8,down,post_vs_pre,-2.1712675218564557,-17.97301716884898,-20.918563867332594,-3.5964888974895337
UniRef90_A0A0U0N988,down,post_vs_pre,-1.0877434301667759,-21.706606886312553,-24.08099576790734,-18.373084627808424
UniRef90_A0A0U0PHV6,down,post_vs_pre,-20.333254733128307,-20.05202801101834,-21.67881745787481,-1.1689553788321994
UniRef90_A0A0X8JZG5,down,post_vs_pre,-2.223989283417874,-22.87320721416185,-23.609663880471174,-2.509404580806595
UniRef90_A0A0X8JZY6,up,post_vs_pre,1.5308538979267425,1.2054299029468751,21.251982579067228,1.604163645092612
UniRef90_A0A0X8K173,up,post_vs_pre,19.35434911599758,2.0969348508526684,23.524237006973255,1.9517150179031268
UniRef90_A0A0X8K1X5,up,post_vs_pre,1.8569985700708447,2.405053643183703,1.5050308058749406,2.361204033489519
UniRef90_A0A0X8K202,up,post_vs_pre,2.365666701296337,21.59835590808273,21.619813543681826,2.1340387230514053
UniRef90_A0A0X8K2X6,up,post_vs_pre,18.60082880872334,19.334300204048777,21.185756028680817,18.170040772969717
UniRef90_A0A0Y2AI56,up,post_vs_pre,1.2986291522178637,20.687516650176413,4.621031310398528,1.9129079361343506
UniRef90_A0A0Y2B1U8,down,post_vs_pre,-1.7092268466654004,-22.058257680867545,-20.06204394114589,-2.051427345470906
UniRef90_A0A100CXY3,down,post_vs_pre,-1.0776906053479662,-20.188375143426395,-21.25552136371552,-1.28839483467183
UniRef90_A0A109W9X6,up,post_vs_pre,1.942332879061392,1.5460673384119203,20.80963809234097,2.9659454871937103
UniRef90_A0A109WA02,up,post_vs_pre,1.2129013322781,1.3175433019173663,22.13721162402867,2.1055692121386347
UniRef90_A0A117C618,down,post_vs_pre,-3.0608741859407487,-23.667524031614356,-18.739707005489706,-1.9595942077405712
UniRef90_A0A120KPZ4,up,post_vs_pre,1.1811235904829125,2.399774769897439,21.091116598575933,2.759578500943822
UniRef90_A0A121B3K7,down,post_vs_pre,-1.992574791475918,-23.404922694088345,-1.959917937580988,-1.0205616598056213
UniRef90_A0A133NS21,up,post_vs_pre,18.39015075890272,20.60875745523242,1.8374207710185573,16.654873735910467
UniRef90_A0A133NTH9,up,post_vs_pre,20.054790213919485,22.026030204530525,2.108921613994772,21.044062540399377
UniRef90_A0A133NX93,up,post_vs_pre,17.58311950450262,20.254801424499952,1.2846630077460568,20.07075862291939
UniRef90_A0A133QNC2,up,post_vs_pre,23.70293383185113,23.67082705513,3.9379898119564904,1.1655404716710163
UniRef90_A0A133ZSG6,down,post_vs_pre,-2.294189010578668,-1.2380491531779467,-18.706186834710966,-1.1357076395295558
UniRef90_A0A133ZVB6,down,post_vs_pre,-2.1686518289694803,-20.63976846244555,-21.583160373315543,-1.2871255964356816
UniRef90_A0A134AYR6,up,post_vs_pre,19.326867593099816,1.7765372437888545,2.7277785392988734,1.086599894886163
UniRef90_A0A134B3U0,up,post_vs_pre,18.751011135275405,21.899438429231825,22.920895502433442,4.0781912779163205
UniRef90_A0A134BA58,up,post_vs_pre,22.88100408213112,25.93728445263123,1.885870612756818,3.282305359785076
UniRef90_A0A134C9G0,down,post_vs_pre,-19.85065333667599,-21.048568247153586,-18.019798833342367,-20.538078074276534
UniRef90_A0A139MYK1,up,post_vs_pre,1.8104028659371316,3.447323045999543,1.3809027945481158,2.337192659042741
UniRef90_A0A139N670,up,post_vs_pre,1.2683479507429032,20.41624053213831,20.029917603191098,3.717011748565272
UniRef90_A0A139NNC4,up,post_vs_pre,1.0648858969284187,20.9445931601426,2.46114490285706,1.4010041487364813
UniRef90_A0A139P5V1,up,post_vs_pre,20.690364359261505,21.60987083640868,4.439790701641539,1.4930194255525373
UniRef90_A0A139PI75,down,post_vs_pre,-23.956662437228825,-25.700934828553674,-21.863088124286893,-22.923642248879403
UniRef90_A0A139PJW3,down,post_vs_pre,-19.304589736696542,-21.502265130023027,-19.65699796242273,-19.825521458628213
UniRef90_A0A139PK67,up,post_vs_pre,1.252423396544908,17.456766157645415,2.2630660958596547,1.2740984362476846
UniRef90_A0A139PT20,up,post_vs_pre,1.0604027478280242,21.237432695527744,23.401845244299068,2.59539600937544
UniRef90_A0A139QBZ6,down,post_vs_pre,-7.830713473193105,-1.5157122283974769,-20.847324769203173,-1.0127092505166881
UniRef90_A0A139R8Z3,down,post_vs_pre,-2.915652483409482,-24.734583784802428,-22.300132347538018,-21.488086763275415
UniRef90_A0A139R9A1,down,post_vs_pre,-19.70512780131019,-21.902802843750184,-19.61185271320308,-1.401342358640431
UniRef90_A0A139RG42,down,post_vs_pre,-1.5779051776479023,-21.71408938609741,-23.56798449872404,-1.84380340086693
UniRef90_A0A139RKC5,up,post_vs_pre,22.74099693965041,19.981642067297983,22.86298077262521,19.876482473511494
UniRef90_A0A139RMC7,down,post_vs_pre,-21.956668610632153,-21.03601773259803,-19.863091780280342,-1.9558224051030821
UniRef90_A0A140PQF3,up,post_vs_pre,17.756502029330008,21.10667858552383,2.6433702146323648,18.650174085757182
UniRef90_A0A150NFY3,down,post_vs_pre,-23.8571282469006,-21.843375562183407,-24.110291256429644,-20.618080451266398
UniRef90_A0A150NJ40,down,post_vs_pre,-23.724489948282116,-25.441274998159937,-24.157493660728157,-1.299385342297811
UniRef90_A0A150NQL6,down,post_vs_pre,-23.34898018773734,-21.843375562183407,-24.33998024519975,-1.1618354444080334
UniRef90_A0A150NRB2,down,post_vs_pre,-2.104894996221877,-22.14545528962263,-22.46738124913321,-1.095594674149179
UniRef90_A0A150NTS3,down,post_vs_pre,-1.0112204476434399,-1.2860589046424962,-4.5815770110498315,-3.3223039888875605
UniRef90_A0A150NVK3,down,post_vs_pre,-2.977102621507308,-1.7209552002491122,-1.5992163451968164,-1.3400332507928592
UniRef90_A0A150NXF7,down,post_vs_pre,-20.337754364196858,-20.739036978927878,-21.05681034242314,-1.004724513851633
UniRef90_A0A154U9S7,up,post_vs_pre,25.881002362294193,26.203218360454628,2.249918105348877,3.6220484953990923
UniRef90_A0A1B1IC24,up,post_vs_pre,2.0603486682548344,25.570845145515246,1.7680624416597814,20.13717503076126
UniRef90_A0A1C0USG6,down,post_vs_pre,-1.4011092563258694,-23.535430394349884,-24.18502625422374,-1.6919640193435614
UniRef90_A0A1C7C6L1,down,post_vs_pre,-1.172981234233487,-20.101644458090423,-20.655451236619616,-17.1730752372637
UniRef90_A0A1C7C6L9,down,post_vs_pre,-4.945100575480082,-19.65355244907738,-21.588712043481245,-19.01321997430044
UniRef90_A0A1D8B1J4,down,post_vs_pre,-1.9602358655963634,-23.5391633479909,-21.580934629426263,-17.613096395472457
UniRef90_A0A1D8B392,up,post_vs_pre,1.3310170234507277,2.5660597985625344,2.089990990328344,2.1636105654790834
UniRef90_A0A1D8B413,down,post_vs_pre,-21.99905848912856,-22.192858965508613,-19.85139576118655,-20.370149931061444
UniRef90_A0A1H1KRF2,down,post_vs_pre,-3.2993941971916914,-21.20196056130264,-18.93788622403782,-19.828877674585158
UniRef90_A0A1H1KRJ9,down,post_vs_pre,-3.111550212147738,-1.3886926431009787,-20.96817341270787,-20.05066042174775
UniRef90_A0A1H1LWB1,down,post_vs_pre,-1.042571749129083,-22.768280657090326,-20.051691766215647,-20.67641912270858
UniRef90_A0A1H1MUZ6,down,post_vs_pre,-2.5909213199279204,-1.5206266075281072,-20.816352195637936,-19.816416522763284
UniRef90_A0A1H9KI93,down,post_vs_pre,-19.417251623858828,-19.71890239894281,-20.61868600852669,-3.839139075468301
UniRef90_A0A1L8Q7D2,down,post_vs_pre,-21.001702082415974,-21.56455283537614,-19.223952197564785,-1.8092767686966655
UniRef90_A0A1N1TL06,down,post_vs_pre,-1.640765706449952,-21.566520027721626,-1.0732072103971222,-21.292667445264073
UniRef90_A0A1N1VH01,down,post_vs_pre,-1.7233636823303908,-22.233868413460037,-1.2644994037469641,-19.705033277274264
UniRef90_A0A1N1W9Y5,down,post_vs_pre,-4.165348426314348,-21.815419129859432,-1.631041777555771,-2.8013644779136473
UniRef90_A0A1N1XRY4,down,post_vs_pre,-2.034380416240936,-21.979060775286488,-20.914916224222658,-20.702251330289442
UniRef90_A0A1N1XSY8,down,post_vs_pre,-22.85329641847232,-21.71550052579451,-20.980809687077794,-20.769466881830873
UniRef90_A0A1N1YA24,down,post_vs_pre,-20.65461534380293,-20.752444078873758,-18.609728235715753,-17.88613118466739
UniRef90_A0A1N2AAL5,down,post_vs_pre,-22.716142556512047,-2.072740579023853,-19.483363788585923,-3.5170292020416793
UniRef90_A0A1Q8HXE5,up,post_vs_pre,1.4216156715772357,21.67200730736752,20.870645414999327,1.767526789336043
UniRef90_A0A1Q8VPV4,up,post_vs_pre,2.173021222108722,4.849878450118378,2.548896234602109,3.024145768039468
UniRef90_A0A1Q8VV08,up,post_vs_pre,1.5993984062187652,1.2436780156830873,21.997600682478932,1.7831821705084643
UniRef90_A0A1Q8W275,up,post_vs_pre,20.112820842951564,23.435031926766385,22.456493374641184,1.9770602530639492
UniRef90_A0A1Q8W2S9,up,post_vs_pre,1.8974482481076076,1.3092780120484193,21.67578751508809,2.062359765048147
UniRef90_A0A1Q8WEI4,up,post_vs_pre,20.64978565383569,1.834735648162106,19.993456722613058,3.505682879312313
UniRef90_A0A1Q8WR18,up,post_vs_pre,1.683454841840867,1.1825551493012694,20.713910869411016,2.5716551892172768
UniRef90_A0A1Q8X7A7,up,post_vs_pre,2.924315269374546,1.1450894648517624,21.64302867466651,2.1229274115408243
UniRef90_A0A1Q8X7E4,up,post_vs_pre,1.895914130129264,2.1826555535845618,2.3530252028320513,2.635530043073868
UniRef90_A0A1R1H6A3,up,post_vs_pre,4.842179180316347,1.1826601305140252,3.813870140609143,1.2871145517561227
UniRef90_A0A1S9ZU34,down,post_vs_pre,-20.849464407674013,-18.624213583637314,-18.872697923132375,-18.492587354351883
UniRef90_A0A1V0GK64,down,post_vs_pre,-22.037906055732527,-20.571098040690185,-19.914006947455952,-16.712921008150044
UniRef90_A0A1W5ZCR4,down,post_vs_pre,-1.275816795837008,-19.64043736464734,-20.47629562094641,-16.83018919051849
UniRef90_A0A1X1FT29,down,post_vs_pre,-3.658731509835906,-20.911070332882993,-21.10053423370579,-2.0207968447151647
UniRef90_A0A1X1G3Q0,down,post_vs_pre,-19.296412146779144,-23.403074410859094,-21.23378485597292,-2.546270850328056
UniRef90_A0A1X1G5E8,down,post_vs_pre,-2.006343142060591,-23.929994060781986,-21.86548774008648,-1.4606652099596669
UniRef90_A0A1X1GXF0,down,post_vs_pre,-1.5248564550339407,-22.178655835268856,-21.16363227472526,-1.3063738166695174
UniRef90_A0A1X1JG29,down,post_vs_pre,-3.2874678340528662,-1.072620819302533,-19.456610431185094,-22.047964712720706
UniRef90_A0A1X1JGF7,up,post_vs_pre,1.646816327689725,19.89332177753129,1.113577568366153,3.03699110111425
UniRef90_A0A1X1JVD8,down,post_vs_pre,-3.451758425422776,-23.312330474407513,-23.505629012713364,-2.0522472716794935
UniRef90_A0A1X1JVJ0,down,post_vs_pre,-20.890810257696966,-2.0928403197973027,-1.318874695994675,-2.022216420020486
UniRef90_A0A1X1JVU4,down,post_vs_pre,-1.181096942140475,-22.178291106508073,-24.23278313006342,-2.1313003799391534
UniRef90_A0A1X1K771,down,post_vs_pre,-2.6235204312474574,-19.70177629479705,-23.396080143819205,-20.450007357566804
UniRef90_A0A1X1KZK0,down,post_vs_pre,-1.6404168865399573,-22.046846348114247,-23.143052911099883,-2.1279226011486516
UniRef90_A0A214RQQ8,down,post_vs_pre,-1.0717992248197699,-21.543079820905778,-19.485459192304166,-2.553062037494151
UniRef90_A0A241Q3J5,up,post_vs_pre,19.800546583215162,21.18683220765968,21.86731783288658,21.696105955594614
UniRef90_A0A241Q3K0,up,post_vs_pre,18.67231829060243,20.158139984469198,19.847001764809153,21.139844007098844
UniRef90_A0A246EPB7,up,post_vs_pre,1.5320232616129275,22.19572493548414,3.833922742004686,1.7072869501860488
UniRef90_A0A269YNE5,down,post_vs_pre,-3.074512980600328,-21.40596878812524,-19.434240665203344,-1.2672894880775276
UniRef90_A0A2A5QD73,down,post_vs_pre,-3.028121401118775,-21.25729901747617,-20.114783193122506,-17.106338012970635
UniRef90_A0A2A6ECZ9,up,post_vs_pre,20.074427654337228,3.061146097870857,2.4715744021631414,20.31976288330407
UniRef90_A0A2B7YGV8,up,post_vs_pre,18.18936772576815,20.83868305382971,3.3502502189656367,20.3592115687957
UniRef90_A0A2B7YLE3,up,post_vs_pre,19.357287815078344,21.239662038241836,3.056970690589818,20.110849024742006
UniRef90_A0A2C5ZDU3,up,post_vs_pre,17.974418324411364,21.168053636178513,4.83487449878611,3.9698574542222818
UniRef90_A0A2C6AZ95,up,post_vs_pre,17.960714684152464,20.838847165659356,20.13060030695708,20.10522350835495
UniRef90_A0A2C6BPL0,up,post_vs_pre,19.531224698025277,20.765506527443424,1.1831031391746316,2.030222274561176
