feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A011U6K4,up,during_vs_pre,23.316343825080356,19.744438048328202,23.271760646297633,23.188496335823036
UniRef90_A0A011UVR2,up,during_vs_pre,23.77601006491367,18.803503664456933,23.330821846558564,22.12341890919835
UniRef90_A0A021X4J0,up,during_vs_pre,23.512999783212326,18.92026706955123,23.184551984017343,22.74636526554526
UniRef90_A0A023XQ45,up,during_vs_pre,23.49327424168691,18.895291259337956,23.197358144396134,22.887048958217058
UniRef90_A0A059FCZ3,up,during_vs_pre,21.65690161332189,16.41601403016423,21.36837590489719,21.287448049095715
UniRef90_A0A064C4I2,up,during_vs_pre,1.3012652362203363,17.682542025097852,22.794813447845765,23.660789693883444
UniRef90_A0A068D952,up,during_vs_pre,24.124457160399604,17.757966144092112,24.455205857185874,23.325142787596867
UniRef90_A0A068DEH5,up,during_vs_pre,24.40640345645311,17.954108252582294,24.066385114012167,22.335422795688167
UniRef90_A0A074TEZ8,up,during_vs_pre,24.51308438522488,21.654821740767158,23.639965626602912,23.888930771817815
UniRef90_A0A081QCF6,up,during_vs_pre,23.279180513287322,17.85924964540464,26.776092330866245,21.378066198810462
UniRef90_A0A081QWQ3,up,during_vs_pre,21.771258533021996,17.315799668932364,23.427353386008548,22.19719929199387
UniRef90_A0A081QZQ2,up,during_vs_pre,21.374854822061298,18.528198448070423,23.224114904512323,26.72877226350894
UniRef90_A0A081SBT3,up,during_vs_pre,17.97534700744384,18.336826873260147,23.4491026645028,20.203569057415088
UniRef90_A0A085B058,up,during_vs_pre,20.602296530109996,17.305220121193443,24.824015504659005,20.650007794749826
UniRef90_A0A085B0W1,up,during_vs_pre,18.856335855902717,19.16735933912884,1.7634873779434552,19.1741064459453
UniRef90_A0A085B0W9,up,during_vs_pre,19.793738238135138,18.640606821638617,1.331944263335264,19.062567949069237
UniRef90_A0A090GPI1,up,during_vs_pre,23.594887112908882,18.813352201182585,24.340667610241606,22.497239096558133
UniRef90_A0A098APY4,up,during_vs_pre,20.776690046152304,18.231216492244744,23.343496552450553,22.419891017572574
UniRef90_A0A0B7KZY7,up,during_vs_pre,20.59272619619563,16.681259004301374,22.410812325851637,22.877569664125716
UniRef90_A0A0B7LBJ4,up,during_vs_pre,20.702879067511923,17.799151954287744,22.69296044497369,22.876736318273515
UniRef90_A0A0D1NYW7,up,during_vs_pre,21.466618696834054,18.93324400772039,22.367450746076607,20.975627594775872
UniRef90_A0A0D1P5S9,up,during_vs_pre,1.388716707209185,20.574515921265046,23.686798109962822,22.633904960979706
UniRef90_A0A0D1PC83,up,during_vs_pre,2.2018258778385658,17.78573980355164,23.219942045688352,21.62648485689911
UniRef90_A0A0D7EFX1,up,during_vs_pre,23.291963188501708,1.3647397207469008,22.185886260814133,22.35585944113472
UniRef90_A0A0D7NGG9,up,during_vs_pre,1.6390924764293446,20.029248128281118,23.81790419857797,22.610868721867206
UniRef90_A0A0D7NRL4,up,during_vs_pre,22.599520058361083,17.60581587426465,20.882373635247347,22.049145931147322
UniRef90_A0A0E2NHX8,up,during_vs_pre,23.78798174705774,18.63810354221566,22.580459855162104,22.835908342332615
UniRef90_A0A0E2NM35,up,during_vs_pre,23.826963392212757,20.203198622698093,24.73901113244344,22.65490890803309
UniRef90_A0A0E3VSP9,up,during_vs_pre,22.71934599397419,20.251909981621996,22.701224169063625,22.08573728910497
UniRef90_A0A0E4BJY0,up,during_vs_pre,1.0561366200340563,2.96118619904087,23.03634987974348,20.858138119409563
UniRef90_A0A0E4FZ75,up,during_vs_pre,4.679483639733362,19.509359430619764,23.22932506530133,22.95120839851355
UniRef90_A0A0E4G0C3,up,during_vs_pre,23.04913662264809,2.6517301461639478,22.551990995849703,22.49628840761402
UniRef90_A0A0F5FE02,up,during_vs_pre,22.487949178795105,19.66859071602756,23.2959170163335,22.163747631129365
UniRef90_A0A0F5PCL1,up,during_vs_pre,23.552358584805805,19.49793757548572,22.909746073662394,22.958837826540936
