feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A085B020,up,post_vs_pre,21.80687722258896,21.162598056500567,21.2542741634751,22.611213281498515
UniRef90_A0A085B0L0,up,post_vs_pre,1.2201955392066668,20.434144606924878,22.03686145253791,1.1992360739786168
UniRef90_A0A085B3E6,up,post_vs_pre,1.2262722420715533,20.645200751702482,22.040500324350777,1.6089329648354265
UniRef90_A0A085B4L9,up,post_vs_pre,1.4510425717865512,21.16826792091411,1.1905046283019967,1.6017005506908462
UniRef90_A0A0Y2EQ39,up,post_vs_pre,22.771978290720305,1.071196703100798,25.367872607412476,21.61019235000247
UniRef90_A0A1F0IHL0,up,post_vs_pre,2.7462635620081786,19.74226831226742,2.4018455728568733,21.89490248612209
UniRef90_A0A1F0IJ70,up,post_vs_pre,1.2106128260087123,1.0605742627968686,2.250762564539045,23.758228671557774
UniRef90_A0A1N4UID8,up,post_vs_pre,2.1850414838216,27.250060171670494,29.13627012323542,28.295595661094975
UniRef90_A0A1N5AB71,up,post_vs_pre,1.617860646988345,19.778385724031406,22.88114913249185,2.5906697822967053
UniRef90_A0A257K7D8,down,post_vs_pre,-20.495885923088704,-19.355743235689154,-19.492005064935224,-5.896128730573651
UniRef90_A0A2B7I5F4,up,post_vs_pre,1.266190291076584,1.7681299576684977,1.7291448167560333,1.5866130178962423
UniRef90_A0A2B7ID05,up,post_vs_pre,1.194084511749819,19.723886992114334,1.0259501393331814,1.8247524743298436
UniRef90_A0A2B7IYX7,up,post_vs_pre,1.049970731077823,4.896019634025228,2.336646436725074,24.356219802161963
UniRef90_A0A2B7J179,up,post_vs_pre,1.7511528395229115,1.4785832393794605,1.0163296024130914,2.6096537111065206
UniRef90_A0A2B7JSD2,up,post_vs_pre,1.5656699119395059,1.475615814162379,2.1064671453144914,2.4034372128795427
UniRef90_A0A2B7JUI0,up,post_vs_pre,1.2331857088294411,1.4229559182261442,1.1725771957793998,2.101151297628771
UniRef90_A0A371N491,up,post_vs_pre,1.6911294881728731,19.849182615363404,21.413467303417235,23.03607481971565
UniRef90_A0A371N4N3,up,post_vs_pre,1.114857450065428,1.2670069986902126,2.059940330328417,24.644615520331918
UniRef90_A0A371N527,up,post_vs_pre,1.17785353243528,1.5248588061051358,1.089593619895705,1.7684951858201015
UniRef90_A0A371N578,up,post_vs_pre,1.1859658854031736,1.0837553214688727,3.2727567294428725,1.3107111959288582
UniRef90_A0A3A8VQJ9,up,post_vs_pre,1.17168448660449,3.155612447757129,1.3310221383881051,1.6347957869404055
UniRef90_A0A3D8Z3R2,up,post_vs_pre,1.3693760421941963,20.382164175864173,1.4353492672743406,24.16934241043698
UniRef90_A0A3D8Z476,up,post_vs_pre,2.2757878902299926,20.392081541575294,1.239121565777451,24.163644532420907
UniRef90_A0A3D8ZMQ6,up,post_vs_pre,1.2007733432217078,1.7759157246698687,1.56818795913026,2.628890604287165
UniRef90_A0A3E2DB89,up,post_vs_pre,1.788771232943319,21.040608791463885,1.6535025512553176,26.175046632610687
UniRef90_A0A3E2DKH2,up,post_vs_pre,1.1148725447563432,20.513097541075023,23.399309003729343,25.320866605918972
UniRef90_A4D7W5,up,post_vs_pre,1.1151556122313078,19.631151590191013,1.5894466832462475,22.949063720824153
UniRef90_D4HAX9,up,post_vs_pre,1.6064151360499188,23.250059102132287,25.50169955932328,24.590248171133606
UniRef90_D4HD52,up,post_vs_pre,1.035202408667519,1.6459043854678548,1.4659387525766532,23.535067644945162
UniRef90_E3N9M8,up,post_vs_pre,24.361144432071622,27.230089435614456,24.061015439640745,20.52713174414593
UniRef90_E4HGZ6,up,post_vs_pre,1.5951555751847877,2.6410408400141367,21.046162809181403,1.438124727016922
UniRef90_E4HPD7,up,post_vs_pre,1.2049527471743635,19.94993829634623,1.0576285230174138,2.0524769795159603
UniRef90_E6D498,up,post_vs_pre,1.1062023065207236,1.6687209665756013,3.1469093392711915,23.593488122643738
UniRef90_E6D6F5,up,post_vs_pre,2.0179559331423236,1.4756192624251714,1.8240907657502876,28.86173068806403
UniRef90_E6D8C9,up,post_vs_pre,1.0297042224950255,19.183970502180212,2.001592715868257,2.660180290597454
UniRef90_E6D8W0,up,post_vs_pre,22.983372370791837,20.964659793617216,24.837527572509742,20.512631811193636
UniRef90_E6D9L7,up,post_vs_pre,1.237303660898795,20.267068213333122,3.1645884493763345,16.949138963117058
UniRef90_F9NV38,up,post_vs_pre,1.411041147197851,1.7334030106486937,1.0676423943076785,22.881170919912833
UniRef90_F9NW02,up,post_vs_pre,1.3149897776809791,19.793911775129704,22.33734341952173,2.68926942516714
UniRef90_Q6A7B3,up,post_vs_pre,1.1549134834539416,18.975858227950862,1.609752019897409,1.4801759006255877
UniRef90_Q79DR3,up,post_vs_pre,22.577009160549746,26.9726362973656,22.624018309347786,21.656054846127844
UniRef90_U7M528,up,post_vs_pre,1.1567989868914494,20.368182801556586,2.1230999190177022,24.25612317485034
UniRef90_U7MA07,up,post_vs_pre,1.0166845318237683,2.5706536503290063,22.123731481137913,24.10964106433427
UniRef90_UPI0001EF422B,up,post_vs_pre,1.230139685605853,21.30364271424879,1.376437557178489,1.0085671032667145
UniRef90_UPI00024355EF,up,post_vs_pre,1.2382843070936662,19.79457292909049,21.552450995119518,24.274485294251072
UniRef90_UPI000D1CFD5E,up,post_vs_pre,22.724673925528098,1.1702833877005032,1.2430837408565327,22.14784782733319
UniRef90_W4TE52,up,post_vs_pre,1.139412545576231,19.913471381265747,1.4696844900008963,24.14467610784959
UniRef90_W4TFJ6,up,post_vs_pre,3.4492877750279867,1.212575309551422,22.353502143828035,22.998302622340894
UniRef90_W4TFU0,up,post_vs_pre,1.1839902667065532,20.309222829048732,1.0196074968861961,24.334734085781125
UniRef90_W4THL9,up,post_vs_pre,1.4688736890932397,23.250059102132287,23.59731010869489,26.829572110235468
UniRef90_W4TJ51,up,post_vs_pre,1.5840727882231966,1.2140902384221024,22.812535032007506,25.07957599638751
UniRef90_W4TJQ0,up,post_vs_pre,2.483040283204092,18.8029843388103,20.689190111414803,21.062423240003003
UniRef90_W4TKV9,up,post_vs_pre,1.2511509793638234,1.155624331311745,2.363098034184111,2.006679845538741
UniRef90_W4TKX0,up,post_vs_pre,1.5375399367222775,19.227693494460617,23.916415904809416,2.577872969390509
UniRef90_W4TKZ3,up,post_vs_pre,1.0398611419864707,20.053663873748338,22.33788418350154,22.28957962980011
UniRef90_W4TL20,up,post_vs_pre,1.733913206389642,20.798851724641878,24.47597240908532,1.9119939014255463
