feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A011UVI2,up,during_vs_pre,17.655813694613965,16.62723462188761,16.534067257883724,17.48016301869085
UniRef90_A0A011UVR2,up,during_vs_pre,18.60301231850637,17.7295742779137,17.925055993504884,20.920977557075478
UniRef90_A0A021WYF6,up,during_vs_pre,16.332604798402524,17.857370552944737,16.990159376043117,18.373349481139783
UniRef90_A0A023XSF9,up,during_vs_pre,18.082738987480703,17.27686501432537,15.985586259254932,5.650845725420982
UniRef90_A0A031JMN7,up,during_vs_pre,18.345546019744866,18.342777852114537,16.438735008961995,5.131801625843882
UniRef90_A0A068CY69,up,during_vs_pre,17.80923430312083,16.648125822077372,17.365557800084392,19.52711710448765
UniRef90_A0A068D159,up,during_vs_pre,18.13258507585018,17.547704151356815,16.603017753515307,18.80064558380458
UniRef90_A0A068D1Q9,up,during_vs_pre,17.71198618399161,17.03629705216065,16.338701568084335,18.02175807184585
UniRef90_A0A068D3I4,up,during_vs_pre,18.220231881576524,17.62729162907097,17.460207895786294,17.99126717304366
UniRef90_A0A068D6W3,up,during_vs_pre,18.090650021193493,17.77341612606426,16.506803437795647,17.704433918290427
UniRef90_A0A068D7Q8,up,during_vs_pre,17.554791176908154,17.526120940578185,16.433047459706227,18.49461147481112
UniRef90_A0A068D8L2,up,during_vs_pre,17.033175619389038,17.111426079581953,17.396847238993466,17.286368243832243
UniRef90_A0A068DAP5,up,during_vs_pre,17.867387343218248,17.74609438370546,16.8420249440207,17.776641859569654
UniRef90_A0A068DAQ7,up,during_vs_pre,17.66716699515446,16.93489447286055,16.905469273146963,18.376869392341856
UniRef90_A0A068DBD7,up,during_vs_pre,18.4618451107055,17.085721407162843,16.378074668238295,17.689161951852004
UniRef90_A0A068DBK6,up,during_vs_pre,17.923501590078168,17.45432339403515,17.357629319234697,19.755999177268087
UniRef90_A0A068DBU1,up,during_vs_pre,17.657018322163903,17.062251722297894,16.43573536303448,19.859684159558853
UniRef90_A0A068DD51,up,during_vs_pre,17.719151480867325,17.47215931228671,16.957153066562903,17.881221527709513
UniRef90_A0A068DEH5,up,during_vs_pre,16.833452221495595,16.657792942281137,17.490698133719057,20.518522537671277
UniRef90_A0A068DFJ1,up,during_vs_pre,17.716039049512556,17.481645727273587,15.577512915917017,19.927173202261848
UniRef90_A0A074TEZ8,up,during_vs_pre,18.815799176574707,18.409697542551392,17.911912726612112,21.812046833078547
