feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A076NQX0,down,post_vs_pre,-1.0904906586202805,-26.16127826879198,-22.06583365465855,-19.44005131134154
UniRef90_A0A077HKM1,down,post_vs_pre,-15.542054463057529,-26.184883481427452,-20.455817168427163,-18.715505134187435
UniRef90_A0A088QEB2,down,post_vs_pre,-16.142725336666793,-22.42747713612192,-20.721510054076884,-1.80953455402743
UniRef90_A0A0B6F2Q4,down,post_vs_pre,-17.59173562620754,-18.19596327597215,-19.570777883931733,-3.532185112362748
UniRef90_A0A0E1VA39,down,post_vs_pre,-1.4055561951287314,-16.56354883759575,-3.1268227424425357,-1.6577927300886244
UniRef90_A0A0H2VGZ8,down,post_vs_pre,-1.2934998185304678,-17.777664140737706,-18.091006588616587,-1.9214717653259028
UniRef90_A0A0H2VID4,down,post_vs_pre,-1.0104635487024187,-16.276875613331246,-3.9648480763179723,-1.6496434563868811
UniRef90_A0A0P0DQR8,down,post_vs_pre,-15.305349282598948,-23.15513028473436,-20.62096405542943,-17.358180137539335
UniRef90_A0A0T8AMC6,up,post_vs_pre,17.232386573315942,17.58319297569568,2.597816187375079,17.46249960993121
UniRef90_A0A0T9ALI8,down,post_vs_pre,-13.90086052007025,-15.784915955594984,-16.42127042558157,-16.009366477474554
UniRef90_A0A0T9SI50,down,post_vs_pre,-15.196448443962078,-16.395997064184616,-14.900436022740905,-15.617056071727596
UniRef90_A0A133ZK26,down,post_vs_pre,-17.499259382423837,-26.57768322707362,-4.887998891835052,-17.704277424907957
UniRef90_A0A139RCV3,down,post_vs_pre,-17.37425839386853,-15.742090095515255,-17.062443223454103,-18.50425390209491
UniRef90_A0A1N4V7Q2,down,post_vs_pre,-14.459977990558574,-16.118400393243025,-24.227876755888435,-14.649963427758703
UniRef90_A0A1R1HER7,down,post_vs_pre,-1.311790990611753,-15.777683401910856,-18.453695312873098,-17.35654367179756
UniRef90_A0A1Y1J2E0,down,post_vs_pre,-15.252357447255797,-17.01749352691985,-20.505181262992995,-20.74719946437302
UniRef90_A0A2A1K9W9,down,post_vs_pre,-19.89096087934133,-15.369881295532055,-23.592803170976516,-3.6149425040052376
UniRef90_A0A2N6ST61,down,post_vs_pre,-16.502510699917547,-17.046484580209583,-20.415195370714233,-22.632376904440584
UniRef90_A0A2X3D6S6,down,post_vs_pre,-1.0701200887451408,-21.568823758684236,-3.943863850599699,-1.304117207807537
UniRef90_A0A2X4RD69,down,post_vs_pre,-16.98257029117209,-21.09977691828585,-19.564254330314114,-16.817133562980192
UniRef90_A0A380EFL3,down,post_vs_pre,-15.479927590558805,-18.76014924420796,-19.000200861752894,-1.1846111078332413
UniRef90_A0A380HAD4,down,post_vs_pre,-17.263834629337186,-16.913730912257197,-5.213312846200394,-14.67943611423003
UniRef90_A0A389VDB0,down,post_vs_pre,-17.89604655835449,-16.735027079802627,-25.39952187838986,-17.573947914833752
UniRef90_A9IZY8,down,post_vs_pre,-1.9228164751440722,-16.524286633536676,-1.5427136722810255,-1.7894042362605613
UniRef90_C5CC66,down,post_vs_pre,-15.659772961881611,-22.32565305819928,-19.323748952465575,-18.186704277112558
UniRef90_C6RA85,down,post_vs_pre,-1.1118388447942167,-21.125225312991862,-22.820094476381307,-17.950664104230043
UniRef90_C6RAL6,down,post_vs_pre,-17.190647780038383,-19.493269761806705,-21.543205716663724,-16.971943897762948
UniRef90_C6RB30,down,post_vs_pre,-15.372196235174863,-21.13203169993202,-22.562284898154154,-17.551700752570497
UniRef90_C6RBD6,down,post_vs_pre,-16.2518891838027,-19.841847375980056,-20.66063343458198,-15.897128530169404
UniRef90_C7HSU9,down,post_vs_pre,-14.470328409232593,-15.014289322783588,-20.45172526208924,-22.59035000875655
UniRef90_E0PZ12,down,post_vs_pre,-15.57935620832561,-15.39917777096966,-13.338485699495257,-15.040546588299767
UniRef90_E2S188,down,post_vs_pre,-17.661745629346942,-21.252995096237758,-21.91982339768569,-17.670937421862575
UniRef90_E2S1K9,down,post_vs_pre,-16.67569061829145,-21.01403341452942,-22.339256958436366,-16.961027580441446
UniRef90_E2S1N2,down,post_vs_pre,-19.605265487181512,-22.421514166882712,-25.17896450358633,-20.802408814884934
UniRef90_E2S1T3,down,post_vs_pre,-1.2993981200684206,-21.28938572396112,-21.587332995513076,-16.431503045259138
UniRef90_E2S2V4,down,post_vs_pre,-17.94792757824465,-20.223420805801474,-22.36243392639805,-18.22470201847079
UniRef90_E2S306,down,post_vs_pre,-1.719999758474604,-19.152470535347977,-21.854210831298186,-18.590049710856885
UniRef90_E2S3X1,down,post_vs_pre,-18.113662479795373,-21.068158752938057,-23.377864638223972,-1.3132331770075334
UniRef90_E2S5B9,down,post_vs_pre,-15.546110697753333,-15.887625221736577,-20.908057587589052,-18.570167011766806
UniRef90_E2S6C6,down,post_vs_pre,-3.006984474421399,-20.268435773434867,-22.004189256571976,-3.417611218877903
UniRef90_E2S6C9,down,post_vs_pre,-1.1422868042280985,-19.77697859656427,-22.13626260965462,-2.0378491889018844
UniRef90_E2S6F2,down,post_vs_pre,-17.44599823494999,-21.14448710082799,-21.45116632882051,-3.306588619730516
UniRef90_E2S6U4,down,post_vs_pre,-1.3515426057854896,-24.591438017397422,-26.763922759020307,-25.583037485950303
UniRef90_E2S7E5,down,post_vs_pre,-1.0182170966163444,-22.441137995741048,-24.41002334834799,-2.254057337792291
UniRef90_F9ES52,down,post_vs_pre,-15.638948700633442,-15.554319040558209,-15.873964714078568,-15.914340748043674
UniRef90_G4CX81,down,post_vs_pre,-19.43411846981997,-15.677774688478525,-18.114487951622976,-2.163519093126726
UniRef90_H0T1I1,down,post_vs_pre,-14.211274876845229,-15.752659401271352,-16.44650717861096,-13.51606522876517
UniRef90_J1P1G0,down,post_vs_pre,-19.225875039890024,-16.06470066869257,-19.88816699823739,-21.026973863192925
UniRef90_M1XGR1,down,post_vs_pre,-1.0946890668572264,-17.443197180241363,-1.3325704445683608,-1.7338574332102625
UniRef90_P0A0N3,down,post_vs_pre,-19.040099716846438,-16.54238200186023,-25.443763876782047,-14.506596851550446
UniRef90_Q4JWF1,down,post_vs_pre,-18.104937732603755,-17.738255025237578,-20.628978556155165,-2.5942969090474217
UniRef90_Q4QNY3,down,post_vs_pre,-13.51288034773786,-14.799512674404804,-14.1387011098141,-17.98780062916665
UniRef90_Q5HPA2,down,post_vs_pre,-1.6230266489330534,-14.921885865666333,-16.37888750189983,-2.2352803412861983
UniRef90_Q8CU41,down,post_vs_pre,-1.5454574572708832,-15.532802335099856,-21.676591148759655,-2.3223042545743118
UniRef90_U1EZI4,down,post_vs_pre,-1.1961575569335219,-15.366265288602511,-16.042279247187565,-1.0107752945863704
UniRef90_U1F7G6,down,post_vs_pre,-1.3896835490578223,-15.937718635331153,-17.613734318924894,-1.0209998766856172
UniRef90_U1F904,down,post_vs_pre,-1.2718871763033617,-15.269552858146124,-17.359457890148065,-1.2844523433625754
UniRef90_U7JJQ8,down,post_vs_pre,-2.2800795541757584,-16.77767056115733,-16.46819975828099,-1.1786610546110545
UniRef90_U7L5F5,down,post_vs_pre,-17.256263982913396,-21.14435639689798,-20.82237140060818,-1.4342645682030428
UniRef90_U7LGX9,down,post_vs_pre,-18.83592086776195,-21.26482302453379,-22.164782048683332,-3.4931523558825033
UniRef90_U7UXC5,down,post_vs_pre,-15.946814915494844,-17.490782992949544,-17.16681362929132,-18.3713498406386
UniRef90_UPI000E250910,up,post_vs_pre,1.430273788240651,19.664716361968363,1.8682444632718795,1.5774286249544323
UniRef90_W1WBK5,down,post_vs_pre,-1.0989996065933987,-20.421513225214742,-20.734857060227487,-1.1107555207957882
UniRef90_W4TFN3,down,post_vs_pre,-1.2611605963894836,-16.794250852729782,-20.599122550474362,-17.616395683309513
UniRef90_W4TGE0,down,post_vs_pre,-16.436288612287154,-19.07309989091089,-16.73938507994463,-16.505816721748488
UniRef90_W4TLJ7,down,post_vs_pre,-1.1510407369460243,-17.310384975949024,-21.90453111376581,-21.61074806901093
