feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A011UVR2,up,during_vs_pre,18.04426069634474,19.52705504341698,18.827102313606826,3.9472666908119147
UniRef90_A0A021X2C9,up,during_vs_pre,17.802311250155753,20.3475554101959,18.700070516758434,20.73419277227319
UniRef90_A0A074TEZ8,up,during_vs_pre,20.660241859798514,21.23204142778422,19.625389580075677,23.169049841199254
UniRef90_A0A090DF42,up,during_vs_pre,16.980061459301417,21.880225852747657,18.07174777693294,6.3259930036189465
UniRef90_A0A090DL03,up,during_vs_pre,18.578029874925434,19.783209285882247,19.76132235214173,4.180524337306422
UniRef90_A0A097IF78,down,during_vs_pre,-1.9651392997792303,-26.048463529635228,-3.45956282426616,-3.300832356130523
UniRef90_A0A0B6EPI5,down,during_vs_pre,-1.9843837319928788,-24.769854839276473,-1.9137122086863834,-4.871813034914441
UniRef90_A0A0B6F486,down,during_vs_pre,-1.8626804280529172,-2.442116438887557,-2.298933700315234,-3.1117347115496683
UniRef90_A0A0B6F6W8,down,during_vs_pre,-1.783927962197862,-2.670244372110508,-2.238900744655987,-3.3556410690644896
UniRef90_A0A0B6TTL7,down,during_vs_pre,-1.83155090222775,-1.8381050117331206,-1.908097651140787,-1.8687190628395138
UniRef90_A0A0D1MAH5,up,during_vs_pre,2.7802830870585757,20.452997272971288,18.509119696459308,2.186607103093607
UniRef90_A0A0D1MIG5,up,during_vs_pre,19.389679648974433,23.627189526719125,17.6418400806319,21.503689888994842
UniRef90_A0A0D1NJ42,up,during_vs_pre,19.376964537709792,20.774194274624765,17.48928351348411,4.007278073568594
UniRef90_A0A0D7PR46,up,during_vs_pre,17.67450263712991,22.14176601771056,17.856851018113893,3.484501745603999
UniRef90_A0A0E4BP33,up,during_vs_pre,19.581374382600963,21.039561681954382,17.584723998398776,4.661710275681881
UniRef90_A0A0E4FZ75,up,during_vs_pre,19.492878085053334,20.747489056130163,19.140637580993573,2.917542262736045
UniRef90_A0A0F6QX63,down,during_vs_pre,-1.737856187739657,-3.472931759577717,-1.8089984733258293,-1.7641185835253077
UniRef90_A0A0F6QXV3,down,during_vs_pre,-1.867923398114171,-2.0988869459972577,-2.8729268405881285,-2.698430538198548
UniRef90_A0A0F6QZF0,down,during_vs_pre,-1.858169431120746,-1.7483895932570066,-1.2043320855791,-3.6176507364418864
UniRef90_A0A0F6TAE4,down,during_vs_pre,-1.7902654119510888,-24.26187605340377,-17.31749210961151,-23.011971720634726
UniRef90_A0A0H3C9D3,up,during_vs_pre,19.268019928535423,20.15535684397614,18.007531035615685,5.1688325118497165
UniRef90_A0A0K2WXV9,down,during_vs_pre,-1.7641710919264355,-1.9701416926635729,-2.086470718118969,-2.9726952978409966
UniRef90_A0A0K2X047,down,during_vs_pre,-2.083438192552337,-3.9571569390772563,-1.782327855490463,-2.831887301028913
UniRef90_A0A0K2X1S0,down,during_vs_pre,-1.843102612890449,-1.9960114219794434,-2.34403546944219,-2.640399169806733
UniRef90_A0A0M2X6T1,down,during_vs_pre,-1.8641606923339689,-1.713744709695071,-1.7460814403028715,-2.2269587789319094
UniRef90_A0A0M2XB43,down,during_vs_pre,-1.7640658888110614,-1.6413387529735113,-2.7244685364224077,-2.495513932780374
UniRef90_A0A0M2XGZ6,down,during_vs_pre,-1.9588408802693924,-4.38063561343902,-3.851625820197438,-2.215286539709426
UniRef90_A0A0Q5YZP9,up,during_vs_pre,22.042070796526378,22.93737292212846,20.177771107292383,24.561510950386143
UniRef90_A0A0Q5ZDJ0,up,during_vs_pre,22.201397971419066,21.7252984335767,20.970893694153858,24.661877074851095
UniRef90_A0A0Q6L554,up,during_vs_pre,18.734939454711803,20.949120672533947,17.664207676606168,4.261271362418069
