feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A0B6EPI5,down,post_vs_pre,-1.2176638874126997,-2.542951836181618,-2.1846474805845344,-3.7186062447947936
UniRef90_A0A0D1LC88,down,post_vs_pre,-14.61152820757723,-19.28093611174399,-16.011554865171213,-4.6225345738681725
UniRef90_A0A0E9H0U6,up,post_vs_pre,16.804866268035948,17.00996344101807,15.151703674977764,1.9336199631030466
UniRef90_A0A0T7T2U9,up,post_vs_pre,15.703434996270202,16.908521628122216,2.508828690962257,1.8362637028425313
UniRef90_A0A110FUE9,up,post_vs_pre,17.087452481787587,22.469662433664087,3.8068404374381726,15.244314277555938
UniRef90_A0A1B0ZL14,up,post_vs_pre,17.839802489919176,17.366717785425863,17.771510962580404,1.1323449581395588
UniRef90_A0A1N0SMI4,up,post_vs_pre,17.076436366658232,18.51030186987324,18.8655137927439,1.630629419950241
UniRef90_A0A1N0TFX7,up,post_vs_pre,16.705519897397078,17.897876961056358,13.865140401891408,16.957162515439055
UniRef90_A0A1N1CQR6,up,post_vs_pre,2.437702353120625,17.747364757355044,14.330221312040184,13.648192778770985
UniRef90_A0A1N4PI60,up,post_vs_pre,1.1693495913478584,17.2679692725698,16.907532276849686,18.429040256269964
UniRef90_A0A1N4XWY2,down,post_vs_pre,-15.73343025581026,-25.836413921964,-1.302103787785394,-3.6545999641124167
UniRef90_A0A1Q2HYN7,down,post_vs_pre,-1.1263263869810327,-1.1489711367629132,-2.163886201574572,-1.0999539848350504
UniRef90_A0A221KKV6,up,post_vs_pre,3.280590186283966,18.857119417166942,18.54692334042133,2.7466914060635554
UniRef90_A0A3A0SEP1,up,post_vs_pre,1.0752454026495122,19.131089112410518,15.993203773296528,17.141582641832848
UniRef90_D4H985,up,post_vs_pre,3.728143908644364,18.055308918000154,1.4294347554054805,1.544521577683693
UniRef90_D4HB53,up,post_vs_pre,1.7444380267065958,19.604505571829392,1.6096997104818083,1.8103640559944292
UniRef90_D7WC95,up,post_vs_pre,3.921699106398632,17.40287605417048,1.5804371455426514,12.670088205205994
UniRef90_E2S2F2,up,post_vs_pre,3.3793495959190425,23.68558531150825,16.18064087520375,1.7484948045701676
UniRef90_E2S6C7,up,post_vs_pre,2.696797734828758,24.638351483934766,19.390078667353098,1.511935601513115
UniRef90_E6D7V8,down,post_vs_pre,-18.91991563352748,-24.793638084430533,-15.818919146414279,-20.100883448936575
UniRef90_E6DAP9,down,post_vs_pre,-15.784583728756237,-25.81511610050958,-2.5293552606300813,-2.026664225702713
UniRef90_H9A0T1,up,post_vs_pre,1.5883156980052626,20.038905150398882,5.066911922441366,20.648509434805515
UniRef90_I6SN30,up,post_vs_pre,1.117494851048993,20.218612503843772,15.775387371407954,4.322575212110862
UniRef90_U7J6P2,down,post_vs_pre,-16.19873278437275,-25.35774444456382,-17.020535103002196,-2.4611980574408814
UniRef90_U7J800,down,post_vs_pre,-14.91355640350186,-24.920339633456084,-15.600219277759997,-1.5491762228520791
UniRef90_UPI00065F6BE4,up,post_vs_pre,2.0728152433339866,21.144022321935648,16.96659932737059,1.2854653429597405
UniRef90_UPI0006B939CA,up,post_vs_pre,1.025489554201819,17.76900701505238,16.749869427396845,1.233942729999692
UniRef90_W4TG86,down,post_vs_pre,-2.805170760762471,-5.827143049053399,-1.766892739845865,-20.795036085281424
UniRef90_W4TNU7,down,post_vs_pre,-19.62755822651645,-25.802562043606436,-16.195660563786166,-1.5251397363911738
UniRef90_W4TTM7,down,post_vs_pre,-20.198342319315433,-25.12664055664414,-1.5372898933197194,-2.1728937594794666
UniRef90_W4UCT3,down,post_vs_pre,-13.50979561882073,-24.67997081593449,-17.681541435420097,-17.024869118145535
UniRef90_W4UDG2,down,post_vs_pre,-15.885585167665162,-24.861219976704685,-2.6892807120090043,-16.561730464493696
UniRef90_W4UGN9,down,post_vs_pre,-2.4855819287286938,-25.08891958768507,-1.0370504934693112,-1.0726243733689822
