feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A010NLN6,down,during_vs_pre,-22.487293367164487,-3.69114828355701,-21.784006009635704,-18.74040993784423
UniRef90_A0A010NM98,down,during_vs_pre,-18.867800565164053,-20.41246888891001,-3.166508118011394,-17.82694978695603
UniRef90_A0A010NN51,down,during_vs_pre,-18.722461799598168,-20.13753904554742,-21.3265039160076,-18.73339825715926
UniRef90_A0A010NN78,down,during_vs_pre,-15.891158716392695,-20.088667053398623,-21.02946225924981,-19.52074591229244
UniRef90_A0A010NP06,down,during_vs_pre,-16.661907964165515,-19.88587805702452,-21.097517586519444,-18.039943591398746
UniRef90_A0A010NWT1,down,during_vs_pre,-17.672181299307585,-20.160891102001493,-20.66766568826436,-19.48483338136523
UniRef90_A0A010NWV9,down,during_vs_pre,-17.532619729599784,-2.5683095787243104,-20.40764016727611,-17.647627060813402
UniRef90_A0A010NYA8,down,during_vs_pre,-18.654166324782686,-20.054396757353764,-22.028290441441925,-19.506253336433197
UniRef90_A0A010PJG2,down,during_vs_pre,-15.180919244664318,-18.96965164316207,-21.105277442071248,-18.193311987148984
UniRef90_A0A010PLD5,down,during_vs_pre,-18.759003907962224,-20.54519231290786,-3.9519481280663906,-19.284547755978426
UniRef90_A0A010PUU2,down,during_vs_pre,-16.615955256365197,-18.570106466362702,-20.814757424710077,-19.399128387151404
UniRef90_A0A010Q9V8,down,during_vs_pre,-19.034601069822457,-20.392225521058695,-1.2659544600785413,-18.801711516071272
UniRef90_A0A011THE1,up,during_vs_pre,20.532733543727378,19.776429819483628,22.994053154926664,21.8392114784797
UniRef90_A0A011TK93,up,during_vs_pre,19.14907476745586,17.807813993550543,22.485715581711037,21.78227959617244
UniRef90_A0A011UVI2,up,during_vs_pre,18.771428212466393,18.52347964131657,22.85355152009338,21.817449790992352
UniRef90_A0A011UVR2,up,during_vs_pre,19.263803307314454,18.455030160496044,23.099250199970314,21.842558667930543
UniRef90_A0A017H1K9,down,during_vs_pre,-20.30298729088688,-17.147883943923244,-14.37895634593521,-17.411924697227658
UniRef90_A0A021WYF6,up,during_vs_pre,18.013088181527202,18.2202578650372,22.34192351462565,21.613370200510005
UniRef90_A0A021X2C9,up,during_vs_pre,18.27694677606845,18.690567552124104,22.570409554035848,21.712473263777525
UniRef90_A0A021X4J0,up,during_vs_pre,19.236175398232206,19.67380507545687,22.783415735647687,21.701991701191922
UniRef90_A0A021XBH5,up,during_vs_pre,18.754155154322575,19.265652814553782,22.530941355795143,21.51531436521269
UniRef90_A0A021XE48,up,during_vs_pre,19.563354564866845,18.63994829901746,22.42905217872338,21.797620762684286
UniRef90_A0A023XML3,up,during_vs_pre,18.36149834414337,19.51323700579469,24.56150832836667,22.043890382838217
UniRef90_A0A023XQ45,up,during_vs_pre,19.23237759433129,19.954559137056663,24.736009449415484,22.61530903357856
UniRef90_A0A023XSF9,up,during_vs_pre,18.874426090342222,2.1158243700124113,6.354815759446337,3.0367064160092467
UniRef90_A0A023XU42,up,during_vs_pre,17.682771750605156,1.2758820623187608,5.981454645736289,4.164774984635379
UniRef90_A0A024IZB8,up,during_vs_pre,18.70572518497947,19.59425534286869,22.966023950782983,21.651419635789427
UniRef90_A0A031JMN7,up,during_vs_pre,20.346728512148488,2.3336421645394148,6.923652316122475,3.7059796279273782
UniRef90_A0A060QNB5,down,during_vs_pre,-22.605710017921574,-2.7297450017800915,-3.019332345617904,-2.9413598183492304
UniRef90_A0A068CY69,up,during_vs_pre,19.73064924230228,19.77724728735263,22.61467794624562,21.873456691763
UniRef90_A0A068CZ33,up,during_vs_pre,19.42887128748036,17.96203178290461,22.44661373278859,21.649596734073835
UniRef90_A0A068D159,up,during_vs_pre,18.959032646605475,18.717944119250507,22.62947491149854,21.724176997769124
UniRef90_A0A068D1Q9,up,during_vs_pre,19.04000872006803,18.60563143057373,22.63625598092404,21.858726234726873
UniRef90_A0A068D2X8,up,during_vs_pre,19.402778925320934,18.90079754120481,22.58566974930707,21.76335482870419
UniRef90_A0A068D3I4,up,during_vs_pre,19.299020155239557,18.575140347019865,22.852651800349236,21.636827265826962
UniRef90_A0A068D6W3,up,during_vs_pre,18.57067660451427,19.13301925932187,22.477491482938124,21.87302086017042
UniRef90_A0A068D7Q8,up,during_vs_pre,20.021908498615907,18.164644271477357,22.65901879200267,21.87689160054034
UniRef90_A0A068D8L2,up,during_vs_pre,19.485206279417,18.584004583373645,22.37089542534949,21.82352059941693
UniRef90_A0A068D952,up,during_vs_pre,17.995869260152396,20.336747346285104,22.252954397516877,22.062114339697782
UniRef90_A0A068DAP5,up,during_vs_pre,19.057936212274004,19.231596208668506,22.752716697203702,21.732886182197372
UniRef90_A0A068DAQ7,up,during_vs_pre,18.847890808467337,19.185306173716725,22.685490959796603,21.725444688791924
UniRef90_A0A068DAR8,up,during_vs_pre,18.81739748151333,19.07011832329886,22.6592377008542,21.487313323935858
UniRef90_A0A068DBD7,up,during_vs_pre,19.01225624587106,18.89380070126858,22.854543893142367,21.93992959884837
UniRef90_A0A068DBK6,up,during_vs_pre,19.57544414878995,19.876410527094173,22.75828096796634,21.994721322214126
UniRef90_A0A068DBK7,up,during_vs_pre,20.563367134421192,20.487179591936567,22.838562265854186,22.306232364369965
UniRef90_A0A068DBQ4,up,during_vs_pre,19.23281905996458,18.39876873850968,22.435287726770984,21.489955729019318
UniRef90_A0A068DBU1,up,during_vs_pre,18.72200532926715,19.094053194379264,22.875993392008116,21.53490317113505
UniRef90_A0A068DD51,up,during_vs_pre,19.199358427138808,19.456320320766793,22.69136058298344,21.859866305663193
UniRef90_A0A068DE71,up,during_vs_pre,19.780472485586117,20.163028012689956,23.23982254621541,22.099349736858436
UniRef90_A0A068DEH5,up,during_vs_pre,19.001434310015597,19.452419225234436,22.255593107385344,22.651734504334183
UniRef90_A0A068DFJ1,up,during_vs_pre,19.39440826426888,19.170685499337758,22.641874910622896,21.22281022953514
UniRef90_A0A068DMI7,up,during_vs_pre,21.04489801347932,19.550664128612066,22.815889255247537,22.092190638553248
UniRef90_A0A069INR8,up,during_vs_pre,16.623495736943884,19.87542839957371,1.5812088836876077,21.408434703313976
UniRef90_A0A069SWR9,down,during_vs_pre,-1.0828477916722332,-21.231011161540525,-1.8086911999539699,-3.563591111590567
UniRef90_A0A074TEZ8,up,during_vs_pre,20.383278717857003,21.391902770352093,25.823753158496395,23.903918519582966
UniRef90_A0A075TWI6,down,during_vs_pre,-1.261102630025338,-19.880574510567214,-3.2730046943754294,-20.532517955045993
UniRef90_A0A076NDQ8,down,during_vs_pre,-17.436792860588582,-18.27248551068833,-20.282545880524175,-19.953835049813073
UniRef90_A0A076NEN4,down,during_vs_pre,-17.647774599709294,-19.011935163174826,-20.31049925311509,-3.3575039482929285
UniRef90_A0A076NF77,down,during_vs_pre,-18.57873016581861,-19.79463109613683,-4.9517243086946054,-3.994225281893974
UniRef90_A0A076NFF1,down,during_vs_pre,-1.7638696388529733,-1.3069033480545604,-1.1985638103680607,-3.830118330561029
UniRef90_A0A076NKN0,down,during_vs_pre,-1.8794666409903953,-1.213740740244083,-21.868163167939013,-3.6186945490269777
UniRef90_A0A076NMJ5,down,during_vs_pre,-20.906998948253257,-3.4834345307376804,-3.0842762284430925,-4.705214323495291
UniRef90_A0A076NMW5,down,during_vs_pre,-18.664630146925575,-19.118577826034397,-20.755210063089507,-2.1296628041537025
UniRef90_A0A076NN31,down,during_vs_pre,-2.247714138555704,-20.547582099057742,-19.269262917911373,-5.478156452309832
UniRef90_A0A076NNJ4,down,during_vs_pre,-17.535029782416963,-19.19532254020734,-20.452449389974184,-20.830693401605096
UniRef90_A0A076NNR9,down,during_vs_pre,-17.789183371929454,-19.5375451432257,-22.08890822802818,-4.662249889987963
UniRef90_A0A076NQ64,down,during_vs_pre,-20.41413224261594,-18.37268796504599,-20.62235007347188,-20.79482858220001
UniRef90_A0A076NQA5,down,during_vs_pre,-18.19823079556328,-18.809781733448037,-21.6027400889469,-21.064367584179525
UniRef90_A0A076NQN0,down,during_vs_pre,-2.750811562388595,-19.822626324217765,-19.809962245706508,-20.800514195909305
UniRef90_A0A076NTC6,down,during_vs_pre,-17.774403157909887,-16.971431288078747,-19.54549808718433,-19.518431610315947
UniRef90_A0A077HGF8,down,during_vs_pre,-18.665232965657285,-17.472413200337147,-19.157939810508573,-4.4325900877803495
UniRef90_A0A077HMD2,down,during_vs_pre,-1.737021268149702,-18.954859885037845,-3.980100436742963,-22.700176587149567
UniRef90_A0A077HMV1,down,during_vs_pre,-1.5366535153429355,-18.31687369309237,-18.79337469512168,-21.307750209221883
UniRef90_A0A081RA66,up,during_vs_pre,19.86892200183276,20.81905601756485,24.000669287198445,22.33270776976631
UniRef90_A0A090DDZ5,up,during_vs_pre,19.49077842373351,18.80497547274732,22.929052661087447,22.024402144633413
UniRef90_A0A090DF42,up,during_vs_pre,19.192945328404907,19.11470822360131,22.42804907072347,21.452275682706514
UniRef90_A0A090DL03,up,during_vs_pre,19.8179446853306,19.275897148363903,23.245713430531396,21.998491095333183
UniRef90_A0A090DMI1,up,during_vs_pre,19.020526964482496,18.934727495933707,23.11939268043976,22.431928569999727
UniRef90_A0A090DNN5,up,during_vs_pre,19.995866500537293,18.588141820546646,23.39013247388706,22.190336514570742
UniRef90_A0A090DPX5,up,during_vs_pre,18.882072817110497,18.63273078576128,22.542483791442454,21.565795193314333
UniRef90_A0A090DUL4,up,during_vs_pre,17.909198727504393,17.960417746909652,22.198557747599907,21.170223073909597
UniRef90_A0A090E3P2,up,during_vs_pre,18.536880836185787,19.082931252592545,22.777094950635785,21.68308156494665
UniRef90_A0A090E4T3,up,during_vs_pre,19.44473890502451,19.415040250998633,22.83529831867417,21.71357928979437
UniRef90_A0A090E4U3,up,during_vs_pre,19.260441789647036,18.00154014217342,22.540317737873494,21.496383992365903
UniRef90_A0A090EVW0,up,during_vs_pre,18.776534237057035,19.30178642671245,22.744976483842308,22.01731392102657
UniRef90_A0A090F7B3,up,during_vs_pre,17.970420501909125,18.521615774410947,22.86172511706906,21.81781980687496
UniRef90_A0A090FIQ8,up,during_vs_pre,18.63058175581643,19.04420465499922,22.69676403029896,22.357798967344586
UniRef90_A0A090FIR9,up,during_vs_pre,19.315598476740153,19.00591369733263,22.756995207974665,21.788408687914927
UniRef90_A0A090FP82,up,during_vs_pre,19.02994230940777,19.78989736127509,23.643850796388712,23.02239592265742
UniRef90_A0A090FUX2,up,during_vs_pre,18.477629821284534,17.89125564664516,22.452334257827204,22.047276377568533
UniRef90_A0A090FWU3,up,during_vs_pre,19.98941528988494,18.61156878978039,22.596129003660355,21.916122558187197
UniRef90_A0A090FWW5,up,during_vs_pre,17.754176363384424,18.232460745399464,21.80556716078152,20.035054123573406
UniRef90_A0A090FZT5,up,during_vs_pre,18.44596860836079,19.029519100852827,22.88938772783111,22.04545606004804
UniRef90_A0A090G038,up,during_vs_pre,19.253372009974864,19.685511919455696,22.03539549869003,21.37782188734925
UniRef90_A0A090G074,up,during_vs_pre,18.828167482362208,18.89745847847972,22.176029757503915,21.481491021061665
UniRef90_A0A090G0F7,up,during_vs_pre,17.859355821503193,19.052188584504062,22.403237541506705,21.757704755542324
UniRef90_A0A090G0G4,up,during_vs_pre,19.09558503316832,18.97395656047164,22.662824812894794,21.492246355583227
UniRef90_A0A090G0H6,up,during_vs_pre,17.73442186213263,18.81452770543819,22.167755319242335,21.456943919238093
UniRef90_A0A090G677,up,during_vs_pre,19.495763310054738,19.475611731682744,22.946149890624213,21.739678235630524
UniRef90_A0A090G6X1,up,during_vs_pre,18.85392324042554,19.4591113826721,22.71483997687294,21.418988544941822
UniRef90_A0A090G743,up,during_vs_pre,19.11808433984144,18.250032348355244,22.44488395743267,21.65864428283359
UniRef90_A0A090GPI1,up,during_vs_pre,19.20325957172097,19.4748041007547,22.191221003912712,21.85208978591279
UniRef90_A0A090GRY4,up,during_vs_pre,18.320090976501962,19.726730389069832,22.533445946119826,21.933506249629442
UniRef90_A0A090GSF8,up,during_vs_pre,19.480914421861375,18.937807699181967,22.759752488678362,21.853644792259985
UniRef90_A0A090GUG3,up,during_vs_pre,18.932220520152867,17.88575892276439,22.110866543600533,21.530215329988728
UniRef90_A0A090N8T4,up,during_vs_pre,17.253985943392347,17.49164566269716,21.593908987702733,20.60742333307977
UniRef90_A0A095WZH4,down,during_vs_pre,-20.55177114838176,-2.5941142295003146,-22.055494392211365,-19.655277399153086
UniRef90_A0A095XAJ8,down,during_vs_pre,-20.58841819101873,-20.888768265747014,-1.3713567600199208,-19.51959082496488
UniRef90_A0A095XDT7,down,during_vs_pre,-19.071525210936777,-2.7198514436560974,-3.2775174698421163,-19.425962332177928
UniRef90_A0A095XDV8,down,during_vs_pre,-4.699622363238762,-2.264136838838236,-2.095077475951411,-19.72808880169438
UniRef90_A0A095XEE2,down,during_vs_pre,-3.273148912272202,-1.5828030976879348,-3.593578938384137,-18.349622473755606
UniRef90_A0A095XEF2,down,during_vs_pre,-22.943104938436623,-1.767727260714997,-22.074813182688324,-19.26268596512708
UniRef90_A0A095XEH4,down,during_vs_pre,-23.3014683315253,-19.222600750991045,-2.596615837066297,-20.61428957430329
UniRef90_A0A095XEN4,down,during_vs_pre,-4.478916279677218,-3.776640151898337,-3.0089169934642213,-19.54276172780506
UniRef90_A0A095XEP4,down,during_vs_pre,-20.025108463782924,-3.2685552048884907,-3.338059688264397,-20.046989409559444
UniRef90_A0A095XF27,down,during_vs_pre,-22.983622295072838,-20.230665882191246,-3.2982021623038125,-3.2314082298364273
