feature,direction,phase_compared,C001,C002,C003,C004
UniRef90_A0A076NKP2,down,post_vs_pre,-21.216332013789156,-17.85199095034447,-21.09733325744098,-2.3175694517863503
UniRef90_A0A076NKX2,down,post_vs_pre,-1.3250113413264382,-18.443087885520228,-20.829008570045747,-1.5421260580332983
UniRef90_A0A076NL21,down,post_vs_pre,-2.4209773421385963,-17.611560385275826,-19.543749932039297,-1.2969202967986069
UniRef90_A0A076NME6,down,post_vs_pre,-1.6874338606553925,-19.095435657061614,-1.9805409142438501,-2.7076041356802034
UniRef90_A0A076NMW5,down,post_vs_pre,-3.2304145988170796,-1.4453400734655673,-2.206351788756741,-1.0652178716967564
UniRef90_A0A076NNG6,down,post_vs_pre,-1.460690623799849,-1.2372970661935105,-1.9975250409760434,-1.0392125040346178
UniRef90_A0A076NNK7,down,post_vs_pre,-2.752373991178022,-18.367639415394542,-3.0288218923930574,-1.8496099843950746
UniRef90_A0A076NQA5,down,post_vs_pre,-18.19823079556328,-18.809781733448037,-21.6027400889469,-3.342850020450224
UniRef90_A0A076NRQ3,down,post_vs_pre,-1.5626986673586711,-1.4112613439079589,-22.329730837045435,-1.3187107676631353
UniRef90_A0A076NTC6,down,post_vs_pre,-17.774403157909887,-16.971431288078747,-19.54549808718433,-1.7891804206051896
UniRef90_A0A077HGU4,down,post_vs_pre,-1.151420869491045,-1.1499869929303639,-1.6870499299434303,-1.4814854396980752
UniRef90_A0A077HHF3,down,post_vs_pre,-1.7905769956133606,-17.184523482994997,-1.4518193233162007,-2.4705949009684
UniRef90_A0A077HIP3,down,post_vs_pre,-1.3822277798770903,-17.67880642798067,-2.475227995242192,-1.498800678306047
UniRef90_A0A077HIR9,down,post_vs_pre,-1.0065555462291491,-18.940775263692185,-1.4196092977212418,-2.3483550169989287
UniRef90_A0A077HIU4,down,post_vs_pre,-1.6695168407161327,-19.34494818112433,-1.1073793912212149,-1.225344449538271
UniRef90_A0A077HJ55,down,post_vs_pre,-1.1298430522901013,-18.914654716831347,-1.1365994676052207,-1.6801782628380149
UniRef90_A0A077HJ57,down,post_vs_pre,-1.0462440717163797,-18.990095651846087,-1.2038286769966215,-1.487917658417382
UniRef90_A0A077HJJ0,down,post_vs_pre,-1.1478355563108489,-18.221766465263734,-1.5419533061737762,-1.1685915244403067
UniRef90_A0A077HJP7,down,post_vs_pre,-1.561701165813995,-18.5123353885642,-1.1501925505760953,-1.5601101030060376
UniRef90_A0A077HK59,down,post_vs_pre,-1.5733195811254534,-19.28681266887406,-1.1572279981610063,-1.5239343743778848
UniRef90_A0A077HK94,down,post_vs_pre,-1.1321800418425867,-17.82947293367041,-1.0412140600493476,-1.206515577366643
UniRef90_A0A077HKE1,down,post_vs_pre,-1.2259860522034443,-18.116966611875103,-2.0349197069526523,-3.0188950896588205
UniRef90_A0A077HLE6,down,post_vs_pre,-1.142524739486926,-17.926525722215388,-1.1041339835988757,-1.903612154931189
UniRef90_A0A077HLW9,down,post_vs_pre,-1.5015624902656053,-17.963496325735324,-1.2954565120323178,-1.260176004480699
UniRef90_A0A077HLX4,down,post_vs_pre,-1.3960730440620168,-20.57605094519169,-1.0011279914011633,-1.6050372894277967
UniRef90_A0A077HLZ9,down,post_vs_pre,-1.2944857396965936,-18.743809927578717,-2.3601618145916716,-1.5830998639147245
UniRef90_A0A077HM62,down,post_vs_pre,-1.616222911681526,-18.528984371004757,-1.774410743056375,-1.3118067153926611
UniRef90_A0A077HMF1,down,post_vs_pre,-1.1391459219011046,-18.133160612640204,-1.7403141115059935,-1.2050332163000645
UniRef90_A0A077HNR5,down,post_vs_pre,-1.6083881725103708,-18.225215283660543,-1.4463001945335805,-1.3006920689687758
UniRef90_A0A077HNZ8,down,post_vs_pre,-1.2271197444249933,-19.398070750436915,-2.074334946134171,-2.6165535560762105
UniRef90_A0A077HQL0,down,post_vs_pre,-1.1648439038028264,-18.939570606049443,-1.1496173917383348,-1.532710104561262
UniRef90_A0A077HQM5,down,post_vs_pre,-1.6918831295385632,-16.489748675592747,-1.1571748620829982,-1.5922769942136639
UniRef90_A0A095XEF2,down,post_vs_pre,-2.9312229927534372,-1.0994699030532213,-1.1069375205965897,-19.26268596512708
