feature,direction,phase_compared,C001,C002,C003,C004
K00001,up,during_vs_pre,22.600981136116065,23.25349680848103,25.87408309812187,21.576694233707297
K00019,up,during_vs_pre,24.122266465067803,24.667713451390195,2.880433637558083,24.999041695434453
K00035,up,during_vs_pre,22.00754643338337,23.15635763395406,2.8263337609487755,21.60383594168454
K00039,up,during_vs_pre,23.04909755954109,23.903594948713813,4.733300848841526,21.885001818042824
K00046,up,during_vs_pre,22.71597853321443,23.931568659492612,2.669107288167233,22.03510011489997
K00074,up,during_vs_pre,2.2655029243672393,25.59113928734809,2.5264456183322914,4.234213193923984
K00097,up,during_vs_pre,22.855212384808386,25.22452516112368,4.0496594075999965,23.54021827894911
K00108,up,during_vs_pre,4.311209552246938,27.595587344480705,3.091082173768371,2.417533244737753
K00121,up,during_vs_pre,22.01043488310924,25.17942778093048,3.5667558675924558,2.0628194287073156
K00126,up,during_vs_pre,22.35824956537116,23.828412053923106,4.407581176131559,21.658705291537295
K00130,up,during_vs_pre,2.036144376953989,24.28210124686616,1.391525283178401,2.0793961417934215
K00154,up,during_vs_pre,20.740078009736088,25.296667944284952,4.651502083303549,23.378691611713997
K00161,up,during_vs_pre,23.40758739873681,25.298960639173476,4.642317698639965,26.058728252896305
K00162,up,during_vs_pre,23.248843835601523,25.154626190200723,26.194221606179973,2.1857463266242076
K00164,up,during_vs_pre,21.791300033347493,24.0019966261876,4.201622103912534,2.751246816296597
K00180,up,during_vs_pre,22.053545777956025,23.667973314994406,26.26430068490852,22.80085784607875
K00208,up,during_vs_pre,1.4887750916405218,5.392757662713603,2.5471415087358094,1.3338450473554169
K00220,up,during_vs_pre,23.038545125119,24.816745161615593,5.575097293528437,22.45398871370567
K00228,up,during_vs_pre,1.2178850419799754,25.346269058512167,2.8448030103201543,1.8075379704465737
K00234,up,during_vs_pre,21.899346227183358,24.501290593096243,26.741369502698273,25.145918817027606
K00282,up,during_vs_pre,1.4844023131900788,24.750799944494286,3.583788855486913,1.9703456691083914
K00283,up,during_vs_pre,2.143840260731279,24.745195916163564,5.196522677288547,1.8684638306857118
K00303,up,during_vs_pre,22.952159841878686,25.378868423285493,28.008174431361287,1.1729745189805183
K00304,up,during_vs_pre,22.272017184254715,25.042825326941994,27.081885552565325,3.894709992486922
K00311,up,during_vs_pre,1.6467879131076493,25.202217145781425,2.2881630209466866,2.5758383615640534
K00376,up,during_vs_pre,21.84345224211951,21.704700283902966,2.2457904006619795,21.6712227158506
K00381,up,during_vs_pre,24.847173170730123,24.680016438015375,2.5565809884199244,1.6238130863507954
K00410,up,during_vs_pre,22.03141953346644,24.92474025492843,27.021429498706375,25.032731208127398
K00411,up,during_vs_pre,1.5915503974933767,25.422493265246924,2.8400535532547675,2.8359285491246498
K00433,up,during_vs_pre,5.018828083914116,26.484199261055274,3.6163107944367896,3.5325652050062764
K00450,up,during_vs_pre,23.01948977531765,24.74145891123053,3.151711610350791,21.585064769446006
K00451,up,during_vs_pre,1.746849306812615,25.58459994440464,2.5192825549718068,2.3466332365766216
K00453,up,during_vs_pre,2.335162018800468,24.313734388037368,2.9381893313410665,25.222818519130946
K00457,up,during_vs_pre,1.5555852575615878,25.62046089401091,2.0636114126563903,1.603076866460066
K00476,up,during_vs_pre,21.855440723071112,23.133296673037304,4.715442348284736,24.58429029326972
K00485,up,during_vs_pre,23.378433646858475,24.354279316338406,26.987546704197214,2.5679826495421554
K00500,up,during_vs_pre,21.08780401448559,25.32719184709081,5.666131886796765,2.1399581600501145
K00537,up,during_vs_pre,1.910749646167498,4.050370315181662,3.238100509149222,1.2825327926750891
K00570,up,during_vs_pre,4.33871793110773,25.942070962421532,4.738613777927565,23.7537532448495
K00573,up,during_vs_pre,3.059250169708254,5.924092407984883,3.2671647112510738,1.435449227200662
K00575,up,during_vs_pre,2.159374259605052,26.783657334788472,3.227613779534548,26.116409227641967
K00595,up,during_vs_pre,21.525281355771245,2.218313277350567,4.211846198514692,3.9189939752201717
K00643,up,during_vs_pre,21.531743630968048,26.08726217412498,4.945647636986064,1.9686996071140552
K00647,up,during_vs_pre,22.2437257481374,24.817848051815353,3.215011474582711,24.98814347097265
K00658,up,during_vs_pre,1.7247919268234313,25.644971609426257,2.8396547748201244,1.9025700803069603
K00666,up,during_vs_pre,25.099360051377133,26.495736370176466,3.888203339462824,1.351671128979635
K00673,up,during_vs_pre,22.660523255980124,24.845018161059887,5.881439173681695,23.75212549386028
K00675,up,during_vs_pre,21.82520298300044,25.337251294780476,4.312082428674016,3.00524709916353
K00681,up,during_vs_pre,23.444377094918966,26.308519625575418,3.6974235882843334,25.088776069432207
K00694,up,during_vs_pre,21.98161779730744,25.071658059146515,27.431698989980614,2.2508279580138764
K00748,up,during_vs_pre,1.3643234004067406,4.429666598507274,3.0384372834885878,3.5750968737912676
K00767,up,during_vs_pre,1.3034819889999507,24.940481228217806,2.968161094281278,1.2818419028926402
K00769,up,during_vs_pre,22.490265029118156,23.817225998522126,4.1397128219297725,3.125376764327413
K00772,up,during_vs_pre,2.0546521953241035,5.475236687803613,3.403045360786861,2.990261426278191
K00799,up,during_vs_pre,2.5257103594381882,29.178017276928454,3.763456173333733,5.020506682202984
K00808,up,during_vs_pre,2.202502970459085,23.600084970594732,26.4122133992034,21.863686827313604
K00809,up,during_vs_pre,22.370274206864238,24.267009019951978,4.050795065059179,1.9785287704199401
K00822,up,during_vs_pre,1.2267672865826875,25.294317256322884,2.4384473622029805,23.80142033813752
K00824,up,during_vs_pre,2.65387053990228,4.335599266554625,3.5300808133144903,1.541229853681685
