feature,direction,phase_compared,C001,C002,C003,C004
K00127,down,post_vs_pre,-20.47166297757268,-20.611953843674215,-24.88484161631881,-19.588570080719435
K00175,down,post_vs_pre,-1.5020492614164247,-23.110469237921233,-2.4270202019437583,-1.7334175585759555
K00351,down,post_vs_pre,-20.396063632830696,-21.357869648169704,-24.074526604828197,-22.714997494057904
K00355,down,post_vs_pre,-23.69988005743201,-22.45111072550619,-22.557119854182154,-24.120082988014367
K00651,down,post_vs_pre,-23.75427163037254,-21.35541616163963,-21.454110325716314,-1.920593440890093
K00703,down,post_vs_pre,-23.3481382534357,-21.83926723252873,-3.10960364404723,-1.3659891130231268
K00797,down,post_vs_pre,-21.906734411620373,-23.459218761376007,-24.95443943268455,-24.164886651356685
K00903,down,post_vs_pre,-21.80671992065917,-22.018680934552886,-22.352985157657173,-21.706127660706812
K01200,down,post_vs_pre,-23.13353708647162,-21.701495851765173,-24.283769241413058,-2.647347186055394
K01725,down,post_vs_pre,-19.11663417017484,-20.319116030929536,-23.744285937594356,-23.689150254094255
K01998,down,post_vs_pre,-24.062691648442204,-20.812189581592765,-26.878474465688203,-24.649928423490323
K02387,down,post_vs_pre,-22.78322121134191,-20.350497175143676,-4.175341920600779,-19.51845530320709
K02388,down,post_vs_pre,-22.204288842769415,-21.493668986689045,-4.8796670649841465,-20.9927233239406
K02408,down,post_vs_pre,-23.23000709173773,-21.444335343380054,-3.7862361877708226,-22.109709842380934
K02420,down,post_vs_pre,-21.291465076499424,-19.693933261259684,-3.819584633468561,-21.223722658765265
K02431,down,post_vs_pre,-20.4918279840962,-22.230442197897748,-20.94927744143656,-22.085104036754625
K02457,down,post_vs_pre,-22.583642216567945,-19.69676551577475,-1.7258963270736043,-20.299201682132125
K02517,down,post_vs_pre,-23.7181963983506,-20.562037102971125,-1.0898388105969077,-20.58438482912347
K02686,down,post_vs_pre,-23.613902259024222,-20.904604978743727,-24.58574062699013,-22.75447563622917
K02794,down,post_vs_pre,-24.098482223973807,-20.836149774915715,-20.524971106636567,-2.1322075105029907
K02806,down,post_vs_pre,-21.149585676090325,-21.83907496809139,-24.805280122661443,-22.01138504065455
K03113,down,post_vs_pre,-21.2819343648717,-19.894254791358115,-23.869167294100993,-23.813546456314743
K03198,down,post_vs_pre,-22.287186582956025,-20.329993006330636,-23.594533695943575,-20.351899332491104
K03281,down,post_vs_pre,-2.859817170356563,-23.955660755499682,-3.4017788210650908,-1.7152170056470535
K03411,down,post_vs_pre,-22.298930594801035,-21.752598836588714,-24.992127652825587,-21.58035656934404
K03534,down,post_vs_pre,-22.175532393808638,-21.44682736429928,-20.41045514716411,-20.98180393420871
K03600,down,post_vs_pre,-21.81569795348091,-20.850260866917562,-1.686916178408594,-19.95105842225248
K03618,down,post_vs_pre,-20.855339708602482,-21.087965833160386,-23.99650322804046,-19.72473088676017
K03717,down,post_vs_pre,-22.124099745002475,-21.97483175552244,-24.81507539581762,-21.224115346225666
K03734,down,post_vs_pre,-24.690806142872734,-22.24494049418369,-3.4218505875409146,-1.5529213892985203
K03739,down,post_vs_pre,-23.929466203748312,-21.714271095354395,-2.2569411325357476,-26.012342068529467
K03742,down,post_vs_pre,-24.497021610632014,-20.58095501829822,-1.422542097414269,-2.30199740854651
K03785,down,post_vs_pre,-20.60738540359165,-22.50931585287643,-23.201624160318527,-2.123491331614655
K05592,down,post_vs_pre,-23.545929101554883,-21.933046934697227,-1.5719991041948298,-1.0124659334804877
K05595,down,post_vs_pre,-24.039117043909183,-23.73311710056773,-2.4727245729533474,-23.135521579519487
K06136,down,post_vs_pre,-23.2102572890917,-21.296029503597765,-25.429113907779268,-20.21220939517879
K06142,down,post_vs_pre,-25.729969974478898,-22.4542021347379,-1.8193568071339072,-2.7608855741871134
K06193,down,post_vs_pre,-24.629983450403138,-21.463054503173122,-1.459595135677308,-25.168761356288204
K06209,down,post_vs_pre,-22.94364869372844,-20.754149987965413,-1.642989751785562,-4.157375562501181
K06940,down,post_vs_pre,-24.385112552712076,-21.751237161516052,-2.140170089820015,-24.68764897194909
K06952,down,post_vs_pre,-22.820049016821578,-21.152105522675654,-3.50481716647154,-21.74262892820556
K06979,down,post_vs_pre,-22.516082402278347,-21.362371763388687,-21.727280528546032,-2.644289101550367
K07010,down,post_vs_pre,-24.79930697049964,-22.366939624214833,-3.653439175431997,-2.0032977451591645
K07141,down,post_vs_pre,-22.775465540958137,-21.790756677973235,-1.5873824664406635,-3.2211655649208226
K07147,down,post_vs_pre,-22.117044318592633,-22.13826419527367,-23.96170164957697,-23.81234560275349
