feature,direction,phase_compared,C001,C002,C003,C004
K00242,up,during_vs_pre,21.241880184793025,21.13417498087658,25.00534386761981,21.999689365892827
K00799,up,during_vs_pre,4.057642181957943,20.77499049680639,7.557252777498478,1.062865012584912
K01055,up,during_vs_pre,27.255486219900693,20.648867498345815,25.15472082031554,21.596529649810837
K02406,up,during_vs_pre,22.840112699649893,21.780066725318786,25.863817602981534,21.239201680397382
K03411,up,during_vs_pre,22.819542370509215,19.999896806718958,23.964727324224828,21.07711625763839
K03559,up,during_vs_pre,23.458501361687016,20.22164021885084,27.13955950020634,23.93016585855337
K03824,up,during_vs_pre,24.099917848635457,20.784407202125347,4.825765549019699,22.206218177640643
K06075,up,during_vs_pre,22.638331393089057,19.71582293813719,25.545988402589096,21.211872257437204
K06190,up,during_vs_pre,21.62642692657372,20.861360324362803,25.855062476583658,22.640859425643086
K06893,up,during_vs_pre,21.77219333571022,20.451664901689465,25.116122656201924,21.780767621503767
K06953,up,during_vs_pre,21.00610894232418,21.117308912934238,24.72675371988035,22.20708255755477
K07165,up,during_vs_pre,23.06118147229639,21.655477004712676,27.64483547739259,23.923648202548485
K07302,up,during_vs_pre,20.858176069568895,19.957874310304454,26.62481925396749,19.62943311037592
K07336,up,during_vs_pre,2.014135068129231,21.627607354634087,25.475014990723455,21.322126755567115
K07492,up,during_vs_pre,24.357165570772477,20.048865985021404,5.278543892786942,22.946646992627052
K08738,up,during_vs_pre,23.59582395111334,20.590169441478714,27.294754113629825,2.139677398507635
K09474,up,during_vs_pre,21.17478125269157,20.97683748352737,25.510908676086892,23.248807651263242
K09989,up,during_vs_pre,22.35314224770185,21.25793391127088,24.734074646522913,20.505913292145838
K10617,up,during_vs_pre,1.7570629968210014,20.713432665779067,3.0372118998654654,1.1884957537297014
K11209,up,during_vs_pre,22.06042316589636,20.504362216526502,26.73925000587645,22.503233488235672
K11741,up,during_vs_pre,3.2668295526528053,20.41921029329511,23.613254066449432,19.998657911267696
K11893,up,during_vs_pre,23.072788962382447,21.146750756173333,24.054332468231316,22.123526264772508
K13558,up,during_vs_pre,21.36300486244125,22.598336748161987,23.84046321466031,21.96847660972843
K13565,up,during_vs_pre,25.391000220749994,20.594094024623423,24.12195041467796,22.127231447110216
K15012,up,during_vs_pre,22.282165104356253,20.66336091676811,25.675473967606084,22.664738710496792
K16114,up,during_vs_pre,23.33494551236153,21.432931787871947,4.56920022529227,21.6619698495059
K18281,up,during_vs_pre,1.7451472751486028,22.38491520110835,21.066217324676845,1.39599519835973
K21330,up,during_vs_pre,24.227041891989167,19.848199602532894,1.623909870519857,2.2339250678100457
K21788,up,during_vs_pre,22.611904404663413,21.829641838226795,2.838727823201391,1.503689799774724
K22325,up,during_vs_pre,3.2379812618995403,21.13266978953308,24.614813114245926,24.201992931211777
K23738,up,during_vs_pre,24.300123989963538,23.36860330556465,24.566997998441853,1.2980165164968664
