feature,direction,phase_compared,C001,C002,C003,C004
K00230,down,during_vs_pre,-20.558584824347275,-1.292649959871755,-22.192517876832756,-3.7138690487292387
K00635,down,during_vs_pre,-1.3120522509754269,-20.886361194508535,-21.58905659960156,-2.0944025027502726
K02014,up,during_vs_pre,23.036190552581346,1.5547524369810832,1.4050309927878328,2.448697813457248
K02829,down,during_vs_pre,-3.0390409864293724,-1.0933634233869138,-23.533506821944542,-3.254471426630379
K03785,down,during_vs_pre,-2.8853769092172143,-2.295681982869685,-23.04704595320891,-2.655526784027036
K03830,up,during_vs_pre,22.25147576493568,2.8876280427568877,23.5019951896393,2.460708672376344
K06377,down,during_vs_pre,-1.135912914112999,-24.58467833828936,-21.801137721269328,-2.3651285630157415
K07069,down,during_vs_pre,-3.813935845955494,-3.618909453997017,-23.137998363252517,-2.7937897303061385
K07075,down,during_vs_pre,-20.538864317166208,-24.018075039450594,-21.4948573744763,-4.208483524014994
K07441,down,during_vs_pre,-1.2238480600782022,-1.0118306199335956,-22.851684173958706,-1.2394740608385901
K07739,down,during_vs_pre,-22.12252080900967,-22.90832340895207,-20.869993134330638,-1.7838742519434303
K08987,up,during_vs_pre,21.637170989784195,24.060851668708853,4.752352459630547,1.2693373148015437
K09281,down,during_vs_pre,-3.4041593572382918,-1.8435907357669328,-23.491284825087096,-2.823976295643178
K09767,down,during_vs_pre,-1.6970524951688022,-1.431214856755037,-1.7581570820990478,-2.7785688380955387
K09771,down,during_vs_pre,-3.864057604410319,-1.1044382118402052,-23.904683953738587,-2.516276203004634
K11631,down,during_vs_pre,-1.0456818527692344,-1.698075361820501,-23.360733824559148,-2.5851846622842425
K11632,down,during_vs_pre,-3.217422111672435,-1.5850822555386304,-23.22188498328646,-2.307832193309491
K12706,down,during_vs_pre,-1.1204816530699737,-2.5223008090496584,-3.1331473414620916,-4.47484332016658
K13280,down,during_vs_pre,-1.5943620280260853,-1.8305204899434504,-24.148693354745838,-3.170429151223984
K13553,down,during_vs_pre,-5.891967956349154,-19.941490411725187,-1.0574059847636554,-2.4230943381390433
K14166,down,during_vs_pre,-3.4469600479781923,-2.376620999438661,-23.410725950366167,-3.561568050809425
K14478,down,during_vs_pre,-2.044826488121352,-3.2247225949625165,-21.49480855590509,-4.309157841950943
K15937,down,during_vs_pre,-19.037249328805515,-22.769088222198523,-20.036577435502508,-23.4628212161176
K15952,up,during_vs_pre,2.618721372072879,20.747144817899606,22.518837777493548,2.9264083254507667
K15990,down,during_vs_pre,-21.37763119154939,-1.278633905717107,-20.00296651509238,-3.9759739872880266
K15998,down,during_vs_pre,-24.860058961899334,-20.31274228176094,-20.296216822823272,-23.943210396476548
K16450,down,during_vs_pre,-1.7909849977931727,-20.697358734962354,-21.78497917118901,-26.106696600989277
K18009,down,during_vs_pre,-2.634580553049276,-3.6508336531675285,-22.931568749661043,-3.080957163415974
K18788,down,during_vs_pre,-1.2936055996289009,-2.4402195335772388,-1.0428849384702734,-1.7301026793844427
K18938,down,during_vs_pre,-2.3309979596162655,-3.102115981716816,-25.404946410464163,-2.7035976375204394
K19858,down,during_vs_pre,-1.7225308657901692,-1.7481153268836873,-21.280538014036324,-1.097575303766257
K20172,down,during_vs_pre,-20.869390767228232,-19.557620131670525,-20.293749656375407,-3.419322905398622
K20376,down,during_vs_pre,-3.041117529624229,-1.9673588490456897,-22.66853437989462,-2.5358149920945383
K20569,down,during_vs_pre,-3.3159712967648898,-22.233761162595897,-2.043061382875828,-3.7599036863834567
K20573,down,during_vs_pre,-1.270936595718972,-1.520670597006562,-1.3409806689830406,-3.867389792861338
K20939,down,during_vs_pre,-1.6387717255361731,-2.042418005385868,-21.685159271866535,-25.085883121996794
K21180,down,during_vs_pre,-3.466969194522763,-2.907399415001545,-21.846924125901555,-1.655860350602817
K21223,down,during_vs_pre,-20.20116152448258,-21.707307871014233,-21.86785824093114,-2.369950501558742
K21260,down,during_vs_pre,-22.089065395694192,-21.695816055612628,-21.476301719753728,-2.1543874948555546
K21720,down,during_vs_pre,-3.0717090035358474,-1.6563625293537236,-22.688641825547386,-2.0783594931262694
K22798,down,during_vs_pre,-21.78996115471933,-21.191253439947825,-23.567508769614285,-1.8313563759422462
K23426,down,during_vs_pre,-3.447505456078933,-2.770697129100633,-1.7023020174927344,-2.3294709200172248
K23632,down,during_vs_pre,-24.479511942289243,-21.020276230367596,-21.94342233279047,-22.111154247144057
K23943,down,during_vs_pre,-3.170579556283331,-1.3605896500063743,-23.632008398441805,-2.5387016520694003
K24292,down,during_vs_pre,-3.114103258584696,-20.2641535404899,-23.984227993354505,-2.967316343723504
K25194,down,during_vs_pre,-24.16847704743198,-23.923037596866827,-21.172453350123785,-23.951522562768982
