feature,direction,phase_compared,C001,C002,C003,C004
K00278,down,post_vs_pre,-22.208204485288565,-2.330677075066259,-1.3581236523795226,-3.3326155459811577
K00294,down,post_vs_pre,-3.9649952631149934,-25.424203747004324,-1.4267996288603675,-3.2192736674197224
K00359,down,post_vs_pre,-4.595073063922428,-24.613392665506815,-1.8969785781786141,-4.736127115863218
K00363,down,post_vs_pre,-4.427226076136771,-1.6709142745545542,-1.0249223493640918,-5.484852153422675
K00380,down,post_vs_pre,-4.845676841984899,-24.963688563053154,-1.2616014995729188,-5.187794692306148
K00381,down,post_vs_pre,-4.556584678193909,-2.824932468800244,-1.0204660837111086,-3.1937668977050553
K00446,down,post_vs_pre,-2.8815481665429177,-1.4840502823174404,-20.67446671821037,-4.683613493523442
K00841,down,post_vs_pre,-3.9462777468720303,-1.18567057985292,-1.2599549330791295,-4.4676881717753725
K01261,down,post_vs_pre,-4.086167293125062,-2.758880643201321,-1.488634445802598,-5.3179900541025535
K01737,down,post_vs_pre,-4.926769390871069,-1.7433855704670589,-1.1394317558808043,-4.623532014317142
K02066,down,post_vs_pre,-21.974364988654887,-20.698404831429333,-1.093500233086021,-1.625993619865678
K02076,down,post_vs_pre,-4.11909819640865,-1.1281382983410622,-2.6162797535117557,-5.527312714867979
K02372,down,post_vs_pre,-5.1263148471130116,-1.0222052375384838,-1.1924047531371036,-3.701206641208299
K02510,down,post_vs_pre,-3.4899389425710257,-1.5468689139638643,-1.6642877299197099,-5.354173120252251
K02827,down,post_vs_pre,-5.493266026149909,-24.42238475412853,-23.319583695649442,-27.424275549823214
K02828,down,post_vs_pre,-7.086522585177713,-24.27734347711812,-1.1207190495124069,-6.090409948071919
K02829,down,post_vs_pre,-6.774404238758767,-4.216739206258117,-1.122362496688482,-5.664266970223807
K03095,down,post_vs_pre,-4.761518724082535,-4.633334196928298,-1.0932122358090912,-4.0323895280230495
K03113,down,post_vs_pre,-22.110878222721368,-1.3816936637026984,-1.7800312406768826,-1.3795602338636634
K03273,down,post_vs_pre,-20.500444797012282,-20.183218188748185,-21.783394619038383,-22.050039378297235
K03346,down,post_vs_pre,-4.406325625474126,-1.1748731539401382,-1.0901818838039972,-4.0664591962686325
K03380,down,post_vs_pre,-3.3086409768833134,-1.2144295566813412,-21.440369553088587,-6.4154225043747015
K03666,down,post_vs_pre,-4.306120713530428,-1.9399408933790792,-1.073347811953754,-5.972720130609123
K03824,down,post_vs_pre,-6.232515705539978,-2.854435211861212,-1.334628319454936,-3.3442441971691212
K04478,down,post_vs_pre,-4.443573689237729,-24.153961067947854,-1.624490621209347,-5.55928176177494
K04750,down,post_vs_pre,-4.331864703498915,-3.5042747227749356,-2.130679753298602,-4.13845756557546
K04940,down,post_vs_pre,-4.281864532174156,-24.76351171302213,-1.267781529698866,-5.01728478752684
K05338,down,post_vs_pre,-4.249470144959436,-4.742378795795917,-1.2785315995286815,-6.903839575191586
K05589,down,post_vs_pre,-4.036455253347745,-1.4667655721490422,-20.77689214456483,-4.121162063562154
K05822,down,post_vs_pre,-4.138730005456787,-25.091177614426666,-1.3532650698492024,-7.180492010547013
K05888,down,post_vs_pre,-21.41446898461678,-22.25263107611018,-1.2172378712755505,-3.018248216029581
K06041,down,post_vs_pre,-23.067869510071795,-22.473513113610007,-1.540713384691471,-1.014540405547196
K06904,down,post_vs_pre,-4.368715781068039,-1.057086195184951,-2.5725607820419945,-2.1342580952633345
K06924,down,post_vs_pre,-4.4354433579695245,-3.529192258776698,-1.1580467425921712,-4.972975385769795
K06979,down,post_vs_pre,-5.964023065448351,-1.9832093907582231,-1.045987790511017,-5.363814973480682
K07038,down,post_vs_pre,-4.572311670548469,-3.692263261887471,-1.8209101765358093,-4.549084906390201
K07063,down,post_vs_pre,-24.932178625184267,-1.0867063440919855,-22.13534428734968,-5.483087114407731
K07118,down,post_vs_pre,-24.0184090221697,-4.561770767384288,-3.3340592726808818,-5.149651179480725
K07248,down,post_vs_pre,-4.333670243839951,-3.622090899968689,-1.0836113438232104,-5.94604362698755
K07457,down,post_vs_pre,-6.961457656442012,-2.854140155609626,-1.2344651072459267,-5.050188003714066
K07494,down,post_vs_pre,-25.882926363444767,-21.669486460659556,-1.5414407407317166,-3.458658958904165
K07586,down,post_vs_pre,-3.735329956096053,-1.0106225695465576,-1.1565190945651478,-4.459044025978259
K07590,down,post_vs_pre,-4.022475281397261,-1.251169729844632,-3.1850155459537004,-4.743567271150138
K07681,down,post_vs_pre,-4.064262322069702,-24.253496736346285,-1.2801077373404466,-27.21378008709493
K07694,down,post_vs_pre,-4.254511528357998,-3.6572623845010135,-1.3256348715963886,-5.527171840475874
K07704,down,post_vs_pre,-3.915430166709074,-2.602847216445168,-2.621284969541335,-6.505575319090265
K07705,down,post_vs_pre,-4.019465729369145,-2.438189451917861,-1.2538604659718542,-7.221164249504681
K08717,down,post_vs_pre,-4.585351056371814,-3.28555406454999,-1.3551589484908246,-4.57477580423809
K09457,down,post_vs_pre,-4.4706501558427485,-1.0835171789824913,-1.5227829683195468,-4.532083561052065
K09693,down,post_vs_pre,-3.848096759629431,-3.8909412261457486,-1.429827907856222,-5.521567338310439
K11144,down,post_vs_pre,-4.669961387671768,-1.1506044327560838,-1.1992453199163002,-4.008018411119514
K11148,down,post_vs_pre,-22.95745392382584,-19.869115351490365,-21.11133501452117,-1.8406549804944758
K11631,down,post_vs_pre,-3.8666081872617317,-3.827911834646962,-1.0141274854508362,-4.514212360893554
K11694,down,post_vs_pre,-4.887004022621076,-24.822339548199587,-1.2891951422763543,-27.382779689400476
K11695,down,post_vs_pre,-5.514676208955338,-4.333286384677326,-1.4929783391357438,-4.898052614048093
K12257,down,post_vs_pre,-5.0416743955619125,-2.484042013270161,-2.3905115459921165,-27.17866598746659
K12511,down,post_vs_pre,-23.498148449492263,-1.2050642818022592,-1.7968207041787367,-5.970969528601313
K12553,down,post_vs_pre,-4.938977863209936,-24.5461528444351,-1.329316384468681,-5.339062997342294
K12723,down,post_vs_pre,-20.53266379797346,-1.8799248630460592,-22.120929599494257,-22.049950778373443
K13553,down,post_vs_pre,-26.587628704660023,-19.941490411725187,-2.8275802773494445,-4.491692312257844
K13853,down,post_vs_pre,-4.609778957702233,-3.1618352574407487,-22.04185418527245,-6.393500982069544
K14063,down,post_vs_pre,-4.3258811744315935,-1.7016079637364567,-22.87934087514891,-5.920847144879605
K14586,down,post_vs_pre,-4.715555789428609,-1.371586826259695,-2.0246208917618906,-4.947769888680366
K15518,down,post_vs_pre,-4.89729734741953,-24.582918874647913,-1.5320348845566303,-4.921640448683158
K15573,down,post_vs_pre,-25.638944295754012,-2.0407008074946527,-1.5016439547725267,-2.4405255386655784
K15990,down,post_vs_pre,-21.37763119154939,-22.630927933339084,-20.00296651509238,-4.278204037258839
K16394,down,post_vs_pre,-4.035349642105601,-19.941203821814046,-23.683189498691334,-5.95810386790257
K16401,down,post_vs_pre,-5.246816733839189,-25.039540974643195,-1.5688196516840303,-4.575909567925112
K16448,down,post_vs_pre,-4.969121953375737,-21.90768813002835,-23.87492742578091,-3.865019192447565
K16450,down,post_vs_pre,-22.359979262690974,-20.697358734962354,-21.78497917118901,-26.106696600989277
K17068,down,post_vs_pre,-24.644848358115176,-1.3935204247159785,-2.345080566218128,-4.055776872710909
K17217,down,post_vs_pre,-5.857314542046392,-3.7867229004128453,-1.1697416759513883,-4.582460432758513
K18692,down,post_vs_pre,-5.314913507301881,-1.4892874373453884,-1.1448748480862747,-5.6339496266539735
K18924,down,post_vs_pre,-4.299583911936622,-2.8401603637252064,-1.1259964649200886,-5.627727101185133
K18925,down,post_vs_pre,-4.1613934945760915,-2.6340820372415434,-2.097807465992455,-5.291458501207087
K18967,down,post_vs_pre,-4.317492084079005,-3.0192462366757398,-1.1154770879473197,-5.211004351823263
K19091,down,post_vs_pre,-23.278837500805764,-1.010900005579395,-1.3169151784902489,-24.585450294809206
K19851,down,post_vs_pre,-3.3538421225288952,-23.39448480634995,-2.612389913189644,-2.4955900549933263
K19854,down,post_vs_pre,-22.54375614551345,-1.1953623831779128,-1.0508833810953366,-2.8068407104546473
K19858,down,post_vs_pre,-22.855294775803884,-1.9524505109886359,-21.280538014036324,-1.2596844816031587
