feature,direction,phase_compared,C001,C002,C003,C004
K00023,up,during_vs_pre,21.449071547847975,5.2098119303565,1.1329112287955703,5.5030779203961355
K00039,up,during_vs_pre,20.650621427397684,24.777665729125427,22.42406297736876,23.843921530370114
K00076,up,during_vs_pre,1.8417920544586373,25.264108274199064,24.55117824963608,25.586439448056673
K00123,up,during_vs_pre,1.7727328166032175,25.68303767327044,23.714616664171793,25.63250484976721
K00126,up,during_vs_pre,21.679149747611987,24.983232182589003,22.98868104669383,25.260796272762708
K00154,up,during_vs_pre,23.08603852671347,26.85308227200354,1.3258314933421813,26.146156793227913
K00220,up,during_vs_pre,21.612680904079184,25.691613852982822,23.267530671797935,26.286026037031334
K00263,up,during_vs_pre,22.280679314489532,25.42857732277324,3.297998256531537,25.54201472620447
K00355,up,during_vs_pre,1.3393662766751973,24.2584295240296,22.871801296924964,26.798421555413128
K00386,up,during_vs_pre,21.464359781894217,22.714941614098127,21.368130746279377,21.43489236880634
K00410,up,during_vs_pre,21.982209914981496,25.35007903932326,23.313412711678716,25.715288462700183
K00428,up,during_vs_pre,23.10678990911473,1.9720199484147143,2.933471494034795,2.876603554137279
K00433,up,during_vs_pre,25.222770623031057,26.35780817729704,1.0001319105238,26.766627335394542
K00451,up,during_vs_pre,2.7316928041322064,3.2983637419013894,24.090349987350685,26.27047340428203
K00453,up,during_vs_pre,25.415579411561318,2.0736479557692533,1.1358813782139172,3.191920845638155
K00457,up,during_vs_pre,22.220089850072473,2.327370896945329,24.35984840115096,4.653736460428787
K00464,up,during_vs_pre,21.51554537267842,24.785424579611064,24.488865364331524,25.66094190260061
K00476,up,during_vs_pre,22.285160329240682,25.680829315774336,22.72897610662234,24.374787378079613
K00492,up,during_vs_pre,31.214604152438362,5.339344405351612,1.161011510924722,4.995812508431514
K00500,up,during_vs_pre,22.675955956472922,4.483202578636749,24.391524774531504,25.64407221132766
K00657,up,during_vs_pre,1.8459258802071232,4.530085396761847,1.4452393678440891,1.0372989012802343
K00662,up,during_vs_pre,22.164996819865816,24.349589878091926,23.323886129502455,25.379955865276077
K00663,up,during_vs_pre,20.077116909762456,24.865849210149644,23.21285153051358,23.985127506351205
K00769,up,during_vs_pre,1.2988329853018068,24.29781390773515,23.465667658413594,25.725742692517496
K00795,up,during_vs_pre,21.853176657451733,2.7303536067006426,23.904968705530496,4.830921715312948
K00799,up,during_vs_pre,1.019262590822368,4.709965190536328,1.9830468063849185,3.092309101464682
K00812,up,during_vs_pre,25.130693214206786,26.19718550971087,1.7085534580527622,2.175188024365869
K00822,up,during_vs_pre,22.79684426165176,26.13237697674964,24.165629211997352,25.910615307329625
K00830,up,during_vs_pre,1.094813086175055,25.608724438639296,1.8643016052628258,1.3350831898749562
K00955,up,during_vs_pre,22.521823495443147,26.40122016999703,25.037868767479814,26.043498176417334
K01048,up,during_vs_pre,21.91646811589536,5.21468346555231,23.561105995851943,25.659238599292234
K01053,up,during_vs_pre,24.116110794658084,5.042882365220623,24.24062110648404,25.610798138918714
K01061,up,during_vs_pre,2.751215392663763,3.096471808440911,2.0722693728672428,4.0187904283109575
K01118,up,during_vs_pre,3.8469838800531777,3.5254506109765296,2.656759259202167,4.42798207843999
K01273,up,during_vs_pre,7.023116952897458,28.26854814397859,1.5104901180004695,6.390465186851736
K01283,up,during_vs_pre,21.232483581825818,4.532679838100907,24.22888847248862,24.853792635324254
K01302,up,during_vs_pre,22.256998448403266,24.073238492753603,24.350807497402037,24.905009989875182
K01406,up,during_vs_pre,20.283537180556156,24.625066733802317,1.2941370805446717,25.286780490725548
K01449,up,during_vs_pre,21.830222337169907,25.589882922563614,25.314405290744205,26.78744245033707
K01459,up,during_vs_pre,23.63338939509914,25.820757365651488,23.550012923529707,25.248641083050117
K01470,up,during_vs_pre,25.14079190423583,26.593309633885927,2.0709340722290372,26.957114033928434
K01473,up,during_vs_pre,23.331232009913883,24.814397494299623,2.1166757703287296,25.057153592783347
K01501,up,during_vs_pre,22.74770764574509,2.688625536005045,21.278837926078342,2.2984230501904164
K01545,up,during_vs_pre,26.369460448353358,23.632008398441805,3.086493434396735,1.9110473543322797
K01555,up,during_vs_pre,20.489886170220615,2.7217615689275694,22.404238550761768,1.1420147791360749
K01560,up,during_vs_pre,21.666159409541965,3.597393674113167,21.64282161155561,4.062126000562161
K01690,up,during_vs_pre,22.418411891135303,2.951665430321276,23.340830641580403,25.854827136550636
K01697,up,during_vs_pre,23.374558628647616,25.060851627488997,23.885899928261253,25.75073731713773
K01758,up,during_vs_pre,22.5364229594397,25.01903145300672,23.871852892312237,25.647139410975242
K01790,up,during_vs_pre,2.383281037927905,4.334990777018149,2.802507457395113,2.355333962778038
K01800,up,during_vs_pre,20.936609904856134,4.0885274842027295,23.533490979426748,3.898837622126727
K01801,up,during_vs_pre,22.776446486641646,24.06770260438987,24.04905591876662,4.061144396417334
K01805,up,during_vs_pre,24.505082522890447,1.7552073311340106,23.502268408340733,1.968486333146265
K01820,up,during_vs_pre,21.484364172775976,24.425875429443987,23.398789479872548,25.532107464794983
K01843,up,during_vs_pre,22.98587893009902,25.757071861825498,24.403250351011653,25.762342370272552
K01965,up,during_vs_pre,22.457387141869557,2.543966886217547,24.00982409076429,4.180978227316953
K01995,up,during_vs_pre,3.2943415541308716,3.4931993167210336,1.7574006066865278,4.4785622665997185
K01996,up,during_vs_pre,2.284785412903699,3.361350794618851,2.1782169610803876,3.8032161697480014
K01997,up,during_vs_pre,3.0293424225823817,2.5852315940156942,2.565098415081559,3.455286082391002
K01998,up,during_vs_pre,2.1107116357522333,2.74280416536007,3.28783039935237,4.478905248036349
K01999,up,during_vs_pre,2.745419302315161,3.842777988668653,2.9408332238369073,4.025849232337575
K02014,up,during_vs_pre,3.507267290584295,5.457003533907104,3.708801102710031,9.96738258829706
K02019,up,during_vs_pre,2.1121649762794985,1.296775544951963,22.892237996089214,2.811231310899631
K02049,up,during_vs_pre,25.13090134033868,4.863244802400364,5.053665729994397,6.838391862508451
K02054,up,during_vs_pre,22.286444110334887,25.898029054010237,23.260297487886717,25.125537428158655
K02055,up,during_vs_pre,22.314332920615474,4.231998552863512,23.996442886777128,26.835950314136223
K02065,up,during_vs_pre,2.2124162682019026,4.054475770655899,24.7106365655883,27.02932473416878
K02067,up,during_vs_pre,1.115228085753246,3.486662825971398,25.011347771564918,5.498728344833146
K02116,up,during_vs_pre,4.138051860298497,25.080701945555454,3.3027397349621666,1.7547058468983905
K02182,up,during_vs_pre,23.799183482683034,25.79966514396746,24.29475724188788,25.865263968345552
K02188,up,during_vs_pre,24.70901990016249,23.71605171782804,1.1863406098230813,24.7194346234996
K02189,up,during_vs_pre,20.796735957716457,23.52894491815235,22.364862162243078,24.389711088802418
K02234,up,during_vs_pre,23.21437915713151,26.602720397306367,24.574359714838142,27.11437854774359
K02258,up,during_vs_pre,1.5765934714226368,2.6543572998211493,2.3276151242188976,2.0786122196340804
K02278,up,during_vs_pre,23.024241323327672,5.373000764339097,24.2774581786338,25.885583391221484
K02280,up,during_vs_pre,22.842032811263284,26.235464381538595,24.740025752929004,26.20802058740315
K02281,up,during_vs_pre,22.936618351098616,26.216484277486263,24.51240755073879,25.902912109344406
K02282,up,during_vs_pre,24.24242495730464,5.374231400320124,2.416610782679128,25.645137950378817
