feature,direction,phase_compared,C001,C002,C003,C004
K02798,up,post_vs_pre,22.516531310494482,24.090891052982144,1.6932616059411643,20.931569290671515
K05836,down,post_vs_pre,-21.98794434851942,-22.685743667360786,-21.833462387605906,-19.261325950889884
K11811,down,post_vs_pre,-22.735209132845455,-20.054750475703703,-1.7655127938157422,-21.043513076856524
K12747,up,post_vs_pre,21.937783159287974,23.60707225907405,20.431589758444453,21.076746673250966
K13021,down,post_vs_pre,-22.896170698672453,-22.304520945748532,-21.887761924248593,-21.439473632240425
K13322,down,post_vs_pre,-22.55262430713219,-21.365525584728307,-2.0475600964949217,-2.173661136466237
K13551,down,post_vs_pre,-2.7189295609089674,-19.9730466071086,-22.405598117251433,-21.82526769320748
K13564,down,post_vs_pre,-23.385738012490357,-22.400595183035612,-3.014396553489376,-21.399752689823053
K15573,down,post_vs_pre,-22.169132593556796,-23.14121963561335,-20.070559051134598,-21.431147126553142
K17421,up,post_vs_pre,22.54562683553306,21.38916338646541,19.79037342311221,19.837383090299713
K22947,up,post_vs_pre,21.774293089036806,21.82026350843535,19.998841518479377,22.328668993067303
K23891,down,post_vs_pre,-22.391000450269637,-21.020479714947246,-2.653618321325678,-24.719347578246463
K25015,up,post_vs_pre,21.399318088298077,6.614435501083343,2.1681981005501383,20.51261541630531
