feature,direction,phase_compared,C001,C002,C003,C004
K00095,up,during_vs_pre,5.539883267920576,1.8687953143388623,1.3169818390437187,2.3076891826808996
K00135,down,during_vs_pre,-21.543575471929945,-22.665978547476076,-23.105319809535114,-24.87714510803347
K01958,down,during_vs_pre,-21.872913180785027,-20.687596382838986,-21.865519204589567,-23.46314562003457
K12511,down,during_vs_pre,-1.0013531485406746,-22.52548026573509,-20.5912200855504,-24.373753549918405
K15857,down,during_vs_pre,-2.17381886020741,-20.817456036773542,-2.179043259171199,-1.3347326467929197
K15937,down,during_vs_pre,-21.263675529334826,-2.0005840526013,-24.228835885601026,-21.46278831415904
K15953,down,during_vs_pre,-22.10428040839249,-21.226684809585397,-22.975210717472528,-21.12712678154824
K18031,down,during_vs_pre,-20.091328198844437,-20.28977838672342,-22.38908432894721,-21.79380212651447
K19149,down,during_vs_pre,-1.0704261093131706,-20.831827554741487,-24.204106989274393,-24.253665040941733
K19859,down,during_vs_pre,-1.3369012879351037,-20.407553731313754,-20.091586468402866,-21.47096778889013
K22273,down,during_vs_pre,-22.704988474656403,-21.770372866688575,-1.3994329869202744,-1.048533177117137
K23806,down,during_vs_pre,-21.54642020278415,-24.342447892913107,-20.444992947729506,-21.98821024360256
K23943,down,during_vs_pre,-23.10243918784403,-25.365730867441222,-25.71532468889797,-1.9297155387289409
