feature,direction,phase_compared,C001,C002,C003,C004
K01760,down,post_vs_pre,-2.2782063043794714,-22.037984230895134,-23.674067203621355,-1.0350375689949918
K02117,down,post_vs_pre,-22.29619730764809,-24.47213532201851,-26.130022143320442,-1.8499012342406196
K02533,down,post_vs_pre,-20.871924032652498,-22.282009521915274,-2.34875312646397,-2.3829014720482853
K03154,down,post_vs_pre,-23.001494271071245,-1.925226214582422,-2.7348186529112435,-2.3297658162931927
K03608,down,post_vs_pre,-20.27287236105673,-1.2209213460116373,-1.4399174218535478,-2.646141633885488
K07002,down,post_vs_pre,-21.01821716137812,-22.439912956538958,-1.1635597737261134,-1.211853693359735
K07102,down,post_vs_pre,-19.978782600246397,-22.761364221553773,-4.452796691177859,-2.6768964637670907
K07397,down,post_vs_pre,-20.87407756973525,-1.1306450534692023,-1.0211190046667817,-3.145917951443486
K12719,down,post_vs_pre,-22.051157484603458,-1.4561006771480256,-2.9418692941087925,-2.2480907495349043
K13332,down,post_vs_pre,-22.448315219362478,-24.342800521747773,-21.34042586986708,-2.3577726004959483
K13771,down,post_vs_pre,-21.489183372948848,-20.254959007961833,-2.7794841323770947,-2.264017226995921
K13895,down,post_vs_pre,-19.980085174243943,-21.914918291766647,-22.927529566204147,-2.971957681093475
K15872,down,post_vs_pre,-20.770830282459126,-1.7837650886192504,-22.761310108998426,-1.0081120634370593
K16407,down,post_vs_pre,-2.1142251148485167,-19.671936639636534,-25.611540302438865,-3.8676655160438114
K18114,down,post_vs_pre,-3.7484472722106235,-1.3655658806574444,-4.831693226487397,-2.8516121534385293
K18563,down,post_vs_pre,-21.483667371342637,-20.234873161744414,-3.588234062709108,-2.039626104552294
K19149,down,post_vs_pre,-1.050160156077607,-20.831827554741487,-3.225790577537369,-24.253665040941733
K19153,down,post_vs_pre,-19.847001764809153,-25.132236429300757,-22.575217226918145,-23.012283245850412
K20145,down,post_vs_pre,-19.761663224467885,-21.490881390769093,-2.8168909392487995,-2.183566650935862
K20378,down,post_vs_pre,-21.242083780604347,-3.0093094631578876,-4.48000953936986,-1.795550769502293
K21130,down,post_vs_pre,-20.445262440158956,-1.0547559705531515,-21.356903078614803,-3.31373909629091
K22785,down,post_vs_pre,-19.324584179132614,-20.92240316987709,-2.548243625724929,-2.7489825497443743
K23181,down,post_vs_pre,-21.356688197409394,-23.104738813851736,-24.834532950857124,-1.0703224183594384
K23806,down,post_vs_pre,-2.53350927879882,-24.342447892913107,-20.444992947729506,-21.98821024360256
K25196,down,post_vs_pre,-1.419519910609464,-22.137222049291093,-20.92027215868548,-1.1197980180183917
