feature,direction,phase_compared,C001,C002,C003,C004
K00095,up,during_vs_pre,5.821523690201387,2.0496293739613787,1.5845008400000287,5.458692580666692
K00492,up,during_vs_pre,7.459055492305419,1.8998337179150142,21.281783473164253,28.144589414097805
K00798,up,during_vs_pre,4.223928429957816,22.78880334891935,20.772536079223816,7.70675258141284
K01686,up,during_vs_pre,3.156900263379395,20.728416302409066,20.985306212338507,27.028815918186496
K02773,up,during_vs_pre,2.4678227744490555,3.3940046357910165,2.0170654783237993,7.613222891874013
K02783,up,during_vs_pre,3.5067975811470795,23.194760911563584,1.2780005096331128,27.010429216558038
K03313,up,during_vs_pre,3.2837248158540726,1.8372611706521254,20.87075827979801,28.178812781147315
K03406,up,during_vs_pre,8.70232971567213,2.040979903537688,20.475263397319242,30.656774614411077
K06008,up,during_vs_pre,27.473521260185876,23.040586552468607,19.980085174243943,27.253849188755556
K07165,up,during_vs_pre,31.469277655630332,3.0853480007792715,20.481485108393226,30.505628012390243
K08973,up,during_vs_pre,8.512866705798068,21.877738334669647,19.98182785274292,27.223609007956874
K09882,up,during_vs_pre,7.570961779173,20.694003284960182,20.24922111181455,27.29576365425614
K16927,up,during_vs_pre,3.084601735436123,23.782098086838044,22.147092172714256,26.337731915657788
K16965,up,during_vs_pre,25.904992746112924,21.36527638087451,20.334128133706884,25.02412915211495
K18929,up,during_vs_pre,3.2445558428834165,1.333239331853634,20.05801419068168,27.02110645432224
K19653,up,during_vs_pre,5.915990128649992,3.086867646075993,21.276170420440376,27.92289767093886
K19699,up,during_vs_pre,1.503915422541401,20.632186726708618,20.53924307644746,23.74588836872837
K20143,up,during_vs_pre,5.937357711106106,1.5795714435612904,2.585493764524256,10.07481218593208
K20707,up,during_vs_pre,2.4400529688204253,1.9008601533044964,1.43436834325498,7.873788764596655
K21837,up,during_vs_pre,28.225142069986386,22.994009981022376,20.47407526132392,26.980044010696346
K22736,up,during_vs_pre,4.28379198312814,3.02439231418771,1.3357321980807755,28.123031045292517
K23517,up,during_vs_pre,3.2734500289501467,22.202665806656984,21.207112652490277,27.18839196268697
