feature,direction,phase_compared,C001,C002,C003,C004
K02007,up,post_vs_pre,1.610022203633841,20.78596404502785,1.0766451144109392,8.23138048698079
K02783,up,post_vs_pre,1.272689948468992,19.69206092277334,3.114659317970249,27.18192006037529
K03338,up,post_vs_pre,1.5542858179203531,20.387674837344072,22.389408235919138,28.972909127588377
K03611,up,post_vs_pre,1.286150767524052,20.312446859637852,22.37933314887,28.884990874686043
K03969,up,post_vs_pre,1.2171967863583364,20.51813413537073,23.001001680431628,8.067325965081224
K09820,up,post_vs_pre,1.076491266373269,20.574286466197076,21.666441171017187,28.743173179754987
K17315,up,post_vs_pre,1.4616215740453027,21.05858612377432,22.400126081798685,29.12512703217163
K21929,up,post_vs_pre,1.013246919277576,20.11290566487995,1.8085063044572889,28.97060942645835
K23349,up,post_vs_pre,1.1123247741074027,20.351396150735205,2.498221941137369,6.696112028244787
K24583,up,post_vs_pre,1.9265423015856442,20.582088982954385,21.020231007674266,6.322832215271572
