feature,direction,phase_compared,C001,C002,C003,C004
K00004,down,during_vs_pre,-3.165049989438093,-29.42942453215106,-23.4280267857143,-2.7374650505270406
K00500,up,during_vs_pre,21.004223895919463,20.827337276500664,21.018013357404215,21.197426090082867
K01273,up,during_vs_pre,23.24231599017951,4.611776209746866,20.248873795546814,3.3795166169969955
K02421,up,during_vs_pre,21.81201940493942,21.79507137105283,21.027088640579972,1.2058316052538667
K02557,up,during_vs_pre,22.031789696785978,21.339085025108975,20.334291837466672,1.4524216349864076
K03297,down,during_vs_pre,-1.3288988129121457,-8.458501809859602,-1.8789441667603006,-2.740391234259393
K05915,up,during_vs_pre,23.455155740961104,23.02988722519476,20.036912750716017,2.8197333997163914
K07165,up,during_vs_pre,24.516221518639743,26.266991993961312,21.12370022699124,4.0125995310240805
K07238,down,during_vs_pre,-1.1215393364679143,-8.370072675992912,-3.53937233620399,-3.5027505192504638
K07274,up,during_vs_pre,21.46131506836976,21.711459028785022,20.652504525972635,1.3989619751978173
K07486,down,during_vs_pre,-2.4698369239077946,-2.6498396469669396,-1.8829255933180156,-2.5950414483147406
K09160,up,during_vs_pre,22.01135660190936,21.543992316342404,19.872676383077156,22.5402834424672
K09774,up,during_vs_pre,21.75942863904751,2.9756763360024028,20.1963463800903,1.4111776205969666
K09794,up,during_vs_pre,22.07414571030293,3.046913992915892,20.89980754721315,1.255958891974511
K09815,down,during_vs_pre,-1.9359283717901483,-26.964375827189542,-24.240652644750853,-4.214031067120429
K13561,up,during_vs_pre,20.883977437190726,21.028910352403315,21.247280279031596,2.650398168962873
K18301,up,during_vs_pre,20.822871869272795,22.801144103869923,19.97302324345968,1.6579354161180502
K19299,down,during_vs_pre,-22.357565159133554,-19.96131732596982,-22.979095499772274,-20.529680597888355
K20531,up,during_vs_pre,21.26919460986097,20.8788614284055,21.045403064901468,22.125561351355085
K20574,up,during_vs_pre,22.731412470017652,23.162148349936658,21.240163020344763,23.71031868562801
K20835,down,during_vs_pre,-1.3999329679898014,-21.87955919472346,-1.8066358252098365,-1.4351621831417762
K21352,down,during_vs_pre,-1.382255686101498,-4.6929876394123395,-21.98178036361473,-2.888641004164027
K21686,down,during_vs_pre,-1.241092637717267,-4.41140359471532,-21.98326583537965,-3.3492504634851206
