feature,direction,phase_compared,C001,C002,C003,C004
K00005,down,post_vs_pre,-1.244201891764008,-30.38732182286204,-2.0438517312094717,-4.127471866657048
K00130,down,post_vs_pre,-1.5378513500164268,-27.89214785592465,-23.231409244025205,-3.60633855237602
K00363,down,post_vs_pre,-1.4858091456301983,-19.984032227901334,-1.5168727857771651,-2.9889192033652203
K00561,down,post_vs_pre,-2.206656569790175,-24.39488156070721,-20.44916443390329,-2.83119342768674
K00806,down,post_vs_pre,-1.723005056619632,-2.5535491608994145,-1.1998585031614382,-1.7353798201475352
K00847,down,post_vs_pre,-1.027609964191806,-29.62873493216338,-24.54592118933058,-3.8239165901680146
K01042,down,post_vs_pre,-1.0451621710392947,-24.558796066523684,-20.69095254542304,-26.087410227088622
K01087,down,post_vs_pre,-1.0067567621446267,-29.874260078869654,-22.26548866886128,-3.9234361680470853
K01154,down,post_vs_pre,-1.0274090296647165,-27.14033520141218,-2.194317759124772,-3.201223409540462
K01174,down,post_vs_pre,-1.6376964436867179,-2.1577686087440346,-1.298221777609885,-4.734959976470852
K01271,down,post_vs_pre,-1.1081039484913033,-30.574603723109778,-3.0425317334272797,-4.50015060017577
K01356,down,post_vs_pre,-1.115464146692105,-29.821206327813908,-2.731184418088461,-3.2897288590160843
K01533,down,post_vs_pre,-1.4563614889525498,-29.898817168862145,-21.830641441190085,-4.144382255094096
K01687,down,post_vs_pre,-1.105741666419408,-4.237469606186228,-23.258896795684635,-4.848596865269243
K01791,down,post_vs_pre,-1.0776157423897168,-28.577631599639414,-1.324087070996557,-4.464972818368584
K01916,down,post_vs_pre,-1.0335721551986132,-29.845601981385933,-2.106802630251437,-3.6385263907306333
K01926,down,post_vs_pre,-1.4997705754592066,-26.468691708716296,-1.2777618195569556,-3.5712387378313197
K01932,down,post_vs_pre,-1.0571110441543357,-24.8857649262496,-2.2854574679024173,-2.618719793931009
K01958,down,post_vs_pre,-1.474473814682043,-29.413312244625434,-22.582042339420283,-4.946836456478099
K01961,down,post_vs_pre,-1.187838250528657,-2.986823412519642,-1.781088754155959,-4.415912343188577
K01992,down,post_vs_pre,-1.0161054141573809,-5.321540540150553,-5.841123019151069,-1.9826500162949254
K02041,down,post_vs_pre,-1.571633519853971,-24.946109885952175,-3.202475526850363,-4.156951652696772
K02042,down,post_vs_pre,-2.2570357838035773,-24.79768861821316,-2.8032161875979287,-3.8352351454113047
K02044,down,post_vs_pre,-1.3458692455424797,-24.863579378414908,-3.1919900396511482,-3.3802380039662756
K02168,down,post_vs_pre,-1.1313320532563182,-24.900935564862188,-21.529854840362187,-4.78468937251669
K02810,down,post_vs_pre,-1.3073572324420952,-25.047848797558935,-22.994018615906594,-3.6450334153288964
K03087,down,post_vs_pre,-1.4150549210191286,-29.503138259534236,-21.47417381481176,-25.979644894800778
K03153,down,post_vs_pre,-1.0769006059658421,-2.9745615465670467,-3.6383593654442308,-1.8697987438600057
K03297,down,post_vs_pre,-1.3878131266049178,-30.818574872802415,-23.244621032829592,-3.6603105559017335
K03326,down,post_vs_pre,-1.8437024981330983,-29.597509925958125,-23.141515901944956,-4.055556027837241
