feature,direction,phase_compared,C001,C002,C003,C004
K00095,down,during_vs_pre,-2.419857909595771,-26.056919029984908,-2.3705890495554858,-3.2557625792641223
K00111,down,during_vs_pre,-1.3419611848539623,-2.304391859773115,-2.4639523183781686,-1.750484693340747
K00230,down,during_vs_pre,-2.082904892513833,-25.569682992595695,-1.996520556032868,-25.57939346812338
K00242,down,during_vs_pre,-1.6402748654653174,-3.91719002751602,-1.8192947976796177,-1.4607515810549048
K00588,down,during_vs_pre,-1.0409652195504464,-3.4477804157336256,-1.1151490736802043,-1.0862043114711508
K00598,up,during_vs_pre,24.29876494925655,22.837410617947345,1.0556232931347587,1.5588409546940079
K00610,down,during_vs_pre,-1.8262121830501625,-25.862305930537797,-2.9111226470844027,-28.244316629340414
K00632,down,during_vs_pre,-2.8624687208459627,-2.601140742239161,-2.0788978376829763,-28.715924448333
K00783,down,during_vs_pre,-1.1584948824438808,-3.5072181920499337,-3.0440874679381285,-1.3856171342417187
K00990,down,during_vs_pre,-2.6135873942414287,-25.964991592887504,-26.980606270553256,-3.1221737549818513
K01004,down,during_vs_pre,-2.1375170810563975,-27.040093036556655,-3.9013698207569525,-3.858111025754354
K01079,down,during_vs_pre,-1.3389048236519874,-2.8134298593276736,-2.804642430424086,-2.541993052300473
K01092,down,during_vs_pre,-1.2617821156545335,-26.280296741257033,-3.3555646313282828,-1.3532557821926525
K01095,down,during_vs_pre,-23.79250167893345,-25.885764902980323,-2.125189417734053,-27.1753201595429
K01153,down,during_vs_pre,-2.645395992834899,-1.780820351162766,-2.0842198569888675,-2.0834735451591175
K01154,down,during_vs_pre,-2.192555475676284,-1.3783173289431963,-1.914735362557053,-1.9664374041049002
K01174,down,during_vs_pre,-1.7384524370154744,-2.369803440538326,-2.9458127795063573,-1.2290008901819454
K01251,down,during_vs_pre,-2.197360766257321,-2.424271353832264,-2.697265693156162,-2.493427037294218
K01262,down,during_vs_pre,-1.0357830717030556,-3.1637374322625695,-2.630700948649211,-2.1934893060357634
K01297,down,during_vs_pre,-2.155650725099779,-26.24429546919181,-1.6679764970010709,-4.069957181739098
K01338,down,during_vs_pre,-1.4830343014512983,-25.83696281939118,-2.8951356892472564,-2.39686530453712
K01515,down,during_vs_pre,-1.1349330035271263,-25.751747557273788,-2.5571820466908046,-1.2610875636039514
K01523,down,during_vs_pre,-1.2831373179299463,-5.253006182000506,-3.9761615089229396,-2.5507165275352577
K01607,down,during_vs_pre,-1.7388494931815512,-1.8540147463934376,-2.783245548315824,-2.0889161518409054
K01637,down,during_vs_pre,-1.5714144753759205,-2.5058929440455477,-2.4603592258718137,-2.3572423659532196
K01638,down,during_vs_pre,-2.5135881713000603,-3.1967610343623605,-2.493356113330299,-3.1682059413554726
K01664,down,during_vs_pre,-1.9903171945023226,-3.7168790097623647,-2.3671381919696004,-3.213468281003856
K01693,down,during_vs_pre,-2.3154528941597836,-2.4961703033178297,-2.412640849460378,-3.5168182265696095
K01878,down,during_vs_pre,-1.2501384769026147,-26.50247166466632,-2.676790195798663,-1.6242366020116576
K01879,down,during_vs_pre,-1.5139631518711218,-26.520385141761928,-2.7730629476885307,-1.7393469463365887
K01952,down,during_vs_pre,-2.719906205643924,-25.90695688766458,-3.655468336902187,-29.083873951506554
K02440,down,during_vs_pre,-1.5362559916140055,-4.588929315416567,-1.678120570695701,-1.4637303614465285
K02553,down,during_vs_pre,-3.1598365180714345,-3.3219278951296043,-2.7304275475870914,-27.686046588550827
K02654,down,during_vs_pre,-1.8446973193993979,-26.127240993396878,-2.364153513806384,-26.288296964684978
K02914,down,during_vs_pre,-2.534253243106282,-1.9594247423264293,-2.9755325893865674,-1.5859593141295412
K03152,down,during_vs_pre,-2.319833102164649,-26.27141859001985,-2.845750192040806,-3.6632459208833827
K03522,down,during_vs_pre,-1.98189206580339,-3.246917729614968,-1.7400879349113463,-3.2120708026159934
K03616,down,during_vs_pre,-2.316983519481276,-25.659489051108036,-2.3204840708145555,-6.433649198631183
K03744,down,during_vs_pre,-1.8811734379747589,-25.737300861182195,-2.3196372160218695,-2.938851703999455
K04079,down,during_vs_pre,-1.6498304937097672,-26.26405097026502,-2.435875245802264,-3.8336198019952317
K04751,down,during_vs_pre,-2.157855625157418,-2.559256591695633,-5.951050724912704,-1.971428351196005
K04773,down,during_vs_pre,-1.763592106024179,-26.39917413570881,-2.5814810456519024,-2.059420299529697
K05602,down,during_vs_pre,-1.285084528071048,-2.0047637463967627,-2.5588724829930403,-3.207158454319993
K05813,down,during_vs_pre,-2.0524431632001745,-3.3999927817162083,-1.908216705016531,-1.6391189192304019
K05814,down,during_vs_pre,-1.90728539875112,-25.75501863615971,-3.094805400674346,-1.6732920516437984
K05815,down,during_vs_pre,-1.9133308307772403,-25.764458608799355,-1.1124674166902309,-1.5736377912508703
K06023,down,during_vs_pre,-1.1364213080311685,-25.445038817632675,-2.536593663563121,-1.062989788789049
K06872,down,during_vs_pre,-2.8178443599219296,-25.73892351714419,-3.4516303660851633,-4.307617725024717
K06898,down,during_vs_pre,-1.128226121293925,-21.69763404496519,-2.4338114387807677,-2.5562866194037834
K06915,down,during_vs_pre,-1.492023779019839,-26.21697080668251,-1.9441704847600165,-4.787082569147249
K07473,down,during_vs_pre,-2.5961427036387397,-23.288156249939284,-2.339111875187358,-2.9744142342187296
K07486,down,during_vs_pre,-2.491853903065198,-3.1254945523683473,-2.2160227313008245,-2.423431018361748
K07516,down,during_vs_pre,-2.744834438807804,-25.725984461668784,-2.7035659221851778,-1.2433918729595472
K08303,down,during_vs_pre,-1.8421969892780026,-26.21697080668251,-2.777524587894633,-1.4862839400852146
K08992,down,during_vs_pre,-1.2089072554121698,-26.374512081755604,-2.2798395293752884,-5.453663070692242
K09820,down,during_vs_pre,-1.0896855085142652,-25.73469099107401,-3.3572351314749613,-2.0243052172907845
K10112,down,during_vs_pre,-1.1084329888939946,-2.3740756208516522,-2.8233122966959976,-2.417924478817548
K10236,down,during_vs_pre,-2.3508117055014752,-1.9879304067816712,-2.6430944999505606,-4.792795304652092
K12511,down,during_vs_pre,-1.087036447475247,-24.927970920068784,-1.866066140128983,-2.009653017632176
K12628,down,during_vs_pre,-1.9800120594644253,-25.6630478426203,-2.1026166116000864,-5.850113047224889
K12960,down,during_vs_pre,-2.686843717218511,-25.686456098204218,-2.9768225386687996,-27.671039352803657
K13319,down,during_vs_pre,-2.581644006135917,-3.345597617951998,-3.0177957592449403,-1.0687598224543733
K14058,down,during_vs_pre,-2.3456089951967276,-26.040093047010966,-2.6324251618774275,-5.194539899736542
K14150,down,during_vs_pre,-1.3018445537106729,-25.248537940798577,-1.0580704761623325,-2.4157684357996323
K14245,down,during_vs_pre,-1.2216750591733514,-3.2822086403779838,-1.4187102697508165,-1.181508203334373
K14540,down,during_vs_pre,-1.1810006923656313,-25.862305930537797,-3.0754121655469513,-1.0846912749479234
K14732,down,during_vs_pre,-4.441021892855121,-26.13124093378904,-4.787276250903482,-2.2367735410892093
K14746,down,during_vs_pre,-1.4242986714538837,-26.243464910186056,-1.6462465426936037,-1.4475292242397606
K15570,down,during_vs_pre,-1.7190120703064113,-3.878183034743907,-1.4912210112159834,-1.2299034665134003
K15939,down,during_vs_pre,-2.548436177622388,-26.27141859001985,-21.502177705469343,-22.534983491455616
K15948,down,during_vs_pre,-20.14544585662367,-26.161939745101648,-2.3158876668586634,-25.127775635506623
