feature,direction,phase_compared,C001,C002,C003,C004
K00230,down,post_vs_pre,-2.9782464489137417,-1.8017828216585032,-1.5615936561485724,-25.57939346812338
K00242,down,post_vs_pre,-7.227208562593449,-1.9259802596935587,-1.5712041630598905,-4.586694355432943
K00573,down,post_vs_pre,-4.5919525077135335,-26.844457917526707,-2.2323529106607,-1.9125756219673227
K01004,down,post_vs_pre,-4.054976594260117,-27.040093036556655,-3.245680076511037,-2.8796034916090814
K01095,down,post_vs_pre,-2.12649400990492,-25.885764902980323,-2.9200405416342243,-4.8207828053405235
K01297,down,post_vs_pre,-2.951481815836654,-26.24429546919181,-2.0905732490806845,-3.0670671736413215
K01338,down,post_vs_pre,-1.4261011769937162,-25.83696281939118,-2.5625520785066658,-28.139921627842487
K01438,down,post_vs_pre,-3.4935651195731565,-26.21633532605174,-3.605488484176155,-4.83468139962022
K01628,down,post_vs_pre,-22.262939678501706,-24.48667614542955,-2.733770801145227,-26.246180530515144
K01878,down,post_vs_pre,-1.0373975019445596,-26.50247166466632,-2.334095231977585,-4.509255148316541
K01879,down,post_vs_pre,-1.042203278824925,-26.520385141761928,-2.5082694350398533,-27.96172695415758
K01952,down,post_vs_pre,-1.756578188713502,-25.90695688766458,-2.3845622900089136,-2.648435645970774
K02066,down,post_vs_pre,-21.40332883112999,-25.79368890623573,-27.57708651493987,-3.4264499454314774
K02067,down,post_vs_pre,-20.340535075704146,-25.801933313569034,-29.282771523433702,-4.404678364714332
K02654,down,post_vs_pre,-4.799349379691446,-26.127240993396878,-2.0650532740704644,-26.288296964684978
K03616,down,post_vs_pre,-1.1527718292619085,-5.844819494262766,-1.9391080914802603,-27.817919147508753
K03688,down,post_vs_pre,-27.663613637498614,-1.31859104703476,-1.2416531268247197,-26.76254934809458
K03744,down,post_vs_pre,-1.9225813618922012,-4.344535021023714,-2.2792397492686836,-4.8050922363271384
K03787,down,post_vs_pre,-23.92563541510902,-25.39588235893994,-4.363879434730434,-5.26713408139935
K04079,down,post_vs_pre,-1.36298611337882,-26.26405097026502,-2.1550560317195,-2.039781106363199
K04773,down,post_vs_pre,-1.3517143606501916,-26.39917413570881,-2.6355361920654823,-28.153049845571676
K05366,down,post_vs_pre,-1.2768982190328877,-26.43736346964451,-2.456820599307239,-27.38728950533184
K05594,down,post_vs_pre,-20.15729717539585,-25.62888232862962,-2.5524091412899863,-3.0860438320001076
K06041,down,post_vs_pre,-3.4046777838156923,-26.37944941429875,-3.729459508302017,-2.040961226683914
K06871,down,post_vs_pre,-1.1641526267573274,-25.910322517380965,-2.0401341509478,-4.794394720304899
K07473,down,post_vs_pre,-1.618438927648359,-2.9453411502008007,-2.139404194917249,-4.115719024187709
K08218,down,post_vs_pre,-22.17202568532308,-26.13124093378904,-1.8285403963320146,-27.46398424816112
K08309,down,post_vs_pre,-1.1978039777697376,-25.968959599471976,-2.171061337602185,-6.910464987487265
K09952,down,post_vs_pre,-2.1044471022386513,-26.70139981587255,-2.6546445456877934,-4.884490999034337
K12628,down,post_vs_pre,-3.0154728834600606,-25.6630478426203,-3.028694130851939,-3.0633915140107373
K12960,down,post_vs_pre,-1.3277297853072023,-25.686456098204218,-2.8869666567567878,-4.806451977001167
K13478,down,post_vs_pre,-1.3514381046319226,-20.821938212443442,-3.027477565272601,-4.10668727092901
K14699,down,post_vs_pre,-1.2144666169463072,-25.675449738751798,-1.8011304464670277,-2.99962466929385
K14732,down,post_vs_pre,-7.241087554537579,-26.13124093378904,-3.259923430733564,-5.467142823419338
K16037,down,post_vs_pre,-1.750694674486292,-25.273837101170557,-21.85530764104999,-1.8677254767972227
K16884,down,post_vs_pre,-1.597954196956572,-26.620546876272233,-1.4527284830696947,-25.461512368699637
K16926,down,post_vs_pre,-2.4403625984633956,-24.87971855089248,-2.374659549581747,-1.663237391857729
K19272,up,post_vs_pre,24.460935672125864,25.814830157719246,2.0316667968119786,23.467260875113784
K19297,down,post_vs_pre,-4.270441285441506,-6.0089001077302235,-2.2329344332124292,-5.297430354021562
K19975,up,post_vs_pre,1.305384090734729,21.590184216706373,22.01337436103795,2.099703550967473
K20845,down,post_vs_pre,-2.886237995908173,-26.07823908415809,-1.9756892336150054,-1.6494084434026703
K21818,down,post_vs_pre,-2.917907449049094,-25.797217743912405,-3.6680566185301102,-4.290402012467895
K22716,up,post_vs_pre,2.253350019587149,29.62407347643215,28.795573801267693,4.405701791618237
K22719,down,post_vs_pre,-4.519386933305532,-26.050509662805883,-3.0334428666490654,-4.706678596849714
K23158,down,post_vs_pre,-26.339508176953125,-25.85747784035248,-4.6951291118956915,-2.655769758869661
K23738,down,post_vs_pre,-1.5901580189091695,-1.379615954280303,-1.100944817056695,-3.506515777199864
