feature,direction,phase_compared,C001,C002,C003,C004
K00162,up,during_vs_pre,20.835802931718916,23.582895968349188,26.629419533088477,6.790186676289729
K00228,up,during_vs_pre,22.34555549435909,2.661046066508556,5.519347153039289,2.7853090462964185
K00304,up,during_vs_pre,21.762371899916307,23.911987037237317,25.80151400793576,5.443607190718788
K00348,down,during_vs_pre,-25.56295425069258,-21.080936989254024,-22.926697450947945,-1.1105683101015174
K00411,up,during_vs_pre,21.365196270493094,2.504700967299742,3.856812446544133,4.674473150430055
K00413,up,during_vs_pre,21.564628188448626,3.5272979529548967,4.1670347767603575,4.436667620749878
K00433,up,during_vs_pre,22.285936377453982,2.629893207712215,5.600304517819925,5.2092978664907905
K00453,up,during_vs_pre,21.486108798290022,1.3963632581628216,26.487732030424446,6.1562855475910085
K00799,up,during_vs_pre,23.787214589292105,3.47499858934507,5.695275845128015,4.8740219660616955
K00845,up,during_vs_pre,21.019541185899854,2.335956158564855,4.809006696324,5.4167455566351554
K00856,up,during_vs_pre,20.593592638098873,23.05099131798225,26.195874184431574,3.5803730793296866
K00979,up,during_vs_pre,20.701383461856132,1.5726750247156367,3.0632062035994956,3.4325270942976447
K00992,up,during_vs_pre,20.580541052406467,23.516603323212635,4.97244197201131,4.217515638100183
K01061,up,during_vs_pre,20.29938803095151,2.0111946161739396,6.8471222036268875,3.8173028211964626
K01185,up,during_vs_pre,22.315936452545735,3.046629525922521,4.827859994236005,3.299524695884423
K01270,down,during_vs_pre,-27.150894915863674,-21.989966232268635,-24.94749876282458,-23.665139948707548
K01283,up,during_vs_pre,21.50081708535641,22.891858038360084,4.3920823365352755,5.9281482095902485
K01470,up,during_vs_pre,22.013130106568607,3.557588638936686,4.7068546684835155,7.711033411500454
K01646,down,during_vs_pre,-24.65670444119015,-21.690866889748783,-23.792442102009073,-21.31078342746867
K01716,up,during_vs_pre,22.221388577975876,24.08600198940877,5.966841705538399,8.327668766614217
K01734,down,during_vs_pre,-22.37511360438331,-21.156761838780145,-23.55729116479835,-22.961192424514962
K02043,up,during_vs_pre,20.39184037869894,20.56062297871896,25.757520814374782,25.78199174576159
K02057,down,during_vs_pre,-2.796410104733799,-20.52094952365802,-26.25630059867822,-23.728989837811493
K02120,down,during_vs_pre,-26.511491394905885,-22.54101647705739,-24.77520078895917,-1.008826733380012
K02122,down,during_vs_pre,-26.73175752634435,-23.089873439287782,-24.771974782461847,-23.291122676976904
K02123,down,during_vs_pre,-26.80277565493632,-20.836535058472634,-24.01811183794693,-22.702130049004495
K02124,down,during_vs_pre,-6.515118125445186,-23.06239529564705,-24.797127869220013,-23.979421095681754
K02200,up,during_vs_pre,20.673575642788585,2.151601941573067,27.10019005812486,5.160596803034431
K02281,up,during_vs_pre,21.208720775270994,23.798946261545066,26.566036975939134,6.27832843506098
K02300,up,during_vs_pre,21.1810448574796,3.0068031667555233,4.247493430098383,2.8536242306275055
K02388,up,during_vs_pre,20.502809471514055,1.4646333349570355,4.563229473948527,5.677440598245281
K02389,up,during_vs_pre,22.28301344062624,3.3588573070316325,5.105258805303129,6.134939664734639
K02391,up,during_vs_pre,21.411472196690017,3.0984935494667063,26.46643403788868,26.36122220712377
K02394,up,during_vs_pre,21.771810623356266,1.4909815719874904,3.579477213070509,5.325014389002145
K02408,up,during_vs_pre,21.323446796367595,2.277918866674837,2.804389359880753,5.092967793711904
K02410,up,during_vs_pre,21.550348016706547,1.564107953290176,4.02170720648631,5.696290177917034
K02417,up,during_vs_pre,21.934397443736323,2.171328019755523,4.28126666527398,6.328244763658636
K02419,up,during_vs_pre,21.7505013222386,1.5898036294105717,4.0402789048307275,6.283425512328179
K02462,up,during_vs_pre,20.525114527471885,23.241225138512128,4.788540263275896,6.573547838607821
K02488,up,during_vs_pre,20.55833569202958,2.7775650858499072,3.51785012208,27.479492614845352
K02533,up,during_vs_pre,21.303183744730475,23.734191014674266,26.171832346195973,4.113173628494941
K02553,down,during_vs_pre,-27.073621502843196,-1.1095152130228985,-23.300127551832674,-2.798829791217205
K02557,up,during_vs_pre,20.10699863765852,4.022442837261085,5.3425949046792445,5.9396625631847195
K02574,down,during_vs_pre,-26.019584358910564,-20.39627272901862,-23.948727458000786,-21.319666792614985
K02638,up,during_vs_pre,21.80329435350612,23.109892968862116,26.140451587265957,27.28989494377199
K02793,up,during_vs_pre,21.247077415292143,23.7900420861055,5.725379036691043,4.4546636954348715
K03071,up,during_vs_pre,21.531815007322546,1.5576153004710471,5.089353251409531,2.704749840455419
K03089,up,during_vs_pre,22.342113471427268,23.383940097460727,4.497985105758978,3.1770086868998
K03113,down,during_vs_pre,-23.044607959593026,-21.70201749705265,-18.865446331754626,-22.793550590999075
K03119,up,during_vs_pre,20.618943748824414,24.281517700345464,5.793621984298929,4.674520831773706
K03340,down,during_vs_pre,-4.6546661945837915,-21.407622361891377,-24.6330160278316,-2.2437741678213747
K03408,up,during_vs_pre,21.480769989562738,1.7279784104620635,5.272083917200837,7.222062255065521
