feature,direction,phase_compared,C001,C002,C003,C004
K01187,up,post_vs_pre,1.1937796349066883,23.21344003132887,21.859035626257505,1.2349625630166599
K01739,down,post_vs_pre,-1.2049678378370343,-1.6506546349756632,-26.06006409269816,-1.6043482828165414
K03605,down,post_vs_pre,-21.74260151852883,-22.00735252357186,-4.0370893799738266,-21.090337090823244
K04027,down,post_vs_pre,-2.8385504760666995,-20.606602508941105,-20.367091557434225,-21.204985590497586
K04652,down,post_vs_pre,-19.672397141037408,-21.9531670950556,-4.387225157295783,-20.836997262963095
K04653,down,post_vs_pre,-20.707869957928537,-22.467986491558808,-6.0802821130755484,-22.84323477999087
K04654,down,post_vs_pre,-20.558273402227464,-22.278988842674263,-24.401565282515786,-22.622604106872952
K04655,down,post_vs_pre,-1.3916300476501429,-21.746980456155903,-24.78992433457506,-20.690071597548343
K05537,down,post_vs_pre,-21.25988862631619,-20.95321482482662,-18.842611223876155,-22.396367770642282
K06162,down,post_vs_pre,-3.165480449790949,-20.099527173761086,-1.9940555266887634,-20.006395025561005
K06381,down,post_vs_pre,-21.028640614276597,-20.26716730023774,-23.233122220988523,-22.093134148183182
K06686,down,post_vs_pre,-1.5426430256082004,-26.262530866228595,-23.33415901147632,-2.4693285598026793
K07481,down,post_vs_pre,-1.0644458727724821,-1.464184434453471,-3.369260571523434,-2.7466182046800385
K09155,down,post_vs_pre,-1.0453049754959363,-19.123470588221934,-1.1870748814062675,-3.8062535750246798
K10971,down,post_vs_pre,-27.51791525028609,-21.670826659018857,-24.939034745048374,-1.286302127170004
K12267,down,post_vs_pre,-1.2295242376368152,-20.612853802620222,-24.112201889531296,-23.74527804719738
K12644,down,post_vs_pre,-20.311375447047006,-19.97822399402709,-19.53462901963473,-21.257646229667994
K14683,down,post_vs_pre,-2.082140379406421,-20.975846802099433,-26.291880769068538,-2.3465558888392883
K15090,up,post_vs_pre,1.4763619597816633,24.959583683314182,21.07097323003779,1.0149899650740943
K15648,down,post_vs_pre,-2.4204853695868103,-22.04689074418478,-23.744337270343546,-20.956834366972483
K15966,down,post_vs_pre,-1.324155198780363,-1.8976514525664328,-3.1672256737281628,-23.400425672661395
K15973,down,post_vs_pre,-2.3067288854175545,-20.270098716063522,-23.804617343591676,-21.105996933867658
K15975,down,post_vs_pre,-22.401654443101798,-20.871974151437627,-23.225253094429966,-19.9390525808865
K16109,down,post_vs_pre,-1.2776466964388264,-1.6600810903722956,-2.1931151995822575,-3.5395987157070827
K18679,down,post_vs_pre,-2.195780212509418,-21.831157094442467,-24.503459785783342,-24.42544649321754
K18918,down,post_vs_pre,-1.0611997735172212,-1.9713030025701703,-2.295348290869267,-2.1560573736727524
K18923,down,post_vs_pre,-20.863630496796876,-1.8731986262740619,-24.613392665506815,-20.977058836967235
K20739,down,post_vs_pre,-1.8716663931472846,-24.920210890980567,-24.272149898509607,-22.623236947771087
K21050,down,post_vs_pre,-1.8998901590015511,-20.46934603433136,-22.34203658716337,-21.728637316451834
K21567,down,post_vs_pre,-1.507046844448383,-22.047046119673695,-23.18662121691617,-19.92607733364478
K21651,down,post_vs_pre,-23.68387483055461,-21.54968237392056,-20.625186511082006,-1.161666261514082
K21683,down,post_vs_pre,-1.9467377350731305,-22.86809049135222,-21.573592797218044,-21.410247578909615
K22092,down,post_vs_pre,-19.458974593563703,-3.6126071700255005,-21.41668672978782,-18.946878677046612
K22361,down,post_vs_pre,-22.284242642829405,-27.281369061625668,-1.9454551219406189,-1.4668116727195466
K24250,down,post_vs_pre,-1.1300949627357,-1.7958081145781752,-22.776777781755143,-3.0417818781394086
K25161,down,post_vs_pre,-1.4164552910086399,-21.016812594107996,-3.89556588949421,-23.951682627709822
