feature,direction,phase_compared,C001,C002,C003,C004
GALACTARDEG-PWY: D-galactarate degradation I,down,during_vs_pre,-21.816661694797475,-24.577437414536682,-1.6727881833331701,-22.02257472771517
GALLATE-DEGRADATION-I-PWY: gallate degradation II,down,during_vs_pre,-21.854388406206933,-24.119064571602166,-22.935394628233556,-22.75981376948126
GLUCARDEG-PWY: D-glucarate degradation I,down,during_vs_pre,-1.7433393674880013,-3.8448391192274447,-1.2028064998035057,-21.8681660573387
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,down,during_vs_pre,-21.816661694797475,-24.577437414536682,-1.6727881833331701,-22.02257472771517
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,up,during_vs_pre,2.57901416275701,4.262237276737908,23.679868885626156,1.0269405114360486
METHGLYUT-PWY: superpathway of methylglyoxal degradation,down,during_vs_pre,-3.0694750390545,-22.8911781895108,-1.577464905011396,-1.4999677194991112
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation,down,during_vs_pre,-21.956692240640038,-24.294106324630796,-23.081321811803267,-22.969702284787285
P122-PWY: heterolactic fermentation,down,during_vs_pre,-23.632404160455142,-22.708634244106868,-2.0179489329045817,-1.4695389292136283
P124-PWY: Bifidobacterium shunt,down,during_vs_pre,-24.75425900437452,-22.95797341181174,-2.4499229612125974,-1.600322944152828
P184-PWY: protocatechuate degradation I (meta-cleavage pathway),down,during_vs_pre,-21.547438854847893,-24.271986110596817,-22.53933704069862,-22.24542900793255
P621-PWY: nylon-6 oligomer degradation,up,during_vs_pre,6.151675052774912,24.685269421108227,4.359649682287466,23.207857674432006
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),down,during_vs_pre,-2.1032863479760646,-2.3038934397914277,-2.2517314578926526,-2.481887485438674
PWY-5367: petroselinate biosynthesis,down,during_vs_pre,-22.59426802578885,-22.948914649918294,-21.655212022692627,-2.4980276934060117
PWY-5971: palmitate biosynthesis (type II fatty acid synthase),down,during_vs_pre,-26.136426613450737,-25.958235881340713,-25.826703957291056,-1.1207540802788287
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),down,during_vs_pre,-24.30991841207789,-24.60072770812879,-23.292009778186788,-1.913046209102266
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),down,during_vs_pre,-24.983284379602235,-25.15856514637762,-24.070762525648163,-1.6922653924174866
PWY-6519: 8-amino-7-oxononanoate biosynthesis I,down,during_vs_pre,-24.238419002045365,-2.1223391321857212,-2.373094466990556,-1.9762506638940638
PWY-6595: superpathway of guanosine nucleotides degradation (plants),down,during_vs_pre,-22.47041320067237,-1.943470947707406,-1.54727960193334,-2.1376699320988934
"PWY-6992: 1,5-anhydrofructose degradation",up,during_vs_pre,3.6186323098166713,1.127957257397578,1.668299963570033,21.494514795959812
"PWY-7013: (S)-propane-1,2-diol degradation",down,during_vs_pre,-20.81516931545793,-23.057170246924493,-21.881955234660445,-1.9175906543498444
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",down,during_vs_pre,-23.83783075042863,-23.61629392880324,-2.126598318396439,-2.3653607625520126
PWY-7854: crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered),up,during_vs_pre,24.102030554123036,26.30023480537086,25.091404029967226,22.788373238807193
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis,up,during_vs_pre,24.47558408818909,25.150890104171086,22.867754385191642,20.65610534167265
PWY490-3: nitrate reduction VI (assimilatory),up,during_vs_pre,3.9997161697802635,3.2943476672966963,3.390110203277797,3.494606262593537
PWY66-201: nicotine degradation IV,up,during_vs_pre,3.5091769834810345,1.1647831431442757,2.0042461735110613,20.683447000347062
PWY66-391: fatty acid &beta;-oxidation VI (mammalian peroxisome),down,during_vs_pre,-22.22453805297713,-1.4967609695423318,-24.1205993090011,-6.714981218882899
