feature,direction,phase_compared,C001,C002,C003,C004
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,down,post_vs_pre,-23.682510985062333,-1.6074527157671694,-1.9148426013021085,-25.03878777952713
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate,down,post_vs_pre,-21.788036827236066,-2.345071394388245,-2.7385339659080103,-23.6986909268571
GALACTARDEG-PWY: D-galactarate degradation I,down,post_vs_pre,-21.816661694797475,-6.36508352759368,-22.132428917717732,-22.02257472771517
GALLATE-DEGRADATION-I-PWY: gallate degradation II,down,post_vs_pre,-21.854388406206933,-24.119064571602166,-4.2024488417588906,-22.75981376948126
GLUCARDEG-PWY: D-glucarate degradation I,down,post_vs_pre,-21.861561883578,-6.208431069959848,-22.142227887760253,-3.187938184288787
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,down,post_vs_pre,-21.816661694797475,-6.36508352759368,-22.132428917717732,-22.02257472771517
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,down,post_vs_pre,-25.04445080650599,-2.3518410929160023,-1.0167641938630456,-1.0503665840163094
METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation,down,post_vs_pre,-21.956692240640038,-24.294106324630796,-4.0417056926518855,-22.969702284787285
P184-PWY: protocatechuate degradation I (meta-cleavage pathway),down,post_vs_pre,-21.547438854847893,-24.271986110596817,-3.815970511265248,-22.24542900793255
P221-PWY: octane oxidation,down,post_vs_pre,-1.1332680170512257,-1.1880049246300295,-1.4776132958829233,-1.5297518135162422
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,down,post_vs_pre,-22.82276109395609,-1.6876606473023832,-1.9708695111935923,-24.182570629686882
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),down,post_vs_pre,-22.5673773556405,-1.9389931452966338,-1.38458222590883,-24.123918018533743
PWY-5367: petroselinate biosynthesis,down,post_vs_pre,-22.59426802578885,-22.948914649918294,-1.4441590828951185,-2.095848535154477
PWY-5417: catechol degradation III (ortho-cleavage pathway),down,post_vs_pre,-21.46187291465108,-1.9619924394384778,-2.467089058789874,-23.594473329287634
PWY-5419: catechol degradation to 2-hydroxypentadienoate II,down,post_vs_pre,-20.4409884277419,-24.233624430558034,-22.063553407222628,-21.70084846740242
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate,down,post_vs_pre,-21.46187291465108,-1.9619924394384778,-2.467089058789874,-23.594473329287634
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation),down,post_vs_pre,-22.43310138576905,-3.6832397887697614,-22.644729358869068,-22.769846249018972
PWY-5971: palmitate biosynthesis (type II fatty acid synthase),down,post_vs_pre,-26.136426613450737,-25.958235881340713,-1.285857089445828,-2.5643319763407866
PWY-6185: 4-methylcatechol degradation (ortho cleavage),down,post_vs_pre,-21.738835965227643,-1.7247337239557816,-1.911493900331715,-4.223256721519717
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),down,post_vs_pre,-24.30991841207789,-24.60072770812879,-1.2809546614466363,-2.3532155021895726
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),down,post_vs_pre,-24.983284379602235,-25.15856514637762,-1.2519219592802646,-2.534148458678859
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants),down,post_vs_pre,-22.11479706417462,-23.133173314941416,-3.418033369163199,-3.1306816782151885
PWY-6595: superpathway of guanosine nucleotides degradation (plants),down,post_vs_pre,-22.47041320067237,-23.736995278066367,-2.9195855717946673,-24.588604524364694
PWY-6876: isopropanol biosynthesis (engineered),down,post_vs_pre,-22.53698412093169,-1.0895203764652515,-1.2401984004427902,-22.827044083936794
PWY-6901: superpathway of glucose and xylose degradation,down,post_vs_pre,-26.352076252396625,-1.4823314827980811,-1.2551762368098796,-1.2365479747255244
"PWY-7013: (S)-propane-1,2-diol degradation",down,post_vs_pre,-20.81516931545793,-2.2767920146533904,-1.3457734836558524,-23.81875954449366
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,down,post_vs_pre,-1.2252844609056837,-2.424581523333643,-3.092972243965501,-3.017866515621578
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,down,post_vs_pre,-23.460806199403525,-2.876559454659232,-5.282408523988604,-23.136209769795663
PWY490-3: nitrate reduction VI (assimilatory),down,post_vs_pre,-19.74986451839241,-22.301240054192224,-2.1834243127782758,-18.8557677991871
PWY66-367: ketogenesis,down,post_vs_pre,-23.095625540186653,-2.37020359483087,-1.1247648192920643,-25.20858429094851
