feature,direction,phase_compared,C001,C002,C003,C004
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,up,during_vs_pre,1.079834328628502,26.39742064435972,25.463109138631925,26.95137055503443
P621-PWY: nylon-6 oligomer degradation,up,during_vs_pre,23.191473895284567,24.16239417172037,23.487558426188492,19.711821547433107
PWY-3781: aerobic respiration I (cytochrome c),up,during_vs_pre,22.78834535687453,23.87526030255085,23.632716809650262,21.279464358226686
PWY-5723: Rubisco shunt,up,during_vs_pre,3.354796732253405,26.20336773869272,25.0598104504838,22.953679959364084
PWY-6353: purine nucleotides degradation II (aerobic),up,during_vs_pre,5.255969418410304,26.570627057415138,6.143511228388928,22.95914216604321
PWY-6608: guanosine nucleotides degradation III,up,during_vs_pre,5.435940888227047,26.435648660250596,6.419111357722205,22.140529306970098
PWY-7854: crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered),up,during_vs_pre,21.43298019791787,25.41623684832866,22.467264731550532,21.40685634942962
PWY-7858: (5Z)-dodecenoate biosynthesis II,up,during_vs_pre,24.81341429716596,26.304085443132667,24.816588932007413,23.47791065673275
PWY-8011: L-serine biosynthesis II,up,during_vs_pre,2.533303418643759,23.950719005593236,22.41187402422459,20.2714368106086
PWY0-1477: ethanolamine utilization,up,during_vs_pre,5.540544122449799,25.19506692988326,24.58390883696484,22.2191150363291
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,up,during_vs_pre,5.356518243878616,26.758009022040188,6.3972534788643465,22.457077727190537
