feature,direction,phase_compared,C001,C002,C003,C004
"CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",up,during_vs_pre,22.48998095550141,24.384628509197313,21.626908123296815,23.027622235509934
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation,up,during_vs_pre,2.3758393231714394,24.22437983461291,20.89611543752751,5.932822052848223
KETOGLUCONMET-PWY: ketogluconate metabolism,up,during_vs_pre,3.009359271773269,2.000635809316364,20.673001901437257,2.944802421020134
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),up,during_vs_pre,2.63240850476499,1.8221445654238035,2.141467250289774,2.4458711148167604
PWY-3781: aerobic respiration I (cytochrome c),up,during_vs_pre,3.360471156937606,1.207054430055467,22.345264459953253,3.950340924705231
PWY-5080: very long chain fatty acid biosynthesis I,down,during_vs_pre,-1.2567615384959219,-2.49212389542036,-1.0383371419731282,-2.300572116899264
"PWY-5531: 3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)",up,during_vs_pre,21.616271078862678,24.291384953206176,21.421748965447645,23.665598106750096
"PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)",up,during_vs_pre,20.252285446235046,24.507256109267598,21.14135628952106,3.03756230790859
PWY-6313: serotonin degradation,up,during_vs_pre,20.644649348311503,2.766726087870585,21.4559211564852,3.0072020202930463
PWY-6607: guanosine nucleotides degradation I,up,during_vs_pre,2.1270326105705886,1.5360916660416688,2.3638167254648588,2.706380902537025
"PWY-6992: 1,5-anhydrofructose degradation",up,during_vs_pre,19.684335996982764,1.4323294275443077,20.995507015542405,4.108917057934378
"PWY-7159: 3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)",up,during_vs_pre,5.015593713751291,25.624734920182508,22.530182937247634,24.76438396638423
PWY-7209: superpathway of pyrimidine ribonucleosides degradation,up,during_vs_pre,21.164699506681234,2.5706319138765794,3.045155754418427,22.624747942120337
"PWY-7340: 9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)",down,during_vs_pre,-18.243462240733862,-23.028235406553815,-19.518849700674075,-1.0925865493058118
"PWY-7376: cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)",up,during_vs_pre,23.17968756884326,24.25619925659111,2.3240423712909313,4.329987925206272
PWY-7431: aromatic biogenic amine degradation (bacteria),up,during_vs_pre,20.090003841195443,2.882424517402774,21.00660892304517,3.0417512665757327
PWY-7858: (5Z)-dodecenoate biosynthesis II,up,during_vs_pre,2.4578925462723498,1.7511916726019368,3.1481852161074726,4.2828814362138115
PWY-8131: 5'-deoxyadenosine degradation II,up,during_vs_pre,1.5887268365897,24.70231839706945,20.964086287595602,6.138455099665265
PWY0-1477: ethanolamine utilization,up,during_vs_pre,1.1689850250834288,2.506779292922531,5.345101321335107,3.0248970898253633
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis,up,during_vs_pre,19.344980678720646,23.05488729198506,19.28019985616512,22.026824976565855
PWY490-3: nitrate reduction VI (assimilatory),up,during_vs_pre,20.09681293658349,2.6296655015300487,21.660895537343624,4.671227274539332
PWY66-201: nicotine degradation IV,up,during_vs_pre,19.266768243411654,1.1175918471921098,19.80831613221051,21.51725031465563
PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle),up,during_vs_pre,2.8763376765667372,24.95073898134071,2.215132555882154,3.5680653566203757
RUMP-PWY: formaldehyde oxidation I,up,during_vs_pre,1.0328991706660025,3.6625606628312575,1.0401213274594454,2.3863112447185957
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,up,during_vs_pre,2.2405698737734747,1.0394941097393349,1.3825481744697168,2.9886901494959783
TYRFUMCAT-PWY: L-tyrosine degradation I,up,during_vs_pre,3.357565509759759,2.3296769111364837,21.087642177658505,3.734041564579029
