feature,direction,phase_compared,C001,C002,C003,C004
PWY-6353: purine nucleotides degradation II (aerobic),up,during_vs_pre,3.8950568449960765,23.81836753326061,20.513896709685387,2.502732581075132
PWY-6606: guanosine nucleotides degradation II,up,during_vs_pre,3.8928972587530484,20.79668447584698,19.691975190937995,2.2371517495388686
PWY-6607: guanosine nucleotides degradation I,up,during_vs_pre,3.8928972587530484,20.79668447584698,19.691975190937995,2.5874134276103717
PWY-6608: guanosine nucleotides degradation III,up,during_vs_pre,3.907886526029046,23.01156117775349,19.816205560740936,2.5119685923644215
PWY-6895: superpathway of thiamine diphosphate biosynthesis II,down,during_vs_pre,-21.140436003815097,-19.53975519023301,-24.9013008623893,-23.239423185245
PWY-7858: (5Z)-dodecenoate biosynthesis II,up,during_vs_pre,3.30791388879421,1.6070962695639017,2.9659861574312476,2.779524177002425
PWY-8011: L-serine biosynthesis II,up,during_vs_pre,20.828209328832667,19.49242240707679,1.7509634544860875,2.226194486941322
PWY490-3: nitrate reduction VI (assimilatory),up,during_vs_pre,18.471351730599434,19.884932157857108,18.817940783042474,6.2482739931454905
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),up,during_vs_pre,22.658596127713473,1.1112110677054974,18.978774688168453,1.2940725416939596
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,up,during_vs_pre,3.905166932711392,23.32199564809103,20.137598455049837,2.84555311331287
