feature,direction,phase_compared,C001,C002,C003,C004
P161-PWY: acetylene degradation (anaerobic),down,during_vs_pre,-21.844290343656144,-23.63113622923547,-2.719278485506485,-2.3860380743974923
P164-PWY: purine nucleobases degradation I (anaerobic),down,during_vs_pre,-21.69277198834422,-22.92405562295686,-22.93092360060538,-3.2684038090374545
PWY-4041: &gamma;-glutamyl cycle,down,during_vs_pre,-25.27095900955598,-2.789564773819649,-2.6360046400685,-1.2213989320564245
PWY-4984: urea cycle,up,during_vs_pre,4.575074193212264,1.132641178078188,2.2258773917377566,1.6365241058394886
PWY-5030: L-histidine degradation III,down,during_vs_pre,-25.71308743393576,-2.701443991792902,-23.147666558068142,-1.8748247219620333
PWY-5180: toluene degradation I (aerobic) (via o-cresol),down,during_vs_pre,-22.297210067319362,-23.39158995479771,-1.4606888563114382,-2.873229040294492
PWY-5415: catechol degradation I (meta-cleavage pathway),down,during_vs_pre,-21.670289288123648,-23.099035316015087,-1.4723111867015615,-3.2602906820763278
"PWY-5531: 3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)",up,during_vs_pre,21.376646867540636,2.6334721606908538,6.336244880260683,1.699046573842123
PWY-7242: D-fructuronate degradation,up,during_vs_pre,19.627109910820142,1.0292583316195894,2.776873172419899,1.994910934643567
PWY-7854: crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered),up,during_vs_pre,20.67221641176157,22.614941868660647,25.776312014336042,25.347822975695188
PWY-7942: 5-oxo-L-proline metabolism,up,during_vs_pre,23.53170758456704,1.2004896200683415,2.700414599922195,2.465135673192401
PWY66-430: myristate biosynthesis (mitochondria),down,during_vs_pre,-1.3244041246751548,-21.648635966593606,-22.3923201308205,-1.408880184703448
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II,down,during_vs_pre,-22.40621253258684,-19.727708331359995,-19.568472634822573,-2.7611571369556973
