feature,direction,phase_compared,C001,C002,C003,C004
1005048,down,post_vs_pre,-21.200413873514375,-27.008708312782215,-22.759745594347127,-23.174890083039866
1049336,down,post_vs_pre,-20.325609244871572,-27.62422202060685,-21.292502153320836,-22.48206672592936
106589,down,post_vs_pre,-22.002283472217737,-25.90693970617168,-1.8503834345897425,-23.029039753019976
106590,down,post_vs_pre,-23.7940593667486,-26.747723048866835,-23.336631355245792,-21.89061198720863
1073,down,post_vs_pre,-22.7209800327901,-26.164446522131087,-23.637867782526566,-22.38351298724449
1115803,down,post_vs_pre,-20.616101417329755,-2.579241488643535,-1.5131159916311416,-18.332188533859814
115547,down,post_vs_pre,-20.652174438511963,-3.4650474879391915,-5.750013167625375,-3.476029567516188
118510,down,post_vs_pre,-5.071500682838916,-2.0836688458035453,-2.748365361347284,-1.0585705688301001
119060,down,post_vs_pre,-30.13870857807211,-10.715887478104115,-12.896789522360917,-29.498636207497906
1203571,up,post_vs_pre,27.11903933944495,21.936866845069353,3.1978359930564304,2.111912160161979
1207504,down,post_vs_pre,-21.100538580263304,-26.821252479047658,-20.918223716147445,-21.68338384220346
1218169,down,post_vs_pre,-20.629569819330214,-26.840681255341988,-20.874134628110383,-1.719063274102413
1226301,down,post_vs_pre,-23.647516261636547,-27.62912583499214,-23.04017211857417,-22.584359330351063
1249621,down,post_vs_pre,-21.731223333386364,-27.710440137902477,-20.0926924449256,-21.754126769730533
1262874,down,post_vs_pre,-19.93248953352904,-23.225050991084565,-21.042027945430224,-23.42162031082262
1283301,down,post_vs_pre,-22.2334041354948,-24.67701292140495,-28.109695172590392,-1.0938441775081333
1286631,down,post_vs_pre,-23.851819629302422,-26.317819204118603,-24.078769856606236,-22.16129756430868
1296,down,post_vs_pre,-22.463099135727656,-4.42404886913705,-2.4526586720283197,-21.79736348897443
1308,down,post_vs_pre,-26.091931995020033,-27.504043772188663,-23.647185788408297,-1.9362632574254492
1328,up,post_vs_pre,1.7095981547523156,23.21020364853603,1.8125931943993911,1.3128956264258322
13373,down,post_vs_pre,-22.43066624885281,-27.118931191022714,-22.647710742956026,-4.943598782032432
13687,down,post_vs_pre,-22.476678010383953,-1.9912306006301908,-4.498618286852417,-4.8394875600607925
137246,down,post_vs_pre,-1.2571264761739396,-3.6306024705614237,-1.6022054239578556,-24.95977541995389
1430884,down,post_vs_pre,-24.617913046089186,-5.079465622233947,-24.53907150395145,-22.230447640497108
1437443,down,post_vs_pre,-23.412905661790983,-23.656899815770092,-24.08279436119696,-20.83394636977453
1437444,down,post_vs_pre,-3.37447414338903,-30.22672194629674,-4.900227061624843,-4.297761094219839
1439852,down,post_vs_pre,-20.849733273721615,-26.147304502905605,-19.342326851939106,-21.01536893941025
1454000,down,post_vs_pre,-24.61460768984268,-5.713213167438328,-4.313719089213542,-2.803160526376741
1457154,down,post_vs_pre,-22.043369460218383,-26.50829012427242,-21.84391685145711,-19.300003569600605
150022,up,post_vs_pre,4.800975383088057,28.92282892470445,4.726688880467826,3.107179671850287
1502763,down,post_vs_pre,-23.578184901181583,-28.5875366909841,-24.337155638416473,-22.83316648424512
1538295,down,post_vs_pre,-24.285336126565888,-28.59880291338808,-28.330777181593263,-21.831422450366098
158836,down,post_vs_pre,-24.853382378812405,-29.966154097380144,-3.4713981815895076,-3.641713913265477
1603291,down,post_vs_pre,-24.241239510799776,-28.42052154797951,-23.638234484689043,-23.87513833727063
1639,down,post_vs_pre,-22.087829596220658,-2.614572823919046,-2.7608528480167167,-1.449063198984334
1649647,down,post_vs_pre,-23.836343164238343,-4.057765729492438,-21.159517622973453,-22.026517420254045
165179,down,post_vs_pre,-26.825515757465542,-6.049121555148568,-1.88708847788044,-2.3579844360411113
1660092,down,post_vs_pre,-21.89898825977521,-26.025941200495552,-20.323736333052295,-22.25476333281198
1714344,down,post_vs_pre,-20.489153778506157,-27.658226334963715,-22.535867481907896,-20.433586288596473
171549,down,post_vs_pre,-28.606651690194656,-5.586929209536779,-19.634905344472163,-2.7113977492377326
1729892,down,post_vs_pre,-29.813675308904145,-31.4215037116716,-31.72966065219728,-27.761077646175895
1736430,down,post_vs_pre,-25.35575726580063,-27.931937948584334,-25.978675793968787,-23.558638608836727
1736434,down,post_vs_pre,-24.979916562195584,-26.907129705510556,-25.61475016634031,-22.718903033870617
1736464,down,post_vs_pre,-25.755292561849192,-28.382351537416543,-26.78241197644191,-24.06302677775389
1736528,down,post_vs_pre,-21.1870300179473,-26.961459263104906,-23.335844053762187,-21.59766047101724
1752,down,post_vs_pre,-23.29800117116538,-1.9713457153068745,-1.8940246085128745,-1.5900994374478545
1768242,down,post_vs_pre,-23.684396481930882,-27.259171442533475,-25.08050000546285,-22.225290309252273
1769250,down,post_vs_pre,-24.876590038532314,-30.000107579343563,-25.697059844209853,-22.810715843192625
1781066,down,post_vs_pre,-22.165562653906893,-27.192935246921955,-18.95992526099352,-24.320611486585033
