feature,direction,phase_compared,C001,C002,C003,C004
1055352,up,during_vs_pre,19.8075356589721,2.5353112232078665,22.27519069745095,23.058227078539495
1235787,down,during_vs_pre,-21.520814136088127,-18.56193690234313,-25.238837575133342,-19.738161489373127
1263044,up,during_vs_pre,23.72335848300251,20.138761636764215,22.441612991100943,20.651204084778904
1268,down,during_vs_pre,-2.404403521861097,-1.531547287632318,-25.97506169346821,-2.5241822436849812
1283,down,during_vs_pre,-1.8757016533157933,-2.441067633365606,-2.5104496852021017,-2.376353597741634
1287313,down,during_vs_pre,-19.41682054891992,-21.071287276534953,-22.268565609870294,-1.6778690107916383
1290,down,during_vs_pre,-1.2257437252159542,-3.0038715809461105,-2.9534650975372054,-2.0813188326798455
1299331,down,during_vs_pre,-17.477378830106847,-23.31568076047821,-21.199899731026655,-23.674439652806647
1395572,down,during_vs_pre,-5.972435766108213,-22.151016595731342,-21.777427459848308,-2.1905875754904547
1436122,down,during_vs_pre,-3.257864153264059,-2.649467071021141,-22.316163004333827,-1.7094878821019008
1471400,down,during_vs_pre,-1.027872942846573,-20.92612435298359,-22.5605152957586,-22.1987696692726
1581077,down,during_vs_pre,-23.209145831113393,-3.0110319954561806,-23.247557716887318,-1.4912433270545367
1680,down,during_vs_pre,-1.7898635885203633,-18.878184671289322,-20.769954780244326,-1.3323536437166388
1725,down,during_vs_pre,-1.3698225389837306,-1.2067657212517184,-22.950873338787115,-3.3999178803673598
1729892,down,during_vs_pre,-25.241495750725413,-18.375599718285248,-30.91788929906404,-25.916481392970617
1783272,down,during_vs_pre,-1.5794967070393868,-2.569805530375555,-1.1582878624175057,-1.682842779326536
1852891,up,during_vs_pre,1.8739816842677794,24.170358605412932,2.5224228141494334,1.4368635000500585
186826,up,during_vs_pre,1.3509392526524584,1.7751076442130742,2.102515689377666,2.554437347508735
1891238,down,during_vs_pre,-24.760926260934355,-22.771283965823407,-8.78366807919154,-24.75604432394806
1895737,up,during_vs_pre,2.768026849225486,20.34275353608746,25.576193164027547,23.983583618775725
1945509,down,during_vs_pre,-1.3452734802753794,-5.854657250365899,-26.510634577398015,-2.0012021566863814
1978230,up,during_vs_pre,4.363288203589278,20.97638730228647,4.8002108684511295,25.136734267806307
2035434,up,during_vs_pre,20.718125539683484,2.138748509533872,4.206755066734241,5.244719944610403
2043165,down,during_vs_pre,-23.335656104598602,-21.958203713820662,-24.38976115419141,-22.636927381706666
2478914,down,during_vs_pre,-20.381552812339574,-20.41562450728648,-19.655867025394667,-22.17556227908965
2653131,down,during_vs_pre,-18.023515446604776,-1.5381981028130889,-19.948027630080155,-21.29637014790539
2653154,down,during_vs_pre,-2.895005476715908,-21.83193830839913,-23.53635011330105,-1.7928842303962809
270351,up,during_vs_pre,19.482447027045627,1.433793224595317,1.513986899924995,4.215355080073399
28035,down,during_vs_pre,-2.265854043950739,-3.0336361142799975,-1.626195386437697,-2.3622686638874635
28216,down,during_vs_pre,-25.193722198403908,-18.388273303888937,-30.48502370937144,-1.8714906564269662
335058,down,during_vs_pre,-25.00071591305142,-18.119391159652356,-30.10907639614605,-24.638878168800545
378806,down,during_vs_pre,-3.600206818560264,-1.6004148066643136,-1.1001558380530316,-1.7603810776301347
41986,down,during_vs_pre,-23.733713208418255,-4.739945787145591,-22.080117718792998,-2.8096072952774938
435837,down,during_vs_pre,-2.467465699945566,-3.691814072447427,-1.8161465747831647,-2.175283037206529
48736,down,during_vs_pre,-25.54466362505962,-18.383966866270146,-8.907308846951523,-26.16210037806991
566549,down,during_vs_pre,-23.56473884084742,-24.77368474900485,-22.80548106022537,-1.1100966004312502
610332,up,during_vs_pre,24.027155020434876,21.53390606128885,21.597136183838515,6.434935866389946
679194,down,during_vs_pre,-20.385459659969413,-24.899186590587735,-25.178512379962516,-18.942185562606955
72274,down,during_vs_pre,-21.024903866114563,-22.969922439508373,-1.3202413667483692,-20.70960551049622
72557,down,during_vs_pre,-18.77707391483392,-22.08766052749219,-23.32910087597205,-2.590902283990836
765084,down,during_vs_pre,-18.965367567311972,-23.62730325312593,-23.726522815608085,-16.309239083896216
80840,down,during_vs_pre,-7.016609493506384,-20.36637562030247,-9.744243582771634,-5.185102548669726
84998,down,during_vs_pre,-3.1387623751025275,-3.1251666653532615,-20.991252765519718,-19.585098527408736
85558,down,during_vs_pre,-1.8935257827766228,-2.943944377204377,-25.577866538607527,-19.855347427185105
91994,down,during_vs_pre,-24.43331043485897,-2.9412598671320183,-23.241290469266893,-2.1508860510556467
