feature,direction,phase_compared,C001,C002,C003,C004
1224,down,during_vs_pre,-2.497485054125466,-5.181512333439225,-2.2149393295477067,-1.3941234518225925
1288,up,during_vs_pre,25.51989538297674,26.235818444509903,1.625859312135736,26.643316042922347
1830,down,during_vs_pre,-3.240188091114831,-1.4891344918478275,-2.0483282596855017,-1.9565854043759283
1852825,down,during_vs_pre,-1.938758549114195,-23.196914446453412,-23.772250643129194,-27.71132851784002
1866931,down,during_vs_pre,-2.8201391699606946,-27.338652388235666,-23.77432070194542,-26.827623351824432
1945509,down,during_vs_pre,-2.2034839259605956,-25.143540082054116,-26.39068794621283,-2.3471165587662095
196164,down,during_vs_pre,-1.9464444493599697,-25.669352223860425,-3.261871497711395,-3.264406053856389
28447,down,during_vs_pre,-3.5563648199673397,-26.143029984836893,-26.238697291865087,-25.806988518482527
33013,down,during_vs_pre,-1.883943363946744,-24.901766619770154,-1.0934029383682744,-1.720654057006871
40324,down,during_vs_pre,-1.2122797559226093,-26.457216924606342,-2.092563332446447,-5.934432608495856
411903,down,during_vs_pre,-2.4104804107326125,-24.552580948470077,-25.646782678142245,-2.362748042190876
765077,down,during_vs_pre,-25.52209542057143,-25.568241563502244,-22.972042088351074,-3.9306795149841016
765089,down,during_vs_pre,-25.950506257418553,-27.946164998311673,-24.03763777625405,-24.802910416249112
765123,down,during_vs_pre,-24.7801608370241,-26.44486498556836,-23.64790682232267,-28.605484593856094
