feature,direction,phase_compared,C001,C002,C003,C004
1010610,up,during_vs_pre,18.394813456826164,24.36165069722784,17.96769686112026,21.38368162991753
1033,up,during_vs_pre,20.356283865914385,25.54347175696946,21.118811079664752,25.364075893384868
1035,up,during_vs_pre,3.73553769958367,1.8168035703666314,1.1904750632670282,4.527618224396212
1038867,up,during_vs_pre,17.567148199232477,24.4160467076548,19.35890833789252,5.241334459800043
104102,up,during_vs_pre,18.6425240501013,25.177587897890884,19.907330252588846,23.482872486096188
1043206,up,during_vs_pre,19.67978326945493,23.665369428487246,19.07134615583775,18.47035762099621
106592,up,during_vs_pre,19.407716878830563,23.906085979569664,16.179625037052066,19.995418070099213
106654,up,during_vs_pre,18.5280643394366,21.66233936960183,17.464272927832276,20.912459367735895
1071,up,during_vs_pre,19.36456737258752,24.482467401774365,21.21507126926787,23.61634113620608
1076,up,during_vs_pre,20.0702487322108,27.425038085391957,21.79113139876905,24.158695170842673
1082,up,during_vs_pre,17.648857732181312,24.865375824840687,20.868384800757045,23.386687635803685
1107882,up,during_vs_pre,18.25401734334121,22.3995970458206,19.080281899204934,21.357675057157987
1112214,up,during_vs_pre,18.861818733544197,25.195593817582264,20.028764129855237,23.86621171878629
1113,up,during_vs_pre,18.76984339521132,25.372803441934234,20.053614631775066,23.649223767784356
1116369,up,during_vs_pre,18.50116022633943,22.45274742118943,20.935027125424238,20.069709004165624
1126,up,during_vs_pre,18.40849102737142,24.306937231579255,20.257900521724345,23.447248714021516
1144304,up,during_vs_pre,21.933401115682706,28.487152998929922,23.09107384125073,26.92489209945666
115808,up,during_vs_pre,18.964105357495065,27.482321545372756,23.262307889486596,23.72497904211012
1176177,up,during_vs_pre,19.084674328850873,24.377005804039,19.362841734862936,24.024664143517665
1176539,up,during_vs_pre,19.22579395433235,24.537188516316373,19.555986216994583,23.54598779465742
118882,up,during_vs_pre,18.612359913237356,25.43694260310756,20.30008207390764,23.533774487284084
1192034,up,during_vs_pre,18.574021971992302,2.9533718702349043,17.369447765728857,18.249792196708814
1226748,down,during_vs_pre,-6.521384630843393,-27.19210594194122,-2.400560689037823,-3.1505896030946787
1245469,up,during_vs_pre,19.53615631330749,4.916010284337745,23.420516818880923,25.243855622000904
1282362,up,during_vs_pre,20.640790160866846,26.52250203679652,20.80403018010106,23.944195253478544
1287106,up,during_vs_pre,19.284692327834282,23.41656540948844,19.3417548248501,20.27594358317102
1287277,up,during_vs_pre,19.05224093365592,22.69960717076849,19.027088335477846,19.24150421452734
1287313,up,during_vs_pre,18.91229389279849,23.703389072304912,21.00197798192661,23.27562063968373
1287736,up,during_vs_pre,19.293686162496734,25.201194418352962,2.047123441272419,21.651239569557163
1296,up,during_vs_pre,20.71397623838491,1.5040648990341854,20.683481620532305,3.059992593509837
1298862,up,during_vs_pre,23.540518060993737,28.869717763435737,23.696513117282837,27.757210313952665
1314,up,during_vs_pre,23.583618859340728,26.223351867224586,20.45979396539189,3.170819344318814
1355477,up,during_vs_pre,17.392927391606275,1.2575194280623436,20.7813986099249,2.9883028209781077
135614,up,during_vs_pre,19.49082429799643,1.5458853844356863,20.11807293455408,24.390251550605942
13687,up,during_vs_pre,23.01133254662279,3.9194892622253237,23.802302909014635,7.834598748918569
13689,up,during_vs_pre,1.411022509815467,24.45258719181348,17.99283395929395,21.704806476891505
137246,up,during_vs_pre,22.85005927567655,2.803871256662726,5.407568615167151,5.41351053613719
1379159,up,during_vs_pre,19.058917345665712,23.871575737463843,18.45987195918757,22.558393928879912
1380391,up,during_vs_pre,20.10365009045388,24.9802802860155,20.067417111337473,23.485710688554963
1381597,up,during_vs_pre,22.990890955522207,28.806969795428497,23.451188852913162,27.228830647676123
1395637,up,during_vs_pre,19.346160738565338,25.31947798905212,17.776227357413827,23.454854626586428
1445034,up,during_vs_pre,18.75310498660208,26.579254864419333,21.46409810812981,24.776229193766294
1449049,up,during_vs_pre,17.79353923332409,24.198730884891017,20.19617073100617,23.137834075794526
1449348,up,during_vs_pre,2.6590666051990755,3.145497346436819,3.269563446853672,6.421122316387696
1463164,up,during_vs_pre,5.328219678725336,1.5010232411580668,1.8895509242051485,2.8801262312295273
1473586,up,during_vs_pre,19.761661651968343,2.392094494260627,19.467078922294103,23.332171461067496
1473598,up,during_vs_pre,19.955188622633177,25.598180443833176,20.58410439282382,24.140411037371788
1486262,up,during_vs_pre,19.101960131078844,25.188945724435886,19.44960375063159,23.23610828367925
1502724,up,during_vs_pre,18.158895332889333,22.68110442602589,17.738452182612107,20.37315636788434
1502775,up,during_vs_pre,20.32230407906187,25.38232890887993,20.748173191934423,23.097747924259178
1502850,up,during_vs_pre,20.545539424413086,26.379449227069774,20.693631945191132,24.122018887811457
1522316,up,during_vs_pre,16.78369690309805,28.365304136619272,22.784970541645485,6.236138074189608
1523418,up,during_vs_pre,18.42881340724722,24.432836918388144,18.804852363314694,23.59891404545643
1543705,up,during_vs_pre,19.32067169484623,25.427488767133177,19.085768965311075,23.090514785590766
1547437,up,during_vs_pre,18.4505128921834,23.146411404906345,17.800135415140552,21.796893036812683
155892,up,during_vs_pre,21.35948405205718,27.493367757562975,21.94985013897665,25.840277628370263
1560345,up,during_vs_pre,19.52306971814101,26.53675069642207,21.32101920936438,24.97447205692233
1566379,up,during_vs_pre,17.410178261704914,23.451312695737922,18.13849948560471,20.639641138161288
1566387,up,during_vs_pre,21.941358821021044,26.29312497897407,20.488405180403714,25.709479798104727
158836,up,during_vs_pre,1.9657352038837552,1.5705996074805928,5.264036135623769,2.6145323969004175
1614636,up,during_vs_pre,19.2705037240954,25.453355194808903,19.824051357640077,21.725561407026298
1628746,up,during_vs_pre,18.783687312602684,23.958629532815227,18.100042765359817,21.47623718475396
1628747,up,during_vs_pre,20.458562878875863,23.525190879610815,18.88978781057964,19.53499168058753
1629712,up,during_vs_pre,19.14282821997878,25.177828015283477,19.4959974627557,23.237044353318705
1631247,up,during_vs_pre,19.612825112705323,1.6925667072258614,19.067814069073137,3.6670456408854313
1631249,up,during_vs_pre,19.740811026227,2.6598901380968676,18.08140705170539,21.238745473779883
1641861,up,during_vs_pre,23.699691753684,29.399153605900363,24.16321190557977,9.53696055767957
1641865,up,during_vs_pre,19.920295329459453,25.0899265447063,19.396755193485703,23.446241050667297
1641869,up,during_vs_pre,18.957709791393384,24.982250665809545,19.7970565377058,23.793870412512863
165696,up,during_vs_pre,19.92575585153819,26.056854226173257,20.80620685137186,6.790157839199457
1660128,up,during_vs_pre,19.55966359778214,27.943423094012466,22.42742399012957,26.3471974966629
1660129,up,during_vs_pre,20.3592577131996,24.66020062066152,19.4959974627557,23.698070524496064
1660141,up,during_vs_pre,18.974238569091483,24.686775843518006,19.744765507451383,23.217855062761654
166953,up,during_vs_pre,16.970259295504736,25.1308287161411,20.083191910393122,23.462972390325938
1679497,up,during_vs_pre,21.824015875225975,28.484166502991144,23.40365134655365,26.889908080900987
1680159,up,during_vs_pre,16.857722091907174,23.958485270532982,19.267016862381677,21.6647057017074
1715348,up,during_vs_pre,20.12210266326646,26.31067343930631,21.399734553777158,24.5512024490961
171674,up,during_vs_pre,20.389375054205775,25.681183466666766,20.56654949212108,24.376108145124494
1735121,up,during_vs_pre,19.618306118630677,24.929587283385086,20.30667111621195,23.445948366149754
1736386,up,during_vs_pre,19.836188499831206,24.37352049347373,20.276645936142174,23.72076367099718
1736443,up,during_vs_pre,20.044599339593102,26.381843183732453,21.706063582030794,24.25764622645764
1736547,up,during_vs_pre,18.756196233593524,24.631165150304483,18.17677480586717,23.558642382047886
1736578,up,during_vs_pre,21.906908862121767,27.25327776663354,22.715862502701242,25.811409576206117
1736591,up,during_vs_pre,21.68312364553676,27.487529151296688,22.081256381398173,25.672778789188982
1752722,up,during_vs_pre,18.460677592683354,24.543447741753557,20.117485156593254,23.361564555928428
1768768,up,during_vs_pre,17.315111855115305,25.093983154145214,19.073602646957962,23.740391388218058
1775474,up,during_vs_pre,19.532479977317507,24.60234142844708,20.08095931308761,22.936054759409004
