feature,direction,phase_compared,C001,C002,C003,C004
1051006,up,post_vs_pre,1.2313771499798989,27.10322511496768,1.3740569937243883,1.1586265043711974
1263030,up,post_vs_pre,25.50718582415857,3.775850698062767,3.865991621539126,1.460966215946401
1276648,up,post_vs_pre,27.808858762480707,1.8653656716151292,1.3793353323869286,1.1852586182460032
1358,down,post_vs_pre,-18.427397831464916,-1.5735992340721285,-19.45536257561702,-6.735581977710355
1898207,up,post_vs_pre,3.377607604903388,21.467250375840386,1.1910065741113194,17.22633316387926
2653130,up,post_vs_pre,21.08366734883939,25.16917032676397,23.1122900745075,1.4141830541997658
307491,up,post_vs_pre,3.0920610402838427,20.632675693742854,19.244046764563112,18.643120928782768
314271,down,post_vs_pre,-18.261582434218784,-22.051980643076043,-16.165764427330657,-16.533262645218958
570,down,post_vs_pre,-1.5078757877870153,-1.03901946700473,-17.215364332305892,-19.32822586275836
7375,up,post_vs_pre,19.166839952562057,21.592754838167576,1.3058623734990833,19.160604135327393
765075,up,post_vs_pre,27.894889500091487,4.98189118863058,1.0087386501766133,26.78751846669661
