feature,direction,phase_compared,C001,C002,C003,C004
1035194,down,during_vs_pre,-1.6222870945972405,-26.84481722080937,-25.71459623500887,-24.084440982983967
1095737,up,during_vs_pre,1.4264098070570626,1.127364946511954,1.2535709555067616,1.675703814848689
1263013,down,during_vs_pre,-1.4034678850168971,-26.13003996882567,-21.447340049410755,-20.11531529892252
1403932,down,during_vs_pre,-2.4028628312998586,-24.980234857899678,-4.425587358472691,-3.7444167796238053
1437444,down,during_vs_pre,-2.8113066685089287,-25.02304175346632,-23.723558111909526,-2.205329981481058
147207,down,during_vs_pre,-1.7934003799016665,-24.820372417013818,-22.25912716449665,-23.711433526367323
171552,down,during_vs_pre,-2.1490187835545256,-25.385016834720552,-1.0320856088277206,-5.583156258674794
1752,down,during_vs_pre,-4.496445776017432,-21.518048009574766,-22.94964119599245,-22.634331641324945
1860161,up,during_vs_pre,21.944675939351598,3.4517654491954635,1.1776251721298057,3.16905164053125
1924944,down,during_vs_pre,-3.287824176134508,-25.591845358244253,-3.083386077710347,-5.95765343364112
1960084,down,during_vs_pre,-3.1928071453783153,-26.832177870638642,-1.502806450514306,-19.392647655643067
199,down,during_vs_pre,-4.71262165878737,-24.65634037616095,-23.88356072693296,-20.244103301495937
2018661,down,during_vs_pre,-5.036022709605433,-25.7401323798354,-25.09956316144491,-23.046609845265454
2049431,down,during_vs_pre,-1.023012564296788,-26.345928372750684,-22.744503385999394,-1.1498571019388004
2689056,down,during_vs_pre,-1.4630809560232416,-22.69433027397214,-4.5912023712747745,-3.6151544773106012
28131,down,during_vs_pre,-1.762389557153014,-24.675287835322393,-21.433876096530533,-19.638836591032913
29465,down,during_vs_pre,-1.7701772258298032,-29.932377583393418,-8.639430896433412,-2.7129241271114446
29466,down,during_vs_pre,-2.061380228464153,-23.743124190492786,-27.11015404331934,-3.947765261983726
305,down,during_vs_pre,-1.8151513336916723,-24.870317830411796,-23.343138227756654,-1.9803081596827101
39778,down,during_vs_pre,-2.0041172247916768,-24.436095979559486,-28.183545931713628,-3.158823207674573
40324,down,during_vs_pre,-1.4456897907859432,-1.0545914123261684,-3.0052729172444264,-1.5875215676291499
488,down,during_vs_pre,-2.118497349855539,-25.254190903602904,-4.442679228848723,-24.9755638059947
655813,down,during_vs_pre,-22.985664311236114,-25.017232736110778,-23.211161242277594,-1.2748186559893724
680646,down,during_vs_pre,-2.3406735111941046,-25.9981709649317,-4.722862203727969,-1.5051807936533463
762948,down,during_vs_pre,-22.75253743896181,-21.277671401194873,-19.768218498641836,-23.8329061622384
77133,down,during_vs_pre,-3.2665006575483257,-26.426207458919507,-24.411182566291114,-1.580046374121877
883077,down,during_vs_pre,-1.5080944974978325,-25.62919472320969,-24.034935720941746,-23.75680740002243
909932,down,during_vs_pre,-1.951382540385772,-26.29063620987729,-27.351373504111844,-3.1221956776671598
976,down,during_vs_pre,-1.5993071298581236,-28.19080542621524,-2.4105467846818707,-26.51282750313295
