feature,direction,phase_compared,C001,C002,C003,C004
1095752,up,post_vs_pre,3.460223144635872,2.4039366385917265,1.8798038665226111,22.51136218402118
1263059,up,post_vs_pre,1.4456556124672502,21.91392474675508,2.3079754411207745,2.794207671845376
1321775,down,post_vs_pre,-25.44662200321725,-24.72639990490716,-22.22803536953898,-19.667994111260043
1762,up,post_vs_pre,2.043178823927507,23.9534863768575,2.6570205490975667,1.5795713653762822
199,down,post_vs_pre,-6.82365240985565,-24.65634037616095,-23.88356072693296,-20.244103301495937
2291323,up,post_vs_pre,24.533823424608894,1.105882462743002,3.00511689955401,1.3295469473744126
2691890,down,post_vs_pre,-22.37799403823806,-22.23837139088483,-25.036724681673203,-21.235904257127853
28137,up,post_vs_pre,22.651249753207583,27.763618798296513,24.82257518135232,22.208465754259368
404941,down,post_vs_pre,-1.0834930058263532,-25.77958274298679,-25.225076787161285,-21.644947285513418
44737,up,post_vs_pre,21.210493831895775,22.09768570983578,1.5712936540286027,3.528700248069194
936548,down,post_vs_pre,-5.200670724673176,-2.8130667642271745,-21.90705138351538,-2.1179241158404762
