feature,direction,phase_compared,C001,C002,C003,C004
101571,up,during_vs_pre,21.398454910907237,19.607097667321497,18.42259392451443,3.6866687594990184
1035,up,during_vs_pre,22.016402905988677,22.552439225293003,20.413402630851618,3.8112012893370095
1113,up,during_vs_pre,18.671990512749154,20.084539165455478,18.416364278790684,21.06840132702325
1144304,up,during_vs_pre,22.030284731561483,24.192931366579376,21.03209772585922,24.69468711317108
1297570,up,during_vs_pre,20.278395272938656,20.620823802007457,19.458576981777007,21.481757433890582
1298862,up,during_vs_pre,24.42257657795316,24.742555125079875,21.79562044118259,26.086138254271965
136849,down,during_vs_pre,-20.783356316147035,-17.78593985049394,-2.5849963872404875,-21.88363670792328
13687,up,during_vs_pre,23.968201017916954,24.30959559293179,21.427648673498908,7.560206703519228
1381597,up,during_vs_pre,24.2038785204298,23.906688534162154,19.982157958998666,25.86557315192486
1403938,down,during_vs_pre,-1.0457051851409591,-17.566919381859737,-26.064780218061895,-2.569021138646972
1449348,up,during_vs_pre,22.038171571557772,22.707515269443082,20.11634126390514,4.916506221133378
1560345,up,during_vs_pre,19.874292333950784,21.906357277170887,18.817854871029084,21.268406694783245
1566387,up,during_vs_pre,21.02644156880344,20.665664983182054,18.70052886519592,18.81426565075122
1641861,up,during_vs_pre,23.877670613988226,24.899574451639815,20.90979235213886,26.61407804650544
1660128,up,during_vs_pre,20.60945530010954,22.94083989600888,18.461349859162627,24.205229972157667
1736591,up,during_vs_pre,22.546962258893394,23.141797657000104,20.285634546583392,24.502353422772547
1752722,up,during_vs_pre,21.07304445720162,19.777055944696798,19.355695041453217,21.630987859303744
1813876,up,during_vs_pre,24.68521878539748,24.687827969105292,19.239138162824236,26.25631203978813
1855292,up,during_vs_pre,20.064754212224045,23.130231441948492,18.72078472341784,24.15339712232542
1871053,up,during_vs_pre,24.899434043988105,25.96134948459169,21.88227428512392,27.437596611557208
1871066,up,during_vs_pre,21.31147400220872,20.74278826329886,20.750537228369744,3.631771103767691
1909294,up,during_vs_pre,20.817428248224076,20.6532194684389,19.934698977896794,4.107807626461769
1913988,up,during_vs_pre,3.248188090054792,24.21410946913415,21.59121413066542,5.841553320766363
1914756,up,during_vs_pre,23.283576408636524,22.7375866230851,21.10364134193231,23.67681246828512
196159,up,during_vs_pre,23.909116155996873,24.94026189585923,20.200300541682672,10.460366965090866
197,down,during_vs_pre,-20.843458032894112,-26.621771803983886,-21.75405154723722,-21.966434966515873
1978230,up,during_vs_pre,24.994125448559824,25.623927312844913,19.36263979919708,27.390633806395112
20,up,during_vs_pre,26.451368036560627,27.17747538796719,22.268185959385335,28.43647917296836
2015570,up,during_vs_pre,22.043186088969183,22.692322093915394,18.70341670141126,24.62242322133197
204458,up,during_vs_pre,28.38616631992841,29.27792597709673,24.443723717616493,30.506141104322715
216816,up,during_vs_pre,2.708766610459835,21.167377295199522,19.878121998929675,5.651428668868325
2170551,up,during_vs_pre,22.60174004340382,22.074827507445107,17.43024876047717,23.73183959072605
227290,up,during_vs_pre,20.120340325625953,21.856937725611907,19.640868624886807,3.2553073752754873
2282150,up,during_vs_pre,23.845043746840553,24.390256799691805,20.66009472648339,26.184175921107908
2305463,up,during_vs_pre,22.829496421293133,23.959661057042883,18.993823041866097,26.12811948273673
2575739,up,during_vs_pre,18.629767466267566,21.00095150326333,19.55355155143731,21.19373945959121
2589932,up,during_vs_pre,20.00873798554805,18.943609139749043,19.170152586381402,20.834817930921854
2622653,up,during_vs_pre,20.41391111150489,20.68288804846814,18.836935865193194,22.7238419318078
2630922,up,during_vs_pre,20.248822513816396,21.726716124072023,18.581484109001455,21.20817191841439
2640670,up,during_vs_pre,24.947266787782468,25.5333915067917,20.981495283094855,27.309507321939183
2648921,up,during_vs_pre,26.598850230851465,27.487812700000802,22.221236864852905,28.67648985168166
2663834,up,during_vs_pre,22.32535306110483,21.142497010769983,20.83162671536013,22.0667088907202
2709382,up,during_vs_pre,21.94418786110637,22.04066302168774,19.563571861540783,24.080738620834197
28077,up,during_vs_pre,21.12015143336623,22.921488887118272,18.72631362144363,23.697984907367285
284016,up,during_vs_pre,21.927985649017007,21.80627546784894,20.71265176002649,24.161206494092355
288000,up,during_vs_pre,22.441800490967545,24.615220482991795,19.809937345737666,7.567254414885574
305,up,during_vs_pre,4.447345122323496,21.465655583693234,21.452836796666237,1.2091430311369227
325217,up,during_vs_pre,22.79365204193157,22.37595996754499,22.18133250978089,23.89835799579119
356,up,during_vs_pre,1.7416305340355431,25.512287640442693,23.101360214433758,5.208552786622674
366602,up,during_vs_pre,22.384259787583144,23.72809597371158,19.34240369044059,23.962144764266245
