feature,direction,phase_compared,C001,C002,C003,C004
1003195,down,post_vs_pre,-1.7408998481363624,-18.17218063030114,-24.358716299685288,-25.1635886208075
1581072,down,post_vs_pre,-19.175354543919184,-19.141017907813804,-22.926566650596044,-23.05733536992329
1766,down,post_vs_pre,-17.295685295198233,-17.07838903988536,-26.998791181807842,-17.913036740237832
1883427,down,post_vs_pre,-25.780611680943345,-18.239450168057008,-26.15447188476858,-2.773915475326697
2766784,down,post_vs_pre,-1.4511129167484635,-28.927232694182536,-27.753970450244143,-25.55623776918161
28447,down,post_vs_pre,-17.198630103874315,-20.284269649185333,-1.6123364937145617,-18.248376817036227
694573,up,post_vs_pre,1.73074995377189,21.25945825248727,1.6706554461818286,2.295898989582159
765064,down,post_vs_pre,-1.6199673561126084,-27.134024033898765,-27.04691225997517,-24.654325894385874
765089,down,post_vs_pre,-24.778984240959286,-26.862254405111845,-27.71486858434953,-18.93408107742739
765105,down,post_vs_pre,-23.461636046203438,-1.1066907502406051,-1.9700072696696767,-18.81506534894573
