feature,direction,phase_compared,C001,C002,C003,C004
1144304,up,during_vs_pre,24.150648604739967,21.899459206587192,21.015169195650763,27.167810916262603
1239,down,during_vs_pre,-1.60896840659036,-22.26987989184805,-1.365935105825695,-3.731573327049494
1310114,up,during_vs_pre,3.479864720479204,22.96259013407832,2.8826304561871834,3.68106038421701
137246,up,during_vs_pre,5.306042046583952,23.123991752806518,22.228246934060564,1.6961079311495413
1381597,up,during_vs_pre,23.91363504884955,22.10340595913994,22.397836536082696,7.6571781401144925
1739403,down,during_vs_pre,-25.00199990890991,-1.6411151433685491,-26.343163396106057,-24.519320131850343
1750,down,during_vs_pre,-1.6426798779696838,-26.316712830430426,-1.5883265540372935,-24.760555612911382
1813876,up,during_vs_pre,24.743801047464334,21.950354585509476,18.834579756274714,28.571741696244562
1829,down,during_vs_pre,-26.39605544531759,-3.013370095080395,-1.8298434005228406,-21.44243699900987
1883,down,during_vs_pre,-2.1541026510585852,-3.4025329280248666,-1.0518675349200954,-1.011317722798664
20,up,during_vs_pre,27.085845716377932,23.860776695545812,23.729171649491857,9.350053924672194
204458,up,during_vs_pre,12.726777874100842,24.836550790170715,25.53652365586306,9.496640376233236
2049,down,during_vs_pre,-2.409641180490093,-4.50339670562277,-1.5264603060555308,-4.009070562010748
2170551,up,during_vs_pre,22.948415322903212,22.265645843717984,20.40067007968849,9.031053479947095
2305463,up,during_vs_pre,24.241378769043443,22.82067321584592,20.772713293371073,27.448791131897785
2631580,up,during_vs_pre,8.988866559221615,21.862493575157696,4.457251898897125,4.067117952325965
2648921,up,during_vs_pre,27.1792616314746,24.564947388953364,22.875865980072234,9.444012335517446
2734912,up,during_vs_pre,24.383310430954918,21.978633104888907,18.720212985920714,2.7087077406521454
28211,up,during_vs_pre,9.329096447927153,23.993460955040156,1.095878397724654,4.943623934628609
288000,up,during_vs_pre,28.532422274380743,23.78747428207057,22.67898656976813,7.373090823945339
41275,up,during_vs_pre,24.64540317508258,22.005450624329484,21.792212912228788,8.84353496717923
41294,up,during_vs_pre,12.807205486860584,26.339688819107014,25.111850174047863,4.938072966035294
489915,down,during_vs_pre,-1.0814358572257687,-4.022867104469799,-1.5425164230540795,-19.655257966187367
68287,up,during_vs_pre,29.898287286270005,23.24526767128527,29.271982929861966,9.254654346217727
69666,up,during_vs_pre,26.376567045684762,23.045637017416446,21.17068251926569,9.380377294084283
72581,up,during_vs_pre,25.653642028319762,22.544819213066575,22.526482378895096,10.843112649013264
75,up,during_vs_pre,28.618430268329583,24.093835454609707,25.286849052438875,7.8884474510735805
767398,up,during_vs_pre,3.928389237477233,25.30463472292676,1.0396319559922929,1.079273698391571
76892,up,during_vs_pre,29.08575512759359,24.39527090405726,26.08267549283013,9.54115347294249
909613,up,during_vs_pre,2.591271915622066,25.329225019325346,3.0553202244778928,1.8731244360203003
