feature,direction,phase_compared,C001,C002,C003,C004
1033,up,during_vs_pre,20.72683873818401,1.0670923480065133,27.770849219080105,25.702581570117662
1035,up,during_vs_pre,3.5390547517840534,1.385943552642218,3.9592605955555022,1.1939862821471257
104102,up,during_vs_pre,20.27226384514342,21.54608483610298,25.519860678685625,24.71080133244884
1042403,down,during_vs_pre,-23.417366795000774,-20.776236396213772,-17.618956428266856,-22.965281316245644
105487,down,during_vs_pre,-25.609967136093655,-20.682787154722597,-22.06634038203294,-24.45873816590864
1071,up,during_vs_pre,20.515644743113686,22.344154182011284,26.42394604657571,25.995944573922557
1111131,down,during_vs_pre,-1.322226902067846,-19.79823920784014,-22.22791860386966,-22.228981242597673
1114960,down,during_vs_pre,-20.685207766075592,-19.47743694147659,-24.029513784939407,-24.458229180284466
1125779,down,during_vs_pre,-24.982636372823656,-24.036954424556075,-23.44496350819866,-22.702742668158084
1144304,up,during_vs_pre,22.53518138721458,5.036837075909601,28.863636610590806,7.022562758056517
115808,up,during_vs_pre,18.216751390220594,23.719992872424243,29.1430097137247,26.131448569976786
1175452,down,during_vs_pre,-26.76853126345295,-19.96240596611606,-22.21588374060858,-25.219065784450063
1176539,up,during_vs_pre,18.826829353362452,20.65838759630472,25.368061098904736,24.96464662869516
1181884,down,during_vs_pre,-19.705584077305307,-20.14185464689689,-23.63086105491122,-24.81409057814158
119060,down,during_vs_pre,-1.1937682442724384,-6.298210342051532,-1.8994813089989289,-2.8761455505833182
1207055,up,during_vs_pre,19.361238177377594,19.72121013857577,25.529124019011764,20.43543546010348
1213189,down,during_vs_pre,-17.864331683054466,-21.196392886565,-18.970357000896502,-1.4818607252928513
1224,up,during_vs_pre,1.832000200530193,1.0094791951832067,2.1102054367186365,1.2956940742908485
1260,down,during_vs_pre,-8.699911461743646,-8.701223726575229,-8.952558039299074,-26.92637252889866
1262694,down,during_vs_pre,-17.527673827625332,-20.599394940047283,-19.911283098043192,-1.98062235526605
1262989,down,during_vs_pre,-23.66681140241985,-19.845726851400887,-21.566099424550135,-2.531174234611123
1268,down,during_vs_pre,-4.321419095948682,-24.092286579631057,-2.3675555454583153,-4.078941912393917
1282362,up,during_vs_pre,19.420873643169685,22.914943155891603,26.48531075813444,26.03519749949573
1286181,down,during_vs_pre,-21.0851434865174,-21.328314063968918,-24.16923854082909,-22.832489229454673
1287287,up,during_vs_pre,20.052214838173175,21.32621191196057,21.987625781779546,19.652077134472517
1287326,up,during_vs_pre,19.352114303785143,20.13116125749441,22.237582555685773,19.769891207803884
1298862,up,during_vs_pre,23.41514852946898,26.5365452908615,29.952224564633454,29.226079280557418
1301,down,during_vs_pre,-7.076405971050308,-28.390519781631635,-4.506141150684258,-2.354002626097794
1304,down,during_vs_pre,-21.245671532331134,-2.34553205846542,-19.58617283130542,-21.34844515603675
1307,down,during_vs_pre,-4.343443938725672,-3.876420752767116,-23.83837722853671,-23.68779739472661
1334,down,during_vs_pre,-19.590011744595856,-21.60287125343772,-22.454664865176696,-21.870505509195677
1352,down,during_vs_pre,-21.963335970209254,-25.354882762011645,-24.44471317481082,-3.644712863666731
137246,up,during_vs_pre,1.419194567764102,1.3385828455435758,2.6216413310869555,1.142563687839501
1375,down,during_vs_pre,-5.0721553434505235,-21.620720677748185,-20.71671870116807,-24.78375716730299
1379159,up,during_vs_pre,19.816819876412335,21.574941116897495,25.90446187581741,25.195727502521283
1381597,up,during_vs_pre,22.904851228552328,25.454238762944172,29.357620886801975,28.545436686253797
1420591,up,during_vs_pre,21.772396671263046,21.12108411139504,25.5128179570732,24.738792195763924
1439859,down,during_vs_pre,-19.549121429138495,-22.533043847425745,-22.606718366181273,-22.132766930372437
1449348,up,during_vs_pre,22.60187178674644,23.094228370364135,4.626590196963486,1.8867420492655718
1465756,down,during_vs_pre,-24.896929787378593,-4.632582150160065,-25.869449881684897,-20.553673296280948
1465757,down,during_vs_pre,-24.492173373634163,-20.493843876534186,-22.15556663333907,-22.48623599971138
1482074,up,during_vs_pre,20.402083292376748,21.856670794699582,25.620422532500292,2.7578081165284094
149698,up,during_vs_pre,20.66528974554034,21.238969769267218,25.484699347813756,5.561172490307303
150022,down,during_vs_pre,-6.618427386767079,-6.913927214381143,-7.393264931700409,-29.474926515888388
1522759,down,during_vs_pre,-2.3218190293285774,-1.1114681677066098,-2.8879511414608485,-2.3067331098813226
1522762,up,during_vs_pre,1.8954111677187262,2.3545869175641045,22.040744992413874,1.1489348916277136
1523417,up,during_vs_pre,20.34388797053631,22.300248709416525,24.909764169065607,20.088560208399134
155892,up,during_vs_pre,19.556718198536416,23.901611288237973,2.177608029011983,27.448147769762038
1566387,up,during_vs_pre,21.82926500026367,23.02159808265274,27.8920860658137,26.449553676537075
1566886,down,during_vs_pre,-4.150030586662361,-23.160961756928216,-2.966058828377171,-5.118516839130756
1570339,down,during_vs_pre,-9.372375139394197,-7.404134837305734,-5.087051598378888,-7.564164319133724
1580,down,during_vs_pre,-19.917979397853742,-21.815401174318197,-25.622026029665257,-3.2386647347715516
1582974,down,during_vs_pre,-2.319273861352255,-19.24394622601324,-22.929496974620747,-20.661884638085375
162289,down,during_vs_pre,-29.880914412113942,-9.554700820568145,-30.830657571063384,-30.207886359206675
1629712,up,during_vs_pre,20.705504438169736,22.18075505779116,25.43698495809878,24.95933774640075
1641861,up,during_vs_pre,23.852233272546624,26.42529540651624,6.359487847867547,29.566618506022984
165179,down,during_vs_pre,-20.761737221908902,-22.51913842298479,-23.444067168885176,-5.854880950632431
165696,up,during_vs_pre,19.912016410713058,22.801352136272488,26.690015775747305,5.74993023953854
165779,down,during_vs_pre,-11.089685589304601,-27.93594924520494,-4.69761665065101,-4.002479107007577
1660129,up,during_vs_pre,19.75666779543415,18.833624537975208,2.1868257867444476,25.115086396268083
1673723,down,during_vs_pre,-21.803218836934036,-21.153852225678424,-22.58193550106501,-23.784760016543995
1673725,down,during_vs_pre,-18.032578880952777,-21.64517356168478,-22.207457087264178,-26.577033338001183
1678,down,during_vs_pre,-2.0688755756358703,-21.443900438134495,-23.5725539763154,-5.801685453444276
