feature,direction,phase_compared,C001,C002,C003,C004
1125779,down,post_vs_pre,-24.982636372823656,-24.036954424556075,-23.44496350819866,-1.7158530173863915
1160718,up,post_vs_pre,2.296681460580657,4.472140206105916,5.943994468665146,1.1612182398885795
1175452,down,post_vs_pre,-2.052763495451145,-19.96240596611606,-22.21588374060858,-25.219065784450063
1177594,up,post_vs_pre,2.659624287049158,1.8510306251158946,1.5897697150873031,2.498490782957353
1286181,down,post_vs_pre,-21.0851434865174,-21.328314063968918,-24.16923854082909,-22.832489229454673
1307,down,post_vs_pre,-1.0508180641381824,-4.922642883969648,-1.5465196556572323,-23.68779739472661
1356405,down,post_vs_pre,-3.0534562433502495,-20.71187300676721,-24.767820022230005,-23.078345792010246
1439859,down,post_vs_pre,-19.549121429138495,-22.533043847425745,-22.606718366181273,-22.132766930372437
1457154,down,post_vs_pre,-23.059058919276293,-22.242261894701638,-19.22648367208706,-22.678648172753288
156976,down,post_vs_pre,-1.0397825219095893,-20.278365227440936,-1.9496156055473022,-3.6522528941676766
158836,down,post_vs_pre,-2.795795927806017,-19.737146157931914,-25.45814352426548,-1.788266987441949
1673723,down,post_vs_pre,-21.803218836934036,-21.153852225678424,-22.58193550106501,-23.784760016543995
171552,down,post_vs_pre,-1.6085325845058422,-21.578039026122568,-24.13951089911842,-1.219130034557879
1720298,down,post_vs_pre,-2.390605666597458,-20.627608369320985,-19.966826305748622,-19.88795630169382
1739305,down,post_vs_pre,-1.1209481149447151,-21.493212388860485,-23.01525698155773,-23.199612601892383
1844093,down,post_vs_pre,-21.867433766419634,-19.923482485172272,-1.231591763393888,-2.484230176043881
1852788,down,post_vs_pre,-16.670549993616422,-22.00847577019068,-19.574760073461405,-20.122139588672237
1852925,down,post_vs_pre,-1.0458974923689242,-20.17892125197972,-24.207939534735786,-19.93478933510798
1852928,down,post_vs_pre,-19.72269891471517,-19.862365775957095,-19.06170787383948,-20.451971195530316
186803,down,post_vs_pre,-1.4657540548738506,-20.16271608438476,-20.262959783684522,-1.7296746492915576
196627,down,post_vs_pre,-2.4843113094683527,-19.912091566047323,-23.19933045289953,-1.691246374419218
2041841,down,post_vs_pre,-17.54839968592237,-20.53612101440336,-22.020157028519534,-19.956541122721337
2070,up,post_vs_pre,22.455519830669065,5.926684528344833,2.484358072433271,1.0212585325575825
228230,down,post_vs_pre,-19.909989193073127,-20.64731027168491,-2.5750630280217623,-24.305588843633352
292,down,post_vs_pre,-20.55132876321248,-21.666690962055863,-21.424247376445948,-1.1278264212133264
322,down,post_vs_pre,-3.7535091974819927,-20.0790011617951,-24.00596874167091,-2.1842774531678897
32207,down,post_vs_pre,-4.024641031088779,-2.582275509479651,-19.12488194422559,-24.481707523967856
371601,down,post_vs_pre,-2.1030247325932336,-21.853360934592228,-21.79764244530746,-23.121932106897123
39688,down,post_vs_pre,-20.073538734687585,-20.210116500275923,-2.9588262879012186,-19.763756689022905
547163,down,post_vs_pre,-2.0948046582878037,-18.9869106722966,-20.88565967610733,-21.036335725697214
624315,down,post_vs_pre,-25.16862250165042,-20.06221254525047,-21.81932222839324,-1.0497823213080986
72557,down,post_vs_pre,-18.445521601753942,-21.917165157606895,-1.9894567592647807,-23.60267679270362
