feature,direction,phase_compared,pooled
DES,down,post_vs_pre_pooled,-1.692186077
TAGLN,down,post_vs_pre_pooled,-1.548785896
GSN,down,post_vs_pre_pooled,-1.421852135
ACTG2,down,post_vs_pre_pooled,-1.342797754
MYLK,down,post_vs_pre_pooled,-1.298183761
ACTA2,down,post_vs_pre_pooled,-1.293642965
TLN1,down,post_vs_pre_pooled,-1.289257075
IGF2R,down,post_vs_pre_pooled,-1.278541765
CNN1,down,post_vs_pre_pooled,-1.262807503
MYH11,down,post_vs_pre_pooled,-1.246191405
LIMD1,down,post_vs_pre_pooled,-1.243488902
FLNC,down,post_vs_pre_pooled,-1.237467571
FLNA,down,post_vs_pre_pooled,-1.196874282
VIM,down,post_vs_pre_pooled,-1.196752824
LMNA,down,post_vs_pre_pooled,-1.19439837
CRKL,down,post_vs_pre_pooled,-1.174519069
TPM2,down,post_vs_pre_pooled,-1.165377819
PPP1R12C,down,post_vs_pre_pooled,-1.162366845
TPM1,down,post_vs_pre_pooled,-1.134959373
DCN,down,post_vs_pre_pooled,-1.129457943
KANK2,down,post_vs_pre_pooled,-1.125429224
P2RX1,down,post_vs_pre_pooled,-1.123693253
NCS1,down,post_vs_pre_pooled,-1.090398786
ACTC1,down,post_vs_pre_pooled,-1.084293771
SKP1,down,post_vs_pre_pooled,-1.081225152
ACTN1,down,post_vs_pre_pooled,-1.077003392
DNAAF5,down,post_vs_pre_pooled,-1.07276953
CKB,down,post_vs_pre_pooled,-1.070307865
MYL6,down,post_vs_pre_pooled,-1.069841067
C11orf96,down,post_vs_pre_pooled,-1.067523033
GAS6,down,post_vs_pre_pooled,-1.06043554
CLIC4,down,post_vs_pre_pooled,-1.046070827
PTMS,down,post_vs_pre_pooled,-1.044398025
SELENOM,down,post_vs_pre_pooled,-1.037841672
RPL8,down,post_vs_pre_pooled,-1.036588066
GYPC,down,post_vs_pre_pooled,-1.0215985
TPM4,down,post_vs_pre_pooled,-1.016933818
ACTA1,down,post_vs_pre_pooled,-1.016664673
PSMC2,down,post_vs_pre_pooled,-1.008562534
ZNF480,up,post_vs_pre_pooled,1.00980898
SCN1A,up,post_vs_pre_pooled,1.033568714
LMLN2,up,post_vs_pre_pooled,1.055781296
KIAA0895,up,post_vs_pre_pooled,1.182298715
H4C13,up,post_vs_pre_pooled,1.225970491
PRMT3,up,post_vs_pre_pooled,1.231832844
C11orf21,up,post_vs_pre_pooled,1.335847436
SERPINA10,up,post_vs_pre_pooled,1.41058204
CABYR,up,post_vs_pre_pooled,1.609417818
NAV2,up,post_vs_pre_pooled,2.022856164
